"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2006"	"2006"	Suppressed	51328	Suppressed
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2007"	"2007"	Suppressed	52405	Suppressed
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2008"	"2008"	Suppressed	53277	Suppressed
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2009"	"2009"	Suppressed	54135	Suppressed
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2010"	"2010"	Suppressed	54571	Suppressed
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2011"	"2011"	Suppressed	55267	Suppressed
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2012"	"2012"	Suppressed	55514	Suppressed
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2013"	"2013"	Suppressed	55246	Suppressed
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2014"	"2014"	Suppressed	55395	Suppressed
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2006"	"2006"	21	168121	12.5
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2007"	"2007"	28	172404	16.2
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2008"	"2008"	27	175827	15.4
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2009"	"2009"	32	179406	17.8
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2010"	"2010"	26	182265	14.3
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2011"	"2011"	24	186717	12.9
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2012"	"2012"	34	190790	17.8
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2013"	"2013"	22	195540	11.3
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2014"	"2014"	38	200111	19.0
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2006"	"2006"	Suppressed	27861	Suppressed
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2007"	"2007"	0	27757	Unreliable
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2008"	"2008"	0	27808	Unreliable
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2009"	"2009"	Suppressed	27657	Suppressed
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2010"	"2010"	Suppressed	27457	Suppressed
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2011"	"2011"	Suppressed	27119	Suppressed
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2012"	"2012"	0	27201	Unreliable
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2013"	"2013"	Suppressed	27076	Suppressed
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2014"	"2014"	Suppressed	26887	Suppressed
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2006"	"2006"	Suppressed	22099	Suppressed
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2007"	"2007"	Suppressed	22438	Suppressed
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2008"	"2008"	Suppressed	22705	Suppressed
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2009"	"2009"	Suppressed	22941	Suppressed
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2010"	"2010"	Suppressed	22915	Suppressed
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2011"	"2011"	Suppressed	22766	Suppressed
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2012"	"2012"	Suppressed	22597	Suppressed
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2013"	"2013"	Suppressed	22512	Suppressed
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2014"	"2014"	Suppressed	22506	Suppressed
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2006"	"2006"	Suppressed	55485	Suppressed
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2007"	"2007"	Suppressed	56240	Suppressed
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2008"	"2008"	17	57055	Unreliable
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2009"	"2009"	11	57341	Unreliable
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2010"	"2010"	10	57322	Unreliable
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2011"	"2011"	Suppressed	57677	Suppressed
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2012"	"2012"	17	57826	Unreliable
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2013"	"2013"	13	57872	Unreliable
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2014"	"2014"	12	57719	Unreliable
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"2006"	"2006"	Suppressed	10776	Suppressed
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"2007"	"2007"	0	11011	Unreliable
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"2008"	"2008"	0	10953	Unreliable
