"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alaska"	"02"	"Aleutians East Borough, AK"	"02013"	"2006"	"2006"	0	2794	Unreliable
	"Alaska"	"02"	"Aleutians East Borough, AK"	"02013"	"2007"	"2007"	0	3012	Unreliable
	"Alaska"	"02"	"Aleutians East Borough, AK"	"02013"	"2008"	"2008"	0	2991	Unreliable
	"Alaska"	"02"	"Aleutians East Borough, AK"	"02013"	"2009"	"2009"	0	3084	Unreliable
	"Alaska"	"02"	"Aleutians East Borough, AK"	"02013"	"2010"	"2010"	Suppressed	3141	Suppressed
	"Alaska"	"02"	"Aleutians East Borough, AK"	"02013"	"2011"	"2011"	0	3172	Unreliable
	"Alaska"	"02"	"Aleutians East Borough, AK"	"02013"	"2012"	"2012"	Suppressed	3161	Suppressed
	"Alaska"	"02"	"Aleutians East Borough, AK"	"02013"	"2013"	"2013"	0	3092	Unreliable
	"Alaska"	"02"	"Aleutians East Borough, AK"	"02013"	"2014"	"2014"	0	3360	Unreliable
	"Alaska"	"02"	"Aleutians West Census Area, AK"	"02016"	"2006"	"2006"	0	5658	Unreliable
	"Alaska"	"02"	"Aleutians West Census Area, AK"	"02016"	"2007"	"2007"	Suppressed	5466	Suppressed
	"Alaska"	"02"	"Aleutians West Census Area, AK"	"02016"	"2008"	"2008"	0	5393	Unreliable
	"Alaska"	"02"	"Aleutians West Census Area, AK"	"02016"	"2009"	"2009"	0	5537	Unreliable
	"Alaska"	"02"	"Aleutians West Census Area, AK"	"02016"	"2010"	"2010"	0	5561	Unreliable
	"Alaska"	"02"	"Aleutians West Census Area, AK"	"02016"	"2011"	"2011"	0	5504	Unreliable
	"Alaska"	"02"	"Aleutians West Census Area, AK"	"02016"	"2012"	"2012"	Suppressed	5547	Suppressed
	"Alaska"	"02"	"Aleutians West Census Area, AK"	"02016"	"2013"	"2013"	Suppressed	5511	Suppressed
	"Alaska"	"02"	"Aleutians West Census Area, AK"	"02016"	"2014"	"2014"	Suppressed	5750	Suppressed
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2006"	"2006"	29	280085	10.4
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2007"	"2007"	44	278792	15.8
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2008"	"2008"	60	281554	21.3
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2009"	"2009"	59	287677	20.5
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2010"	"2010"	38	291826	13.0
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2011"	"2011"	52	295570	17.6
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2012"	"2012"	62	298610	20.8
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2013"	"2013"	49	300950	16.3
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"2014"	"2014"	58	301010	19.3
	"Alaska"	"02"	"Bethel Census Area, AK"	"02050"	"2006"	"2006"	Suppressed	16755	Suppressed
	"Alaska"	"02"	"Bethel Census Area, AK"	"02050"	"2007"	"2007"	Suppressed	16723	Suppressed
	"Alaska"	"02"	"Bethel Census Area, AK"	"02050"	"2008"	"2008"	Suppressed	16762	Suppressed
	"Alaska"	"02"	"Bethel Census Area, AK"	"02050"	"2009"	"2009"	Suppressed	16860	Suppressed
	"Alaska"	"02"	"Bethel Census Area, AK"	"02050"	"2010"	"2010"	0	17013	Unreliable
	"Alaska"	"02"	"Bethel Census Area, AK"	"02050"	"2011"	"2011"	0	17416	Unreliable
	"Alaska"	"02"	"Bethel Census Area, AK"	"02050"	"2012"	"2012"	Suppressed	17746	Suppressed
	"Alaska"	"02"	"Bethel Census Area, AK"	"02050"	"2013"	"2013"	0	17758	Unreliable
	"Alaska"	"02"	"Bethel Census Area, AK"	"02050"	"2014"	"2014"	0	17868	Unreliable
	"Alaska"	"02"	"Bristol Bay Borough, AK"	"02060"	"2006"	"2006"	0	1111	Unreliable
	"Alaska"	"02"	"Bristol Bay Borough, AK"	"02060"	"2007"	"2007"	0	1076	Unreliable
	"Alaska"	"02"	"Bristol Bay Borough, AK"	"02060"	"2008"	"2008"	Suppressed	1040	Suppressed
	"Alaska"	"02"	"Bristol Bay Borough, AK"	"02060"	"2009"	"2009"	0	976	Unreliable
