"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2006"	"2006"	Suppressed	69390	Suppressed
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2007"	"2007"	Suppressed	69602	Suppressed
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2008"	"2008"	Suppressed	69883	Suppressed
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2009"	"2009"	Suppressed	71008	Suppressed
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2010"	"2010"	Suppressed	71518	Suppressed
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2011"	"2011"	Suppressed	72401	Suppressed
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2012"	"2012"	Suppressed	73195	Suppressed
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2013"	"2013"	Suppressed	71934	Suppressed
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2014"	"2014"	Suppressed	71828	Suppressed
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2006"	"2006"	19	127241	Unreliable
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2007"	"2007"	20	128206	15.6
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2008"	"2008"	15	129023	Unreliable
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2009"	"2009"	19	130081	Unreliable
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2010"	"2010"	24	131346	18.3
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2011"	"2011"	Suppressed	133289	Suppressed
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2012"	"2012"	24	132088	18.2
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2013"	"2013"	13	129473	Unreliable
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2014"	"2014"	21	127448	16.5
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2006"	"2006"	Suppressed	128695	Suppressed
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2007"	"2007"	10	130442	Unreliable
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2008"	"2008"	16	131853	Unreliable
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2009"	"2009"	17	133477	Unreliable
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2010"	"2010"	18	134421	Unreliable
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2011"	"2011"	22	134511	16.4
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2012"	"2012"	11	136011	Unreliable
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2013"	"2013"	30	136539	22.0
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2014"	"2014"	15	137682	Unreliable
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2006"	"2006"	10	52541	Unreliable
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2007"	"2007"	11	53252	Unreliable
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2008"	"2008"	Suppressed	53437	Suppressed
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2009"	"2009"	12	53561	Unreliable
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2010"	"2010"	10	53597	Unreliable
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2011"	"2011"	Suppressed	53144	Suppressed
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2012"	"2012"	11	53144	Unreliable
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2013"	"2013"	12	53053	Unreliable
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2014"	"2014"	18	53119	Unreliable
	"Arizona"	"04"	"Graham County, AZ"	"04009"	"2006"	"2006"	Suppressed	33701	Suppressed
	"Arizona"	"04"	"Graham County, AZ"	"04009"	"2007"	"2007"	Suppressed	35175	Suppressed
	"Arizona"	"04"	"Graham County, AZ"	"04009"	"2008"	"2008"	Suppressed	36639	Suppressed
	"Arizona"	"04"	"Graham County, AZ"	"04009"	"2009"	"2009"	Suppressed	37525	Suppressed
	"Arizona"	"04"	"Graham County, AZ"	"04009"	"2010"	"2010"	Suppressed	37220	Suppressed
	"Arizona"	"04"	"Graham County, AZ"	"04009"	"2011"	"2011"	Suppressed	37147	Suppressed
	"Arizona"	"04"	"Graham County, AZ"	"04009"	"2012"	"2012"	Suppressed	37416	Suppressed
	"Arizona"	"04"	"Graham County, AZ"	"04009"	"2013"	"2013"	Suppressed	37482	Suppressed
	"Arizona"	"04"	"Graham County, AZ"	"04009"	"2014"	"2014"	Suppressed	37957	Suppressed
	"Arizona"	"04"	"Greenlee County, AZ"	"04011"	"2006"	"2006"	Suppressed	7838	Suppressed
	"Arizona"	"04"	"Greenlee County, AZ"	"04011"	"2007"	"2007"	Suppressed	8205	Suppressed
	"Arizona"	"04"	"Greenlee County, AZ"	"04011"	"2008"	"2008"	Suppressed	8561	Suppressed
	"Arizona"	"04"	"Greenlee County, AZ"	"04011"	"2009"	"2009"	Suppressed	8635	Suppressed
	"Arizona"	"04"	"Greenlee County, AZ"	"04011"	"2010"	"2010"	Suppressed	8437	Suppressed
	"Arizona"	"04"	"Greenlee County, AZ"	"04011"	"2011"	"2011"	Suppressed	8606	Suppressed
	"Arizona"	"04"	"Greenlee County, AZ"	"04011"	"2012"	"2012"	0	8802	Unreliable
	"Arizona"	"04"	"Greenlee County, AZ"	"04011"	"2013"	"2013"	0	9049	Unreliable
	"Arizona"	"04"	"Greenlee County, AZ"	"04011"	"2014"	"2014"	Suppressed	9346	Suppressed
	"Arizona"	"04"	"La Paz County, AZ"	"04012"	"2006"	"2006"	Suppressed	20573	Suppressed
	"Arizona"	"04"	"La Paz County, AZ"	"04012"	"2007"	"2007"	Suppressed	20647	Suppressed
	"Arizona"	"04"	"La Paz County, AZ"	"04012"	"2008"	"2008"	Suppressed	20555	Suppressed
	"Arizona"	"04"	"La Paz County, AZ"	"04012"	"2009"	"2009"	Suppressed	20514	Suppressed
	"Arizona"	"04"	"La Paz County, AZ"	"04012"	"2010"	"2010"	Suppressed	20489	Suppressed
	"Arizona"	"04"	"La Paz County, AZ"	"04012"	"2011"	"2011"	Suppressed	20419	Suppressed
