"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Arkansas"	"05"	"Arkansas County, AR"	"05001"	"2006"	"2006"	Suppressed	19785	Suppressed
	"Arkansas"	"05"	"Arkansas County, AR"	"05001"	"2007"	"2007"	Suppressed	19434	Suppressed
	"Arkansas"	"05"	"Arkansas County, AR"	"05001"	"2008"	"2008"	0	19275	Unreliable
	"Arkansas"	"05"	"Arkansas County, AR"	"05001"	"2009"	"2009"	Suppressed	19134	Suppressed
	"Arkansas"	"05"	"Arkansas County, AR"	"05001"	"2010"	"2010"	Suppressed	19019	Suppressed
	"Arkansas"	"05"	"Arkansas County, AR"	"05001"	"2011"	"2011"	Suppressed	18892	Suppressed
	"Arkansas"	"05"	"Arkansas County, AR"	"05001"	"2012"	"2012"	Suppressed	18892	Suppressed
	"Arkansas"	"05"	"Arkansas County, AR"	"05001"	"2013"	"2013"	0	18777	Unreliable
	"Arkansas"	"05"	"Arkansas County, AR"	"05001"	"2014"	"2014"	Suppressed	18594	Suppressed
	"Arkansas"	"05"	"Ashley County, AR"	"05003"	"2006"	"2006"	0	22501	Unreliable
	"Arkansas"	"05"	"Ashley County, AR"	"05003"	"2007"	"2007"	0	22229	Unreliable
	"Arkansas"	"05"	"Ashley County, AR"	"05003"	"2008"	"2008"	Suppressed	22148	Suppressed
	"Arkansas"	"05"	"Ashley County, AR"	"05003"	"2009"	"2009"	Suppressed	21920	Suppressed
	"Arkansas"	"05"	"Ashley County, AR"	"05003"	"2010"	"2010"	Suppressed	21853	Suppressed
	"Arkansas"	"05"	"Ashley County, AR"	"05003"	"2011"	"2011"	Suppressed	21692	Suppressed
	"Arkansas"	"05"	"Ashley County, AR"	"05003"	"2012"	"2012"	Suppressed	21524	Suppressed
	"Arkansas"	"05"	"Ashley County, AR"	"05003"	"2013"	"2013"	Suppressed	21283	Suppressed
	"Arkansas"	"05"	"Ashley County, AR"	"05003"	"2014"	"2014"	Suppressed	20948	Suppressed
	"Arkansas"	"05"	"Baxter County, AR"	"05005"	"2006"	"2006"	Suppressed	40867	Suppressed
	"Arkansas"	"05"	"Baxter County, AR"	"05005"	"2007"	"2007"	Suppressed	41491	Suppressed
	"Arkansas"	"05"	"Baxter County, AR"	"05005"	"2008"	"2008"	Suppressed	41519	Suppressed
	"Arkansas"	"05"	"Baxter County, AR"	"05005"	"2009"	"2009"	Suppressed	41561	Suppressed
	"Arkansas"	"05"	"Baxter County, AR"	"05005"	"2010"	"2010"	Suppressed	41513	Suppressed
	"Arkansas"	"05"	"Baxter County, AR"	"05005"	"2011"	"2011"	Suppressed	41536	Suppressed
	"Arkansas"	"05"	"Baxter County, AR"	"05005"	"2012"	"2012"	Suppressed	41048	Suppressed
	"Arkansas"	"05"	"Baxter County, AR"	"05005"	"2013"	"2013"	Suppressed	40957	Suppressed
	"Arkansas"	"05"	"Baxter County, AR"	"05005"	"2014"	"2014"	11	40857	Unreliable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2006"	"2006"	19	195569	Unreliable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2007"	"2007"	19	203664	Unreliable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2008"	"2008"	27	210807	12.8
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2009"	"2009"	29	216620	13.4
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2010"	"2010"	31	221339	14.0
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2011"	"2011"	28	227556	12.3
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2012"	"2012"	30	232268	12.9
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2013"	"2013"	22	237297	9.3
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2014"	"2014"	35	242321	14.4
	"Arkansas"	"05"	"Boone County, AR"	"05009"	"2006"	"2006"	Suppressed	36056	Suppressed
	"Arkansas"	"05"	"Boone County, AR"	"05009"	"2007"	"2007"	Suppressed	36759	Suppressed
	"Arkansas"	"05"	"Boone County, AR"	"05009"	"2008"	"2008"	Suppressed	36974	Suppressed
	"Arkansas"	"05"	"Boone County, AR"	"05009"	"2009"	"2009"	Suppressed	36844	Suppressed
	"Arkansas"	"05"	"Boone County, AR"	"05009"	"2010"	"2010"	Suppressed	36903	Suppressed
	"Arkansas"	"05"	"Boone County, AR"	"05009"	"2011"	"2011"	Suppressed	37051	Suppressed
	"Arkansas"	"05"	"Boone County, AR"	"05009"	"2012"	"2012"	Suppressed	37327	Suppressed
	"Arkansas"	"05"	"Boone County, AR"	"05009"	"2013"	"2013"	Suppressed	37396	Suppressed
	"Arkansas"	"05"	"Boone County, AR"	"05009"	"2014"	"2014"	Suppressed	37196	Suppressed
	"Arkansas"	"05"	"Bradley County, AR"	"05011"	"2006"	"2006"	0	11778	Unreliable
	"Arkansas"	"05"	"Bradley County, AR"	"05011"	"2007"	"2007"	Suppressed	11737	Suppressed
	"Arkansas"	"05"	"Bradley County, AR"	"05011"	"2008"	"2008"	0	11643	Unreliable
	"Arkansas"	"05"	"Bradley County, AR"	"05011"	"2009"	"2009"	0	11538	Unreliable
	"Arkansas"	"05"	"Bradley County, AR"	"05011"	"2010"	"2010"	0	11508	Unreliable
	"Arkansas"	"05"	"Bradley County, AR"	"05011"	"2011"	"2011"	Suppressed	11482	Suppressed
	"Arkansas"	"05"	"Bradley County, AR"	"05011"	"2012"	"2012"	0	11397	Unreliable
	"Arkansas"	"05"	"Bradley County, AR"	"05011"	"2013"	"2013"	0	11249	Unreliable
	"Arkansas"	"05"	"Bradley County, AR"	"05011"	"2014"	"2014"	0	11148	Unreliable
	"Arkansas"	"05"	"Calhoun County, AR"	"05013"	"2006"	"2006"	Suppressed	5693	Suppressed
	"Arkansas"	"05"	"Calhoun County, AR"	"05013"	"2007"	"2007"	0	5659	Unreliable
	"Arkansas"	"05"	"Calhoun County, AR"	"05013"	"2008"	"2008"	Suppressed	5528	Suppressed
	"Arkansas"	"05"	"Calhoun County, AR"	"05013"	"2009"	"2009"	0	5421	Unreliable
	"Arkansas"	"05"	"Calhoun County, AR"	"05013"	"2010"	"2010"	0	5368	Unreliable
	"Arkansas"	"05"	"Calhoun County, AR"	"05013"	"2011"	"2011"	0	5144	Unreliable
	"Arkansas"	"05"	"Calhoun County, AR"	"05013"	"2012"	"2012"	Suppressed	5307	Suppressed
	"Arkansas"	"05"	"Calhoun County, AR"	"05013"	"2013"	"2013"	Suppressed	5241	Suppressed
	"Arkansas"	"05"	"Calhoun County, AR"	"05013"	"2014"	"2014"	Suppressed	5202	Suppressed
	"Arkansas"	"05"	"Carroll County, AR"	"05015"	"2006"	"2006"	Suppressed	26615	Suppressed
	"Arkansas"	"05"	"Carroll County, AR"	"05015"	"2007"	"2007"	Suppressed	26699	Suppressed
	"Arkansas"	"05"	"Carroll County, AR"	"05015"	"2008"	"2008"	Suppressed	26822	Suppressed
	"Arkansas"	"05"	"Carroll County, AR"	"05015"	"2009"	"2009"	Suppressed	27158	Suppressed
	"Arkansas"	"05"	"Carroll County, AR"	"05015"	"2010"	"2010"	Suppressed	27446	Suppressed
	"Arkansas"	"05"	"Carroll County, AR"	"05015"	"2011"	"2011"	Suppressed	27512	Suppressed
	"Arkansas"	"05"	"Carroll County, AR"	"05015"	"2012"	"2012"	Suppressed	27610	Suppressed
	"Arkansas"	"05"	"Carroll County, AR"	"05015"	"2013"	"2013"	Suppressed	27808	Suppressed
	"Arkansas"	"05"	"Carroll County, AR"	"05015"	"2014"	"2014"	Suppressed	27744	Suppressed
	"Arkansas"	"05"	"Chicot County, AR"	"05017"	"2006"	"2006"	Suppressed	12516	Suppressed
	"Arkansas"	"05"	"Chicot County, AR"	"05017"	"2007"	"2007"	Suppressed	12313	Suppressed
	"Arkansas"	"05"	"Chicot County, AR"	"05017"	"2008"	"2008"	Suppressed	12050	Suppressed
	"Arkansas"	"05"	"Chicot County, AR"	"05017"	"2009"	"2009"	Suppressed	11851	Suppressed
	"Arkansas"	"05"	"Chicot County, AR"	"05017"	"2010"	"2010"	0	11800	Unreliable
	"Arkansas"	"05"	"Chicot County, AR"	"05017"	"2011"	"2011"	0	11721	Unreliable
	"Arkansas"	"05"	"Chicot County, AR"	"05017"	"2012"	"2012"	Suppressed	11433	Suppressed
	"Arkansas"	"05"	"Chicot County, AR"	"05017"	"2013"	"2013"	0	11335	Unreliable
	"Arkansas"	"05"	"Chicot County, AR"	"05017"	"2014"	"2014"	0	11180	Unreliable
	"Arkansas"	"05"	"Clark County, AR"	"05019"	"2006"	"2006"	Suppressed	22924	Suppressed
	"Arkansas"	"05"	"Clark County, AR"	"05019"	"2007"	"2007"	Suppressed	23139	Suppressed
	"Arkansas"	"05"	"Clark County, AR"	"05019"	"2008"	"2008"	Suppressed	23272	Suppressed
	"Arkansas"	"05"	"Clark County, AR"	"05019"	"2009"	"2009"	Suppressed	23100	Suppressed
	"Arkansas"	"05"	"Clark County, AR"	"05019"	"2010"	"2010"	Suppressed	22995	Suppressed
	"Arkansas"	"05"	"Clark County, AR"	"05019"	"2011"	"2011"	0	22858	Unreliable
	"Arkansas"	"05"	"Clark County, AR"	"05019"	"2012"	"2012"	Suppressed	22936	Suppressed
	"Arkansas"	"05"	"Clark County, AR"	"05019"	"2013"	"2013"	Suppressed	22743	Suppressed
	"Arkansas"	"05"	"Clark County, AR"	"05019"	"2014"	"2014"	Suppressed	22576	Suppressed
	"Arkansas"	"05"	"Clay County, AR"	"05021"	"2006"	"2006"	Suppressed	16679	Suppressed
	"Arkansas"	"05"	"Clay County, AR"	"05021"	"2007"	"2007"	Suppressed	16464	Suppressed
	"Arkansas"	"05"	"Clay County, AR"	"05021"	"2008"	"2008"	0	16209	Unreliable
	"Arkansas"	"05"	"Clay County, AR"	"05021"	"2009"	"2009"	0	16056	Unreliable
	"Arkansas"	"05"	"Clay County, AR"	"05021"	"2010"	"2010"	0	16083	Unreliable
	"Arkansas"	"05"	"Clay County, AR"	"05021"	"2011"	"2011"	Suppressed	15880	Suppressed
	"Arkansas"	"05"	"Clay County, AR"	"05021"	"2012"	"2012"	Suppressed	15684	Suppressed
	"Arkansas"	"05"	"Clay County, AR"	"05021"	"2013"	"2013"	Suppressed	15402	Suppressed
	"Arkansas"	"05"	"Clay County, AR"	"05021"	"2014"	"2014"	Suppressed	15118	Suppressed
	"Arkansas"	"05"	"Cleburne County, AR"	"05023"	"2006"	"2006"	Suppressed	25430	Suppressed
	"Arkansas"	"05"	"Cleburne County, AR"	"05023"	"2007"	"2007"	0	25545	Unreliable
	"Arkansas"	"05"	"Cleburne County, AR"	"05023"	"2008"	"2008"	Suppressed	25623	Suppressed
	"Arkansas"	"05"	"Cleburne County, AR"	"05023"	"2009"	"2009"	Suppressed	25870	Suppressed
	"Arkansas"	"05"	"Cleburne County, AR"	"05023"	"2010"	"2010"	Suppressed	25970	Suppressed
	"Arkansas"	"05"	"Cleburne County, AR"	"05023"	"2011"	"2011"	Suppressed	25901	Suppressed
	"Arkansas"	"05"	"Cleburne County, AR"	"05023"	"2012"	"2012"	Suppressed	25808	Suppressed
	"Arkansas"	"05"	"Cleburne County, AR"	"05023"	"2013"	"2013"	Suppressed	25686	Suppressed
	"Arkansas"	"05"	"Cleburne County, AR"	"05023"	"2014"	"2014"	Suppressed	25634	Suppressed
	"Arkansas"	"05"	"Cleveland County, AR"	"05025"	"2006"	"2006"	Suppressed	8829	Suppressed
	"Arkansas"	"05"	"Cleveland County, AR"	"05025"	"2007"	"2007"	0	8896	Unreliable
	"Arkansas"	"05"	"Cleveland County, AR"	"05025"	"2008"	"2008"	0	8775	Unreliable
	"Arkansas"	"05"	"Cleveland County, AR"	"05025"	"2009"	"2009"	0	8649	Unreliable
	"Arkansas"	"05"	"Cleveland County, AR"	"05025"	"2010"	"2010"	0	8689	Unreliable
	"Arkansas"	"05"	"Cleveland County, AR"	"05025"	"2011"	"2011"	Suppressed	8672	Suppressed
