"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"California"	"06"	"Alameda County, CA"	"06001"	"2006"	"2006"	169	1444484	11.7
	"California"	"06"	"Alameda County, CA"	"06001"	"2007"	"2007"	190	1455715	13.1
	"California"	"06"	"Alameda County, CA"	"06001"	"2008"	"2008"	157	1477208	10.6
	"California"	"06"	"Alameda County, CA"	"06001"	"2009"	"2009"	147	1498539	9.8
	"California"	"06"	"Alameda County, CA"	"06001"	"2010"	"2010"	132	1510271	8.7
	"California"	"06"	"Alameda County, CA"	"06001"	"2011"	"2011"	168	1529875	11.0
	"California"	"06"	"Alameda County, CA"	"06001"	"2012"	"2012"	134	1554720	8.6
	"California"	"06"	"Alameda County, CA"	"06001"	"2013"	"2013"	174	1578891	11.0
	"California"	"06"	"Alameda County, CA"	"06001"	"2014"	"2014"	165	1610921	10.2
	"California"	"06"	"Alpine County, CA"	"06003"	"2006"	"2006"	0	1276	Unreliable
	"California"	"06"	"Alpine County, CA"	"06003"	"2007"	"2007"	0	1274	Unreliable
	"California"	"06"	"Alpine County, CA"	"06003"	"2008"	"2008"	0	1202	Unreliable
	"California"	"06"	"Alpine County, CA"	"06003"	"2009"	"2009"	0	1197	Unreliable
	"California"	"06"	"Alpine County, CA"	"06003"	"2010"	"2010"	0	1175	Unreliable
	"California"	"06"	"Alpine County, CA"	"06003"	"2011"	"2011"	0	1102	Unreliable
	"California"	"06"	"Alpine County, CA"	"06003"	"2012"	"2012"	0	1129	Unreliable
	"California"	"06"	"Alpine County, CA"	"06003"	"2013"	"2013"	0	1159	Unreliable
	"California"	"06"	"Alpine County, CA"	"06003"	"2014"	"2014"	0	1116	Unreliable
	"California"	"06"	"Amador County, CA"	"06005"	"2006"	"2006"	10	38353	Unreliable
	"California"	"06"	"Amador County, CA"	"06005"	"2007"	"2007"	Suppressed	38756	Suppressed
	"California"	"06"	"Amador County, CA"	"06005"	"2008"	"2008"	Suppressed	38248	Suppressed
	"California"	"06"	"Amador County, CA"	"06005"	"2009"	"2009"	14	38238	Unreliable
	"California"	"06"	"Amador County, CA"	"06005"	"2010"	"2010"	11	38091	Unreliable
	"California"	"06"	"Amador County, CA"	"06005"	"2011"	"2011"	10	37953	Unreliable
	"California"	"06"	"Amador County, CA"	"06005"	"2012"	"2012"	10	37035	Unreliable
	"California"	"06"	"Amador County, CA"	"06005"	"2013"	"2013"	Suppressed	36519	Suppressed
	"California"	"06"	"Amador County, CA"	"06005"	"2014"	"2014"	14	36742	Unreliable
	"California"	"06"	"Butte County, CA"	"06007"	"2006"	"2006"	69	216824	31.8
	"California"	"06"	"Butte County, CA"	"06007"	"2007"	"2007"	65	217469	29.9
	"California"	"06"	"Butte County, CA"	"06007"	"2008"	"2008"	68	219034	31.0
	"California"	"06"	"Butte County, CA"	"06007"	"2009"	"2009"	59	219777	26.8
	"California"	"06"	"Butte County, CA"	"06007"	"2010"	"2010"	85	220000	38.6
	"California"	"06"	"Butte County, CA"	"06007"	"2011"	"2011"	84	220266	38.1
	"California"	"06"	"Butte County, CA"	"06007"	"2012"	"2012"	71	221539	32.0
	"California"	"06"	"Butte County, CA"	"06007"	"2013"	"2013"	57	222090	25.7
	"California"	"06"	"Butte County, CA"	"06007"	"2014"	"2014"	74	224241	33.0
	"California"	"06"	"Calaveras County, CA"	"06009"	"2006"	"2006"	Suppressed	46045	Suppressed
	"California"	"06"	"Calaveras County, CA"	"06009"	"2007"	"2007"	Suppressed	46268	Suppressed
	"California"	"06"	"Calaveras County, CA"	"06009"	"2008"	"2008"	Suppressed	46265	Suppressed
	"California"	"06"	"Calaveras County, CA"	"06009"	"2009"	"2009"	13	45900	Unreliable
	"California"	"06"	"Calaveras County, CA"	"06009"	"2010"	"2010"	12	45578	Unreliable
	"California"	"06"	"Calaveras County, CA"	"06009"	"2011"	"2011"	15	45052	Unreliable
	"California"	"06"	"Calaveras County, CA"	"06009"	"2012"	"2012"	Suppressed	44742	Suppressed
	"California"	"06"	"Calaveras County, CA"	"06009"	"2013"	"2013"	11	44515	Unreliable
	"California"	"06"	"Calaveras County, CA"	"06009"	"2014"	"2014"	Suppressed	44624	Suppressed
	"California"	"06"	"Colusa County, CA"	"06011"	"2006"	"2006"	Suppressed	20890	Suppressed
	"California"	"06"	"Colusa County, CA"	"06011"	"2007"	"2007"	Suppressed	21075	Suppressed
	"California"	"06"	"Colusa County, CA"	"06011"	"2008"	"2008"	Suppressed	21134	Suppressed
	"California"	"06"	"Colusa County, CA"	"06011"	"2009"	"2009"	Suppressed	21250	Suppressed
	"California"	"06"	"Colusa County, CA"	"06011"	"2010"	"2010"	0	21419	Unreliable
	"California"	"06"	"Colusa County, CA"	"06011"	"2011"	"2011"	Suppressed	21549	Suppressed
	"California"	"06"	"Colusa County, CA"	"06011"	"2012"	"2012"	Suppressed	21411	Suppressed
