"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Colorado"	"08"	"Adams County, CO"	"08001"	"2006"	"2006"	68	406575	16.7
	"Colorado"	"08"	"Adams County, CO"	"08001"	"2007"	"2007"	75	415746	18.0
	"Colorado"	"08"	"Adams County, CO"	"08001"	"2008"	"2008"	64	424913	15.1
	"Colorado"	"08"	"Adams County, CO"	"08001"	"2009"	"2009"	71	435700	16.3
	"Colorado"	"08"	"Adams County, CO"	"08001"	"2010"	"2010"	66	441603	14.9
	"Colorado"	"08"	"Adams County, CO"	"08001"	"2011"	"2011"	93	451443	20.6
	"Colorado"	"08"	"Adams County, CO"	"08001"	"2012"	"2012"	96	459598	20.9
	"Colorado"	"08"	"Adams County, CO"	"08001"	"2013"	"2013"	82	469193	17.5
	"Colorado"	"08"	"Adams County, CO"	"08001"	"2014"	"2014"	96	480718	20.0
	"Colorado"	"08"	"Alamosa County, CO"	"08003"	"2006"	"2006"	Suppressed	15196	Suppressed
	"Colorado"	"08"	"Alamosa County, CO"	"08003"	"2007"	"2007"	Suppressed	15180	Suppressed
	"Colorado"	"08"	"Alamosa County, CO"	"08003"	"2008"	"2008"	Suppressed	15300	Suppressed
	"Colorado"	"08"	"Alamosa County, CO"	"08003"	"2009"	"2009"	Suppressed	15289	Suppressed
	"Colorado"	"08"	"Alamosa County, CO"	"08003"	"2010"	"2010"	Suppressed	15445	Suppressed
	"Colorado"	"08"	"Alamosa County, CO"	"08003"	"2011"	"2011"	Suppressed	15710	Suppressed
	"Colorado"	"08"	"Alamosa County, CO"	"08003"	"2012"	"2012"	Suppressed	16148	Suppressed
	"Colorado"	"08"	"Alamosa County, CO"	"08003"	"2013"	"2013"	Suppressed	16253	Suppressed
	"Colorado"	"08"	"Alamosa County, CO"	"08003"	"2014"	"2014"	Suppressed	16177	Suppressed
	"Colorado"	"08"	"Arapahoe County, CO"	"08005"	"2006"	"2006"	73	531619	13.7
	"Colorado"	"08"	"Arapahoe County, CO"	"08005"	"2007"	"2007"	95	542039	17.5
	"Colorado"	"08"	"Arapahoe County, CO"	"08005"	"2008"	"2008"	94	552461	17.0
	"Colorado"	"08"	"Arapahoe County, CO"	"08005"	"2009"	"2009"	99	563161	17.6
	"Colorado"	"08"	"Arapahoe County, CO"	"08005"	"2010"	"2010"	82	572003	14.3
	"Colorado"	"08"	"Arapahoe County, CO"	"08005"	"2011"	"2011"	82	584948	14.0
	"Colorado"	"08"	"Arapahoe County, CO"	"08005"	"2012"	"2012"	87	595546	14.6
	"Colorado"	"08"	"Arapahoe County, CO"	"08005"	"2013"	"2013"	102	607070	16.8
	"Colorado"	"08"	"Arapahoe County, CO"	"08005"	"2014"	"2014"	102	618821	16.5
	"Colorado"	"08"	"Archuleta County, CO"	"08007"	"2006"	"2006"	0	11937	Unreliable
	"Colorado"	"08"	"Archuleta County, CO"	"08007"	"2007"	"2007"	Suppressed	12262	Suppressed
	"Colorado"	"08"	"Archuleta County, CO"	"08007"	"2008"	"2008"	Suppressed	12250	Suppressed
	"Colorado"	"08"	"Archuleta County, CO"	"08007"	"2009"	"2009"	0	12169	Unreliable
	"Colorado"	"08"	"Archuleta County, CO"	"08007"	"2010"	"2010"	0	12084	Unreliable
	"Colorado"	"08"	"Archuleta County, CO"	"08007"	"2011"	"2011"	Suppressed	12013	Suppressed
	"Colorado"	"08"	"Archuleta County, CO"	"08007"	"2012"	"2012"	Suppressed	12070	Suppressed
	"Colorado"	"08"	"Archuleta County, CO"	"08007"	"2013"	"2013"	0	12194	Unreliable
	"Colorado"	"08"	"Archuleta County, CO"	"08007"	"2014"	"2014"	0	12244	Unreliable
	"Colorado"	"08"	"Baca County, CO"	"08009"	"2006"	"2006"	Suppressed	3933	Suppressed
	"Colorado"	"08"	"Baca County, CO"	"08009"	"2007"	"2007"	0	3866	Unreliable
	"Colorado"	"08"	"Baca County, CO"	"08009"	"2008"	"2008"	Suppressed	3806	Suppressed
	"Colorado"	"08"	"Baca County, CO"	"08009"	"2009"	"2009"	Suppressed	3767	Suppressed
	"Colorado"	"08"	"Baca County, CO"	"08009"	"2010"	"2010"	0	3788	Unreliable
	"Colorado"	"08"	"Baca County, CO"	"08009"	"2011"	"2011"	0	3795	Unreliable
	"Colorado"	"08"	"Baca County, CO"	"08009"	"2012"	"2012"	0	3751	Unreliable
	"Colorado"	"08"	"Baca County, CO"	"08009"	"2013"	"2013"	Suppressed	3682	Suppressed
	"Colorado"	"08"	"Baca County, CO"	"08009"	"2014"	"2014"	0	3645	Unreliable
	"Colorado"	"08"	"Bent County, CO"	"08011"	"2006"	"2006"	Suppressed	6012	Suppressed
	"Colorado"	"08"	"Bent County, CO"	"08011"	"2007"	"2007"	Suppressed	5715	Suppressed
	"Colorado"	"08"	"Bent County, CO"	"08011"	"2008"	"2008"	0	5962	Unreliable
	"Colorado"	"08"	"Bent County, CO"	"08011"	"2009"	"2009"	Suppressed	6425	Suppressed
	"Colorado"	"08"	"Bent County, CO"	"08011"	"2010"	"2010"	Suppressed	6499	Suppressed
	"Colorado"	"08"	"Bent County, CO"	"08011"	"2011"	"2011"	Suppressed	6250	Suppressed
	"Colorado"	"08"	"Bent County, CO"	"08011"	"2012"	"2012"	Suppressed	5773	Suppressed
	"Colorado"	"08"	"Bent County, CO"	"08011"	"2013"	"2013"	0	5688	Unreliable
	"Colorado"	"08"	"Bent County, CO"	"08011"	"2014"	"2014"	Suppressed	5630	Suppressed
	"Colorado"	"08"	"Boulder County, CO"	"08013"	"2006"	"2006"	42	284243	14.8
	"Colorado"	"08"	"Boulder County, CO"	"08013"	"2007"	"2007"	47	287428	16.4
	"Colorado"	"08"	"Boulder County, CO"	"08013"	"2008"	"2008"	43	290859	14.8
	"Colorado"	"08"	"Boulder County, CO"	"08013"	"2009"	"2009"	46	293190	15.7
	"Colorado"	"08"	"Boulder County, CO"	"08013"	"2010"	"2010"	23	294567	7.8
	"Colorado"	"08"	"Boulder County, CO"	"08013"	"2011"	"2011"	40	299378	13.4
	"Colorado"	"08"	"Boulder County, CO"	"08013"	"2012"	"2012"	35	305318	11.5
	"Colorado"	"08"	"Boulder County, CO"	"08013"	"2013"	"2013"	56	310048	18.1
	"Colorado"	"08"	"Boulder County, CO"	"08013"	"2014"	"2014"	47	313333	15.0
	"Colorado"	"08"	"Broomfield County, CO"	"08014"	"2006"	"2006"	Suppressed	48729	Suppressed
	"Colorado"	"08"	"Broomfield County, CO"	"08014"	"2007"	"2007"	Suppressed	51526	Suppressed
	"Colorado"	"08"	"Broomfield County, CO"	"08014"	"2008"	"2008"	Suppressed	53181	Suppressed
	"Colorado"	"08"	"Broomfield County, CO"	"08014"	"2009"	"2009"	Suppressed	54789	Suppressed
	"Colorado"	"08"	"Broomfield County, CO"	"08014"	"2010"	"2010"	Suppressed	55889	Suppressed
	"Colorado"	"08"	"Broomfield County, CO"	"08014"	"2011"	"2011"	Suppressed	57352	Suppressed
	"Colorado"	"08"	"Broomfield County, CO"	"08014"	"2012"	"2012"	Suppressed	58298	Suppressed
	"Colorado"	"08"	"Broomfield County, CO"	"08014"	"2013"	"2013"	11	59471	Unreliable
	"Colorado"	"08"	"Broomfield County, CO"	"08014"	"2014"	"2014"	Suppressed	62138	Suppressed
