"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Florida"	"12"	"Alachua County, FL"	"12001"	"2006"	"2006"	13	239506	Unreliable
	"Florida"	"12"	"Alachua County, FL"	"12001"	"2007"	"2007"	20	242685	8.2
	"Florida"	"12"	"Alachua County, FL"	"12001"	"2008"	"2008"	19	244888	Unreliable
	"Florida"	"12"	"Alachua County, FL"	"12001"	"2009"	"2009"	29	246657	11.8
	"Florida"	"12"	"Alachua County, FL"	"12001"	"2010"	"2010"	25	247336	10.1
	"Florida"	"12"	"Alachua County, FL"	"12001"	"2011"	"2011"	25	249365	10.0
	"Florida"	"12"	"Alachua County, FL"	"12001"	"2012"	"2012"	23	251417	9.1
	"Florida"	"12"	"Alachua County, FL"	"12001"	"2013"	"2013"	20	253451	7.9
	"Florida"	"12"	"Alachua County, FL"	"12001"	"2014"	"2014"	22	256380	8.6
	"Florida"	"12"	"Baker County, FL"	"12003"	"2006"	"2006"	Suppressed	25571	Suppressed
	"Florida"	"12"	"Baker County, FL"	"12003"	"2007"	"2007"	10	26212	Unreliable
	"Florida"	"12"	"Baker County, FL"	"12003"	"2008"	"2008"	Suppressed	26725	Suppressed
	"Florida"	"12"	"Baker County, FL"	"12003"	"2009"	"2009"	Suppressed	27124	Suppressed
	"Florida"	"12"	"Baker County, FL"	"12003"	"2010"	"2010"	Suppressed	27115	Suppressed
	"Florida"	"12"	"Baker County, FL"	"12003"	"2011"	"2011"	Suppressed	27154	Suppressed
	"Florida"	"12"	"Baker County, FL"	"12003"	"2012"	"2012"	Suppressed	27086	Suppressed
	"Florida"	"12"	"Baker County, FL"	"12003"	"2013"	"2013"	Suppressed	27013	Suppressed
	"Florida"	"12"	"Baker County, FL"	"12003"	"2014"	"2014"	Suppressed	27093	Suppressed
	"Florida"	"12"	"Bay County, FL"	"12005"	"2006"	"2006"	23	165644	13.9
	"Florida"	"12"	"Bay County, FL"	"12005"	"2007"	"2007"	34	165345	20.6
	"Florida"	"12"	"Bay County, FL"	"12005"	"2008"	"2008"	28	166267	16.8
	"Florida"	"12"	"Bay County, FL"	"12005"	"2009"	"2009"	23	167464	13.7
	"Florida"	"12"	"Bay County, FL"	"12005"	"2010"	"2010"	27	168852	16.0
	"Florida"	"12"	"Bay County, FL"	"12005"	"2011"	"2011"	12	169856	Unreliable
	"Florida"	"12"	"Bay County, FL"	"12005"	"2012"	"2012"	19	171903	Unreliable
	"Florida"	"12"	"Bay County, FL"	"12005"	"2013"	"2013"	20	174987	11.4
	"Florida"	"12"	"Bay County, FL"	"12005"	"2014"	"2014"	30	178985	16.8
