"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Georgia"	"13"	"Appling County, GA"	"13001"	"2006"	"2006"	Suppressed	17725	Suppressed
	"Georgia"	"13"	"Appling County, GA"	"13001"	"2007"	"2007"	Suppressed	17985	Suppressed
	"Georgia"	"13"	"Appling County, GA"	"13001"	"2008"	"2008"	Suppressed	18133	Suppressed
	"Georgia"	"13"	"Appling County, GA"	"13001"	"2009"	"2009"	0	18144	Unreliable
	"Georgia"	"13"	"Appling County, GA"	"13001"	"2010"	"2010"	Suppressed	18236	Suppressed
	"Georgia"	"13"	"Appling County, GA"	"13001"	"2011"	"2011"	Suppressed	18420	Suppressed
	"Georgia"	"13"	"Appling County, GA"	"13001"	"2012"	"2012"	Suppressed	18368	Suppressed
	"Georgia"	"13"	"Appling County, GA"	"13001"	"2013"	"2013"	0	18440	Unreliable
	"Georgia"	"13"	"Appling County, GA"	"13001"	"2014"	"2014"	Suppressed	18540	Suppressed
	"Georgia"	"13"	"Atkinson County, GA"	"13003"	"2006"	"2006"	0	8197	Unreliable
	"Georgia"	"13"	"Atkinson County, GA"	"13003"	"2007"	"2007"	0	8346	Unreliable
	"Georgia"	"13"	"Atkinson County, GA"	"13003"	"2008"	"2008"	0	8366	Unreliable
	"Georgia"	"13"	"Atkinson County, GA"	"13003"	"2009"	"2009"	Suppressed	8386	Suppressed
	"Georgia"	"13"	"Atkinson County, GA"	"13003"	"2010"	"2010"	Suppressed	8375	Suppressed
	"Georgia"	"13"	"Atkinson County, GA"	"13003"	"2011"	"2011"	Suppressed	8413	Suppressed
	"Georgia"	"13"	"Atkinson County, GA"	"13003"	"2012"	"2012"	Suppressed	8284	Suppressed
	"Georgia"	"13"	"Atkinson County, GA"	"13003"	"2013"	"2013"	Suppressed	8290	Suppressed
	"Georgia"	"13"	"Atkinson County, GA"	"13003"	"2014"	"2014"	Suppressed	8223	Suppressed
	"Georgia"	"13"	"Bacon County, GA"	"13005"	"2006"	"2006"	Suppressed	10682	Suppressed
	"Georgia"	"13"	"Bacon County, GA"	"13005"	"2007"	"2007"	Suppressed	10968	Suppressed
	"Georgia"	"13"	"Bacon County, GA"	"13005"	"2008"	"2008"	Suppressed	10987	Suppressed
	"Georgia"	"13"	"Bacon County, GA"	"13005"	"2009"	"2009"	0	11134	Unreliable
	"Georgia"	"13"	"Bacon County, GA"	"13005"	"2010"	"2010"	Suppressed	11096	Suppressed
	"Georgia"	"13"	"Bacon County, GA"	"13005"	"2011"	"2011"	Suppressed	11203	Suppressed
