"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	40	363498	11.0
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2007"	"2007"	44	375368	11.7
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2008"	"2008"	43	382618	11.2
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2009"	"2009"	47	388577	12.1
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2010"	"2010"	47	392365	12.0
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2011"	"2011"	51	400842	12.7
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2012"	"2012"	42	409061	10.3
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2013"	"2013"	57	416464	13.7
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2014"	"2014"	69	426236	16.2
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2006"	"2006"	0	3788	Unreliable
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2007"	"2007"	Suppressed	3949	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2008"	"2008"	Suppressed	4021	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2009"	"2009"	0	4000	Unreliable
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2010"	"2010"	0	3976	Unreliable
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2011"	"2011"	0	3977	Unreliable
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2012"	"2012"	0	3915	Unreliable
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2013"	"2013"	0	3828	Unreliable
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2014"	"2014"	0	3861	Unreliable
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2006"	"2006"	Suppressed	78491	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2007"	"2007"	Suppressed	79338	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2008"	"2008"	10	80609	Unreliable
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2009"	"2009"	19	81994	Unreliable
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2010"	"2010"	13	82839	Unreliable
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2011"	"2011"	17	83691	Unreliable
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2012"	"2012"	19	83800	Unreliable
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2013"	"2013"	18	83249	Unreliable
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2014"	"2014"	26	83347	31.2
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2006"	"2006"	0	6071	Unreliable
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2007"	"2007"	Suppressed	6049	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2008"	"2008"	0	6027	Unreliable
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2009"	"2009"	Suppressed	6014	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2010"	"2010"	Suppressed	5986	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2011"	"2011"	Suppressed	6001	Suppressed
