"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Illinois"	"17"	"Adams County, IL"	"17001"	"2006"	"2006"	Suppressed	67106	Suppressed
	"Illinois"	"17"	"Adams County, IL"	"17001"	"2007"	"2007"	Suppressed	66943	Suppressed
	"Illinois"	"17"	"Adams County, IL"	"17001"	"2008"	"2008"	Suppressed	66943	Suppressed
	"Illinois"	"17"	"Adams County, IL"	"17001"	"2009"	"2009"	Suppressed	67039	Suppressed
	"Illinois"	"17"	"Adams County, IL"	"17001"	"2010"	"2010"	Suppressed	67103	Suppressed
	"Illinois"	"17"	"Adams County, IL"	"17001"	"2011"	"2011"	Suppressed	67159	Suppressed
	"Illinois"	"17"	"Adams County, IL"	"17001"	"2012"	"2012"	Suppressed	67197	Suppressed
	"Illinois"	"17"	"Adams County, IL"	"17001"	"2013"	"2013"	Suppressed	67130	Suppressed
	"Illinois"	"17"	"Adams County, IL"	"17001"	"2014"	"2014"	Suppressed	66988	Suppressed
	"Illinois"	"17"	"Alexander County, IL"	"17003"	"2006"	"2006"	0	8730	Unreliable
	"Illinois"	"17"	"Alexander County, IL"	"17003"	"2007"	"2007"	0	8552	Unreliable
	"Illinois"	"17"	"Alexander County, IL"	"17003"	"2008"	"2008"	0	8461	Unreliable
	"Illinois"	"17"	"Alexander County, IL"	"17003"	"2009"	"2009"	0	8295	Unreliable
	"Illinois"	"17"	"Alexander County, IL"	"17003"	"2010"	"2010"	0	8238	Unreliable
	"Illinois"	"17"	"Alexander County, IL"	"17003"	"2011"	"2011"	0	8036	Unreliable
	"Illinois"	"17"	"Alexander County, IL"	"17003"	"2012"	"2012"	0	7748	Unreliable
	"Illinois"	"17"	"Alexander County, IL"	"17003"	"2013"	"2013"	0	7629	Unreliable
	"Illinois"	"17"	"Alexander County, IL"	"17003"	"2014"	"2014"	Suppressed	7492	Suppressed
	"Illinois"	"17"	"Bond County, IL"	"17005"	"2006"	"2006"	0	18004	Unreliable
	"Illinois"	"17"	"Bond County, IL"	"17005"	"2007"	"2007"	0	18077	Unreliable
	"Illinois"	"17"	"Bond County, IL"	"17005"	"2008"	"2008"	Suppressed	17916	Suppressed
	"Illinois"	"17"	"Bond County, IL"	"17005"	"2009"	"2009"	0	17747	Unreliable
	"Illinois"	"17"	"Bond County, IL"	"17005"	"2010"	"2010"	Suppressed	17768	Suppressed
	"Illinois"	"17"	"Bond County, IL"	"17005"	"2011"	"2011"	0	17727	Unreliable
	"Illinois"	"17"	"Bond County, IL"	"17005"	"2012"	"2012"	Suppressed	17644	Suppressed
	"Illinois"	"17"	"Bond County, IL"	"17005"	"2013"	"2013"	0	17470	Unreliable
	"Illinois"	"17"	"Bond County, IL"	"17005"	"2014"	"2014"	Suppressed	17269	Suppressed
	"Illinois"	"17"	"Boone County, IL"	"17007"	"2006"	"2006"	Suppressed	51797	Suppressed
	"Illinois"	"17"	"Boone County, IL"	"17007"	"2007"	"2007"	Suppressed	53512	Suppressed
	"Illinois"	"17"	"Boone County, IL"	"17007"	"2008"	"2008"	Suppressed	54211	Suppressed
	"Illinois"	"17"	"Boone County, IL"	"17007"	"2009"	"2009"	Suppressed	54154	Suppressed
	"Illinois"	"17"	"Boone County, IL"	"17007"	"2010"	"2010"	Suppressed	54165	Suppressed
	"Illinois"	"17"	"Boone County, IL"	"17007"	"2011"	"2011"	Suppressed	54367	Suppressed
	"Illinois"	"17"	"Boone County, IL"	"17007"	"2012"	"2012"	Suppressed	53940	Suppressed
	"Illinois"	"17"	"Boone County, IL"	"17007"	"2013"	"2013"	Suppressed	53957	Suppressed
	"Illinois"	"17"	"Boone County, IL"	"17007"	"2014"	"2014"	12	53869	Unreliable
	"Illinois"	"17"	"Brown County, IL"	"17009"	"2006"	"2006"	0	6875	Unreliable
	"Illinois"	"17"	"Brown County, IL"	"17009"	"2007"	"2007"	Suppressed	6833	Suppressed
	"Illinois"	"17"	"Brown County, IL"	"17009"	"2008"	"2008"	0	6896	Unreliable
	"Illinois"	"17"	"Brown County, IL"	"17009"	"2009"	"2009"	Suppressed	6963	Suppressed
	"Illinois"	"17"	"Brown County, IL"	"17009"	"2010"	"2010"	0	6937	Unreliable
	"Illinois"	"17"	"Brown County, IL"	"17009"	"2011"	"2011"	Suppressed	6878	Suppressed
	"Illinois"	"17"	"Brown County, IL"	"17009"	"2012"	"2012"	0	6914	Unreliable
	"Illinois"	"17"	"Brown County, IL"	"17009"	"2013"	"2013"	0	6860	Unreliable
	"Illinois"	"17"	"Brown County, IL"	"17009"	"2014"	"2014"	0	6832	Unreliable
	"Illinois"	"17"	"Bureau County, IL"	"17011"	"2006"	"2006"	Suppressed	35183	Suppressed
	"Illinois"	"17"	"Bureau County, IL"	"17011"	"2007"	"2007"	Suppressed	35153	Suppressed
	"Illinois"	"17"	"Bureau County, IL"	"17011"	"2008"	"2008"	Suppressed	35078	Suppressed
	"Illinois"	"17"	"Bureau County, IL"	"17011"	"2009"	"2009"	Suppressed	35058	Suppressed
	"Illinois"	"17"	"Bureau County, IL"	"17011"	"2010"	"2010"	Suppressed	34978	Suppressed
	"Illinois"	"17"	"Bureau County, IL"	"17011"	"2011"	"2011"	Suppressed	34606	Suppressed
	"Illinois"	"17"	"Bureau County, IL"	"17011"	"2012"	"2012"	Suppressed	34323	Suppressed
	"Illinois"	"17"	"Bureau County, IL"	"17011"	"2013"	"2013"	Suppressed	34056	Suppressed
	"Illinois"	"17"	"Bureau County, IL"	"17011"	"2014"	"2014"	Suppressed	33840	Suppressed
	"Illinois"	"17"	"Calhoun County, IL"	"17013"	"2006"	"2006"	0	5174	Unreliable
	"Illinois"	"17"	"Calhoun County, IL"	"17013"	"2007"	"2007"	0	5160	Unreliable
	"Illinois"	"17"	"Calhoun County, IL"	"17013"	"2008"	"2008"	0	5084	Unreliable
