"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Indiana"	"18"	"Adams County, IN"	"18001"	"2006"	"2006"	Suppressed	33887	Suppressed
	"Indiana"	"18"	"Adams County, IN"	"18001"	"2007"	"2007"	Suppressed	33962	Suppressed
	"Indiana"	"18"	"Adams County, IN"	"18001"	"2008"	"2008"	Suppressed	34214	Suppressed
	"Indiana"	"18"	"Adams County, IN"	"18001"	"2009"	"2009"	Suppressed	34351	Suppressed
	"Indiana"	"18"	"Adams County, IN"	"18001"	"2010"	"2010"	Suppressed	34387	Suppressed
	"Indiana"	"18"	"Adams County, IN"	"18001"	"2011"	"2011"	Suppressed	34370	Suppressed
	"Indiana"	"18"	"Adams County, IN"	"18001"	"2012"	"2012"	Suppressed	34365	Suppressed
	"Indiana"	"18"	"Adams County, IN"	"18001"	"2013"	"2013"	Suppressed	34614	Suppressed
	"Indiana"	"18"	"Adams County, IN"	"18001"	"2014"	"2014"	Suppressed	34791	Suppressed
	"Indiana"	"18"	"Allen County, IN"	"18003"	"2006"	"2006"	27	346314	7.8
	"Indiana"	"18"	"Allen County, IN"	"18003"	"2007"	"2007"	24	349534	6.9
	"Indiana"	"18"	"Allen County, IN"	"18003"	"2008"	"2008"	31	351264	8.8
	"Indiana"	"18"	"Allen County, IN"	"18003"	"2009"	"2009"	41	353693	11.6
	"Indiana"	"18"	"Allen County, IN"	"18003"	"2010"	"2010"	44	355329	12.4
	"Indiana"	"18"	"Allen County, IN"	"18003"	"2011"	"2011"	32	358327	8.9
	"Indiana"	"18"	"Allen County, IN"	"18003"	"2012"	"2012"	43	360412	11.9
	"Indiana"	"18"	"Allen County, IN"	"18003"	"2013"	"2013"	57	363014	15.7
	"Indiana"	"18"	"Allen County, IN"	"18003"	"2014"	"2014"	51	365918	13.9
	"Indiana"	"18"	"Bartholomew County, IN"	"18005"	"2006"	"2006"	10	74508	Unreliable
	"Indiana"	"18"	"Bartholomew County, IN"	"18005"	"2007"	"2007"	16	75265	Unreliable
	"Indiana"	"18"	"Bartholomew County, IN"	"18005"	"2008"	"2008"	16	76080	Unreliable
	"Indiana"	"18"	"Bartholomew County, IN"	"18005"	"2009"	"2009"	Suppressed	76566	Suppressed
	"Indiana"	"18"	"Bartholomew County, IN"	"18005"	"2010"	"2010"	15	76794	Unreliable
	"Indiana"	"18"	"Bartholomew County, IN"	"18005"	"2011"	"2011"	Suppressed	77870	Suppressed
	"Indiana"	"18"	"Bartholomew County, IN"	"18005"	"2012"	"2012"	Suppressed	79129	Suppressed
	"Indiana"	"18"	"Bartholomew County, IN"	"18005"	"2013"	"2013"	Suppressed	79587	Suppressed
	"Indiana"	"18"	"Bartholomew County, IN"	"18005"	"2014"	"2014"	11	80217	Unreliable
	"Indiana"	"18"	"Benton County, IN"	"18007"	"2006"	"2006"	Suppressed	8871	Suppressed
	"Indiana"	"18"	"Benton County, IN"	"18007"	"2007"	"2007"	Suppressed	8805	Suppressed
	"Indiana"	"18"	"Benton County, IN"	"18007"	"2008"	"2008"	Suppressed	8801	Suppressed
	"Indiana"	"18"	"Benton County, IN"	"18007"	"2009"	"2009"	Suppressed	8735	Suppressed
	"Indiana"	"18"	"Benton County, IN"	"18007"	"2010"	"2010"	Suppressed	8854	Suppressed
	"Indiana"	"18"	"Benton County, IN"	"18007"	"2011"	"2011"	Suppressed	8853	Suppressed
	"Indiana"	"18"	"Benton County, IN"	"18007"	"2012"	"2012"	Suppressed	8804	Suppressed
	"Indiana"	"18"	"Benton County, IN"	"18007"	"2013"	"2013"	Suppressed	8767	Suppressed
	"Indiana"	"18"	"Benton County, IN"	"18007"	"2014"	"2014"	Suppressed	8700	Suppressed
	"Indiana"	"18"	"Blackford County, IN"	"18009"	"2006"	"2006"	Suppressed	13161	Suppressed
	"Indiana"	"18"	"Blackford County, IN"	"18009"	"2007"	"2007"	0	13078	Unreliable
	"Indiana"	"18"	"Blackford County, IN"	"18009"	"2008"	"2008"	Suppressed	12971	Suppressed
	"Indiana"	"18"	"Blackford County, IN"	"18009"	"2009"	"2009"	Suppressed	12844	Suppressed
	"Indiana"	"18"	"Blackford County, IN"	"18009"	"2010"	"2010"	Suppressed	12766	Suppressed
	"Indiana"	"18"	"Blackford County, IN"	"18009"	"2011"	"2011"	Suppressed	12594	Suppressed
	"Indiana"	"18"	"Blackford County, IN"	"18009"	"2012"	"2012"	Suppressed	12502	Suppressed
	"Indiana"	"18"	"Blackford County, IN"	"18009"	"2013"	"2013"	Suppressed	12481	Suppressed
	"Indiana"	"18"	"Blackford County, IN"	"18009"	"2014"	"2014"	Suppressed	12401	Suppressed
	"Indiana"	"18"	"Boone County, IN"	"18011"	"2006"	"2006"	Suppressed	52750	Suppressed
	"Indiana"	"18"	"Boone County, IN"	"18011"	"2007"	"2007"	Suppressed	53778	Suppressed
	"Indiana"	"18"	"Boone County, IN"	"18011"	"2008"	"2008"	Suppressed	54648	Suppressed
	"Indiana"	"18"	"Boone County, IN"	"18011"	"2009"	"2009"	Suppressed	55915	Suppressed
	"Indiana"	"18"	"Boone County, IN"	"18011"	"2010"	"2010"	Suppressed	56640	Suppressed
	"Indiana"	"18"	"Boone County, IN"	"18011"	"2011"	"2011"	Suppressed	57481	Suppressed
	"Indiana"	"18"	"Boone County, IN"	"18011"	"2012"	"2012"	10	58944	Unreliable
	"Indiana"	"18"	"Boone County, IN"	"18011"	"2013"	"2013"	14	60477	Unreliable
	"Indiana"	"18"	"Boone County, IN"	"18011"	"2014"	"2014"	Suppressed	61915	Suppressed
	"Indiana"	"18"	"Brown County, IN"	"18013"	"2006"	"2006"	Suppressed	15329	Suppressed
	"Indiana"	"18"	"Brown County, IN"	"18013"	"2007"	"2007"	Suppressed	15274	Suppressed
	"Indiana"	"18"	"Brown County, IN"	"18013"	"2008"	"2008"	Suppressed	15274	Suppressed
	"Indiana"	"18"	"Brown County, IN"	"18013"	"2009"	"2009"	Suppressed	15261	Suppressed
	"Indiana"	"18"	"Brown County, IN"	"18013"	"2010"	"2010"	Suppressed	15242	Suppressed
	"Indiana"	"18"	"Brown County, IN"	"18013"	"2011"	"2011"	Suppressed	15099	Suppressed
	"Indiana"	"18"	"Brown County, IN"	"18013"	"2012"	"2012"	Suppressed	15083	Suppressed
	"Indiana"	"18"	"Brown County, IN"	"18013"	"2013"	"2013"	Suppressed	15023	Suppressed
	"Indiana"	"18"	"Brown County, IN"	"18013"	"2014"	"2014"	Suppressed	14962	Suppressed
	"Indiana"	"18"	"Carroll County, IN"	"18015"	"2006"	"2006"	Suppressed	20179	Suppressed
	"Indiana"	"18"	"Carroll County, IN"	"18015"	"2007"	"2007"	Suppressed	20118	Suppressed
	"Indiana"	"18"	"Carroll County, IN"	"18015"	"2008"	"2008"	Suppressed	20114	Suppressed
	"Indiana"	"18"	"Carroll County, IN"	"18015"	"2009"	"2009"	0	20103	Unreliable
	"Indiana"	"18"	"Carroll County, IN"	"18015"	"2010"	"2010"	Suppressed	20155	Suppressed
	"Indiana"	"18"	"Carroll County, IN"	"18015"	"2011"	"2011"	Suppressed	20031	Suppressed
	"Indiana"	"18"	"Carroll County, IN"	"18015"	"2012"	"2012"	Suppressed	20095	Suppressed
	"Indiana"	"18"	"Carroll County, IN"	"18015"	"2013"	"2013"	Suppressed	20086	Suppressed
	"Indiana"	"18"	"Carroll County, IN"	"18015"	"2014"	"2014"	Suppressed	19923	Suppressed
	"Indiana"	"18"	"Cass County, IN"	"18017"	"2006"	"2006"	Suppressed	39255	Suppressed
	"Indiana"	"18"	"Cass County, IN"	"18017"	"2007"	"2007"	Suppressed	39033	Suppressed
	"Indiana"	"18"	"Cass County, IN"	"18017"	"2008"	"2008"	0	39070	Unreliable
	"Indiana"	"18"	"Cass County, IN"	"18017"	"2009"	"2009"	Suppressed	38968	Suppressed
	"Indiana"	"18"	"Cass County, IN"	"18017"	"2010"	"2010"	Suppressed	38966	Suppressed
	"Indiana"	"18"	"Cass County, IN"	"18017"	"2011"	"2011"	Suppressed	38828	Suppressed
	"Indiana"	"18"	"Cass County, IN"	"18017"	"2012"	"2012"	0	38581	Unreliable
	"Indiana"	"18"	"Cass County, IN"	"18017"	"2013"	"2013"	Suppressed	38463	Suppressed
	"Indiana"	"18"	"Cass County, IN"	"18017"	"2014"	"2014"	Suppressed	38438	Suppressed
	"Indiana"	"18"	"Clark County, IN"	"18019"	"2006"	"2006"	13	104148	Unreliable
	"Indiana"	"18"	"Clark County, IN"	"18019"	"2007"	"2007"	14	105672	Unreliable
	"Indiana"	"18"	"Clark County, IN"	"18019"	"2008"	"2008"	17	107406	Unreliable
	"Indiana"	"18"	"Clark County, IN"	"18019"	"2009"	"2009"	10	109067	Unreliable
	"Indiana"	"18"	"Clark County, IN"	"18019"	"2010"	"2010"	20	110232	18.1
	"Indiana"	"18"	"Clark County, IN"	"18019"	"2011"	"2011"	30	111570	26.9
	"Indiana"	"18"	"Clark County, IN"	"18019"	"2012"	"2012"	32	111951	28.6
	"Indiana"	"18"	"Clark County, IN"	"18019"	"2013"	"2013"	21	112938	18.6
	"Indiana"	"18"	"Clark County, IN"	"18019"	"2014"	"2014"	27	114262	23.6
	"Indiana"	"18"	"Clay County, IN"	"18021"	"2006"	"2006"	Suppressed	27096	Suppressed
	"Indiana"	"18"	"Clay County, IN"	"18021"	"2007"	"2007"	Suppressed	26983	Suppressed
	"Indiana"	"18"	"Clay County, IN"	"18021"	"2008"	"2008"	Suppressed	27058	Suppressed
	"Indiana"	"18"	"Clay County, IN"	"18021"	"2009"	"2009"	Suppressed	26901	Suppressed
	"Indiana"	"18"	"Clay County, IN"	"18021"	"2010"	"2010"	Suppressed	26890	Suppressed
	"Indiana"	"18"	"Clay County, IN"	"18021"	"2011"	"2011"	Suppressed	26894	Suppressed
	"Indiana"	"18"	"Clay County, IN"	"18021"	"2012"	"2012"	Suppressed	26837	Suppressed
	"Indiana"	"18"	"Clay County, IN"	"18021"	"2013"	"2013"	Suppressed	26803	Suppressed
	"Indiana"	"18"	"Clay County, IN"	"18021"	"2014"	"2014"	Suppressed	26562	Suppressed
	"Indiana"	"18"	"Clinton County, IN"	"18023"	"2006"	"2006"	Suppressed	33298	Suppressed
	"Indiana"	"18"	"Clinton County, IN"	"18023"	"2007"	"2007"	Suppressed	33188	Suppressed
	"Indiana"	"18"	"Clinton County, IN"	"18023"	"2008"	"2008"	Suppressed	33352	Suppressed
	"Indiana"	"18"	"Clinton County, IN"	"18023"	"2009"	"2009"	Suppressed	33280	Suppressed
	"Indiana"	"18"	"Clinton County, IN"	"18023"	"2010"	"2010"	Suppressed	33224	Suppressed
	"Indiana"	"18"	"Clinton County, IN"	"18023"	"2011"	"2011"	Suppressed	33104	Suppressed
	"Indiana"	"18"	"Clinton County, IN"	"18023"	"2012"	"2012"	Suppressed	33022	Suppressed
	"Indiana"	"18"	"Clinton County, IN"	"18023"	"2013"	"2013"	Suppressed	32916	Suppressed
	"Indiana"	"18"	"Clinton County, IN"	"18023"	"2014"	"2014"	Suppressed	32776	Suppressed
	"Indiana"	"18"	"Crawford County, IN"	"18025"	"2006"	"2006"	0	11008	Unreliable
	"Indiana"	"18"	"Crawford County, IN"	"18025"	"2007"	"2007"	0	10933	Unreliable
	"Indiana"	"18"	"Crawford County, IN"	"18025"	"2008"	"2008"	Suppressed	10792	Suppressed
	"Indiana"	"18"	"Crawford County, IN"	"18025"	"2009"	"2009"	Suppressed	10664	Suppressed
	"Indiana"	"18"	"Crawford County, IN"	"18025"	"2010"	"2010"	Suppressed	10713	Suppressed
	"Indiana"	"18"	"Crawford County, IN"	"18025"	"2011"	"2011"	0	10658	Unreliable
	"Indiana"	"18"	"Crawford County, IN"	"18025"	"2012"	"2012"	Suppressed	10665	Suppressed
	"Indiana"	"18"	"Crawford County, IN"	"18025"	"2013"	"2013"	Suppressed	10621	Suppressed
	"Indiana"	"18"	"Crawford County, IN"	"18025"	"2014"	"2014"	Suppressed	10655	Suppressed
	"Indiana"	"18"	"Daviess County, IN"	"18027"	"2006"	"2006"	Suppressed	30469	Suppressed
	"Indiana"	"18"	"Daviess County, IN"	"18027"	"2007"	"2007"	Suppressed	30702	Suppressed
	"Indiana"	"18"	"Daviess County, IN"	"18027"	"2008"	"2008"	Suppressed	30947	Suppressed
	"Indiana"	"18"	"Daviess County, IN"	"18027"	"2009"	"2009"	Suppressed	31389	Suppressed
	"Indiana"	"18"	"Daviess County, IN"	"18027"	"2010"	"2010"	Suppressed	31648	Suppressed
	"Indiana"	"18"	"Daviess County, IN"	"18027"	"2011"	"2011"	Suppressed	31978	Suppressed
	"Indiana"	"18"	"Daviess County, IN"	"18027"	"2012"	"2012"	Suppressed	32064	Suppressed
	"Indiana"	"18"	"Daviess County, IN"	"18027"	"2013"	"2013"	Suppressed	32407	Suppressed
	"Indiana"	"18"	"Daviess County, IN"	"18027"	"2014"	"2014"	Suppressed	32729	Suppressed
	"Indiana"	"18"	"Dearborn County, IN"	"18029"	"2006"	"2006"	Suppressed	48879	Suppressed
	"Indiana"	"18"	"Dearborn County, IN"	"18029"	"2007"	"2007"	Suppressed	49348	Suppressed
	"Indiana"	"18"	"Dearborn County, IN"	"18029"	"2008"	"2008"	Suppressed	49643	Suppressed
	"Indiana"	"18"	"Dearborn County, IN"	"18029"	"2009"	"2009"	11	49931	Unreliable
	"Indiana"	"18"	"Dearborn County, IN"	"18029"	"2010"	"2010"	11	50047	Unreliable
	"Indiana"	"18"	"Dearborn County, IN"	"18029"	"2011"	"2011"	13	50113	Unreliable
	"Indiana"	"18"	"Dearborn County, IN"	"18029"	"2012"	"2012"	13	49831	Unreliable
