"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Iowa"	"19"	"Adair County, IA"	"19001"	"2006"	"2006"	0	7924	Unreliable
	"Iowa"	"19"	"Adair County, IA"	"19001"	"2007"	"2007"	0	7871	Unreliable
	"Iowa"	"19"	"Adair County, IA"	"19001"	"2008"	"2008"	Suppressed	7747	Suppressed
	"Iowa"	"19"	"Adair County, IA"	"19001"	"2009"	"2009"	0	7676	Unreliable
	"Iowa"	"19"	"Adair County, IA"	"19001"	"2010"	"2010"	Suppressed	7682	Suppressed
	"Iowa"	"19"	"Adair County, IA"	"19001"	"2011"	"2011"	0	7527	Unreliable
	"Iowa"	"19"	"Adair County, IA"	"19001"	"2012"	"2012"	0	7481	Unreliable
	"Iowa"	"19"	"Adair County, IA"	"19001"	"2013"	"2013"	Suppressed	7472	Suppressed
	"Iowa"	"19"	"Adair County, IA"	"19001"	"2014"	"2014"	Suppressed	7454	Suppressed
	"Iowa"	"19"	"Adams County, IA"	"19003"	"2006"	"2006"	Suppressed	4224	Suppressed
	"Iowa"	"19"	"Adams County, IA"	"19003"	"2007"	"2007"	0	4195	Unreliable
	"Iowa"	"19"	"Adams County, IA"	"19003"	"2008"	"2008"	0	4151	Unreliable
	"Iowa"	"19"	"Adams County, IA"	"19003"	"2009"	"2009"	Suppressed	4047	Suppressed
	"Iowa"	"19"	"Adams County, IA"	"19003"	"2010"	"2010"	0	4029	Unreliable
	"Iowa"	"19"	"Adams County, IA"	"19003"	"2011"	"2011"	0	4004	Unreliable
	"Iowa"	"19"	"Adams County, IA"	"19003"	"2012"	"2012"	0	3911	Unreliable
	"Iowa"	"19"	"Adams County, IA"	"19003"	"2013"	"2013"	0	3894	Unreliable
	"Iowa"	"19"	"Adams County, IA"	"19003"	"2014"	"2014"	0	3875	Unreliable
	"Iowa"	"19"	"Allamakee County, IA"	"19005"	"2006"	"2006"	Suppressed	14378	Suppressed
	"Iowa"	"19"	"Allamakee County, IA"	"19005"	"2007"	"2007"	0	14335	Unreliable
	"Iowa"	"19"	"Allamakee County, IA"	"19005"	"2008"	"2008"	0	14325	Unreliable
	"Iowa"	"19"	"Allamakee County, IA"	"19005"	"2009"	"2009"	0	14263	Unreliable
	"Iowa"	"19"	"Allamakee County, IA"	"19005"	"2010"	"2010"	0	14330	Unreliable
	"Iowa"	"19"	"Allamakee County, IA"	"19005"	"2011"	"2011"	Suppressed	14274	Suppressed
	"Iowa"	"19"	"Allamakee County, IA"	"19005"	"2012"	"2012"	0	14237	Unreliable
	"Iowa"	"19"	"Allamakee County, IA"	"19005"	"2013"	"2013"	Suppressed	14169	Suppressed
	"Iowa"	"19"	"Allamakee County, IA"	"19005"	"2014"	"2014"	Suppressed	14038	Suppressed
	"Iowa"	"19"	"Appanoose County, IA"	"19007"	"2006"	"2006"	Suppressed	13319	Suppressed
	"Iowa"	"19"	"Appanoose County, IA"	"19007"	"2007"	"2007"	Suppressed	13105	Suppressed
	"Iowa"	"19"	"Appanoose County, IA"	"19007"	"2008"	"2008"	Suppressed	12950	Suppressed
	"Iowa"	"19"	"Appanoose County, IA"	"19007"	"2009"	"2009"	Suppressed	12896	Suppressed
	"Iowa"	"19"	"Appanoose County, IA"	"19007"	"2010"	"2010"	Suppressed	12887	Suppressed
	"Iowa"	"19"	"Appanoose County, IA"	"19007"	"2011"	"2011"	Suppressed	12797	Suppressed
	"Iowa"	"19"	"Appanoose County, IA"	"19007"	"2012"	"2012"	Suppressed	12700	Suppressed
	"Iowa"	"19"	"Appanoose County, IA"	"19007"	"2013"	"2013"	Suppressed	12692	Suppressed
	"Iowa"	"19"	"Appanoose County, IA"	"19007"	"2014"	"2014"	Suppressed	12661	Suppressed
	"Iowa"	"19"	"Audubon County, IA"	"19009"	"2006"	"2006"	0	6265	Unreliable
	"Iowa"	"19"	"Audubon County, IA"	"19009"	"2007"	"2007"	0	6222	Unreliable
	"Iowa"	"19"	"Audubon County, IA"	"19009"	"2008"	"2008"	0	6200	Unreliable
	"Iowa"	"19"	"Audubon County, IA"	"19009"	"2009"	"2009"	0	6136	Unreliable
	"Iowa"	"19"	"Audubon County, IA"	"19009"	"2010"	"2010"	0	6119	Unreliable
	"Iowa"	"19"	"Audubon County, IA"	"19009"	"2011"	"2011"	0	6034	Unreliable
	"Iowa"	"19"	"Audubon County, IA"	"19009"	"2012"	"2012"	0	5910	Unreliable
	"Iowa"	"19"	"Audubon County, IA"	"19009"	"2013"	"2013"	0	5873	Unreliable
	"Iowa"	"19"	"Audubon County, IA"	"19009"	"2014"	"2014"	0	5794	Unreliable
	"Iowa"	"19"	"Benton County, IA"	"19011"	"2006"	"2006"	Suppressed	26137	Suppressed
	"Iowa"	"19"	"Benton County, IA"	"19011"	"2007"	"2007"	Suppressed	26066	Suppressed
	"Iowa"	"19"	"Benton County, IA"	"19011"	"2008"	"2008"	Suppressed	26097	Suppressed
	"Iowa"	"19"	"Benton County, IA"	"19011"	"2009"	"2009"	0	26117	Unreliable
	"Iowa"	"19"	"Benton County, IA"	"19011"	"2010"	"2010"	Suppressed	26076	Suppressed
	"Iowa"	"19"	"Benton County, IA"	"19011"	"2011"	"2011"	Suppressed	26092	Suppressed
	"Iowa"	"19"	"Benton County, IA"	"19011"	"2012"	"2012"	Suppressed	25827	Suppressed
	"Iowa"	"19"	"Benton County, IA"	"19011"	"2013"	"2013"	Suppressed	25699	Suppressed
	"Iowa"	"19"	"Benton County, IA"	"19011"	"2014"	"2014"	0	25680	Unreliable
	"Iowa"	"19"	"Black Hawk County, IA"	"19013"	"2006"	"2006"	Suppressed	127486	Suppressed
	"Iowa"	"19"	"Black Hawk County, IA"	"19013"	"2007"	"2007"	Suppressed	127756	Suppressed
	"Iowa"	"19"	"Black Hawk County, IA"	"19013"	"2008"	"2008"	Suppressed	129203	Suppressed
	"Iowa"	"19"	"Black Hawk County, IA"	"19013"	"2009"	"2009"	Suppressed	130595	Suppressed
	"Iowa"	"19"	"Black Hawk County, IA"	"19013"	"2010"	"2010"	11	131090	Unreliable
	"Iowa"	"19"	"Black Hawk County, IA"	"19013"	"2011"	"2011"	Suppressed	131549	Suppressed
