"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Kentucky"	"21"	"Adair County, KY"	"21001"	"2006"	"2006"	Suppressed	18335	Suppressed
	"Kentucky"	"21"	"Adair County, KY"	"21001"	"2007"	"2007"	Suppressed	18493	Suppressed
	"Kentucky"	"21"	"Adair County, KY"	"21001"	"2008"	"2008"	Suppressed	18541	Suppressed
	"Kentucky"	"21"	"Adair County, KY"	"21001"	"2009"	"2009"	Suppressed	18729	Suppressed
	"Kentucky"	"21"	"Adair County, KY"	"21001"	"2010"	"2010"	0	18656	Unreliable
	"Kentucky"	"21"	"Adair County, KY"	"21001"	"2011"	"2011"	Suppressed	18686	Suppressed
	"Kentucky"	"21"	"Adair County, KY"	"21001"	"2012"	"2012"	Suppressed	18675	Suppressed
	"Kentucky"	"21"	"Adair County, KY"	"21001"	"2013"	"2013"	Suppressed	18732	Suppressed
	"Kentucky"	"21"	"Adair County, KY"	"21001"	"2014"	"2014"	Suppressed	19204	Suppressed
	"Kentucky"	"21"	"Allen County, KY"	"21003"	"2006"	"2006"	Suppressed	19272	Suppressed
	"Kentucky"	"21"	"Allen County, KY"	"21003"	"2007"	"2007"	Suppressed	19540	Suppressed
	"Kentucky"	"21"	"Allen County, KY"	"21003"	"2008"	"2008"	Suppressed	19838	Suppressed
	"Kentucky"	"21"	"Allen County, KY"	"21003"	"2009"	"2009"	Suppressed	19811	Suppressed
	"Kentucky"	"21"	"Allen County, KY"	"21003"	"2010"	"2010"	Suppressed	19956	Suppressed
	"Kentucky"	"21"	"Allen County, KY"	"21003"	"2011"	"2011"	Suppressed	20140	Suppressed
	"Kentucky"	"21"	"Allen County, KY"	"21003"	"2012"	"2012"	Suppressed	20210	Suppressed
	"Kentucky"	"21"	"Allen County, KY"	"21003"	"2013"	"2013"	Suppressed	20311	Suppressed
	"Kentucky"	"21"	"Allen County, KY"	"21003"	"2014"	"2014"	Suppressed	20384	Suppressed
	"Kentucky"	"21"	"Anderson County, KY"	"21005"	"2006"	"2006"	Suppressed	20519	Suppressed
	"Kentucky"	"21"	"Anderson County, KY"	"21005"	"2007"	"2007"	Suppressed	20999	Suppressed
	"Kentucky"	"21"	"Anderson County, KY"	"21005"	"2008"	"2008"	Suppressed	21088	Suppressed
	"Kentucky"	"21"	"Anderson County, KY"	"21005"	"2009"	"2009"	0	21328	Unreliable
	"Kentucky"	"21"	"Anderson County, KY"	"21005"	"2010"	"2010"	Suppressed	21421	Suppressed
	"Kentucky"	"21"	"Anderson County, KY"	"21005"	"2011"	"2011"	Suppressed	21644	Suppressed
	"Kentucky"	"21"	"Anderson County, KY"	"21005"	"2012"	"2012"	Suppressed	21728	Suppressed
	"Kentucky"	"21"	"Anderson County, KY"	"21005"	"2013"	"2013"	Suppressed	21811	Suppressed
	"Kentucky"	"21"	"Anderson County, KY"	"21005"	"2014"	"2014"	Suppressed	21888	Suppressed
	"Kentucky"	"21"	"Ballard County, KY"	"21007"	"2006"	"2006"	0	8204	Unreliable
	"Kentucky"	"21"	"Ballard County, KY"	"21007"	"2007"	"2007"	0	8190	Unreliable
	"Kentucky"	"21"	"Ballard County, KY"	"21007"	"2008"	"2008"	Suppressed	8265	Suppressed
	"Kentucky"	"21"	"Ballard County, KY"	"21007"	"2009"	"2009"	0	8204	Unreliable
	"Kentucky"	"21"	"Ballard County, KY"	"21007"	"2010"	"2010"	Suppressed	8249	Suppressed
	"Kentucky"	"21"	"Ballard County, KY"	"21007"	"2011"	"2011"	Suppressed	8253	Suppressed
	"Kentucky"	"21"	"Ballard County, KY"	"21007"	"2012"	"2012"	0	8333	Unreliable
	"Kentucky"	"21"	"Ballard County, KY"	"21007"	"2013"	"2013"	Suppressed	8332	Suppressed
	"Kentucky"	"21"	"Ballard County, KY"	"21007"	"2014"	"2014"	Suppressed	8240	Suppressed
	"Kentucky"	"21"	"Barren County, KY"	"21009"	"2006"	"2006"	Suppressed	40857	Suppressed
	"Kentucky"	"21"	"Barren County, KY"	"21009"	"2007"	"2007"	Suppressed	41435	Suppressed
	"Kentucky"	"21"	"Barren County, KY"	"21009"	"2008"	"2008"	Suppressed	41797	Suppressed
	"Kentucky"	"21"	"Barren County, KY"	"21009"	"2009"	"2009"	0	42171	Unreliable
	"Kentucky"	"21"	"Barren County, KY"	"21009"	"2010"	"2010"	Suppressed	42173	Suppressed
	"Kentucky"	"21"	"Barren County, KY"	"21009"	"2011"	"2011"	Suppressed	42269	Suppressed
	"Kentucky"	"21"	"Barren County, KY"	"21009"	"2012"	"2012"	Suppressed	42631	Suppressed
	"Kentucky"	"21"	"Barren County, KY"	"21009"	"2013"	"2013"	10	43027	Unreliable
	"Kentucky"	"21"	"Barren County, KY"	"21009"	"2014"	"2014"	Suppressed	43148	Suppressed
	"Kentucky"	"21"	"Bath County, KY"	"21011"	"2006"	"2006"	Suppressed	11558	Suppressed
	"Kentucky"	"21"	"Bath County, KY"	"21011"	"2007"	"2007"	Suppressed	11470	Suppressed
	"Kentucky"	"21"	"Bath County, KY"	"21011"	"2008"	"2008"	11	11647	Unreliable
	"Kentucky"	"21"	"Bath County, KY"	"21011"	"2009"	"2009"	Suppressed	11544	Suppressed
	"Kentucky"	"21"	"Bath County, KY"	"21011"	"2010"	"2010"	Suppressed	11591	Suppressed
	"Kentucky"	"21"	"Bath County, KY"	"21011"	"2011"	"2011"	Suppressed	11742	Suppressed
	"Kentucky"	"21"	"Bath County, KY"	"21011"	"2012"	"2012"	Suppressed	11802	Suppressed
	"Kentucky"	"21"	"Bath County, KY"	"21011"	"2013"	"2013"	Suppressed	11961	Suppressed
	"Kentucky"	"21"	"Bath County, KY"	"21011"	"2014"	"2014"	Suppressed	12206	Suppressed
	"Kentucky"	"21"	"Bell County, KY"	"21013"	"2006"	"2006"	11	28960	Unreliable
	"Kentucky"	"21"	"Bell County, KY"	"21013"	"2007"	"2007"	14	28794	Unreliable
	"Kentucky"	"21"	"Bell County, KY"	"21013"	"2008"	"2008"	14	28836	Unreliable
	"Kentucky"	"21"	"Bell County, KY"	"21013"	"2009"	"2009"	12	28667	Unreliable
	"Kentucky"	"21"	"Bell County, KY"	"21013"	"2010"	"2010"	26	28691	90.6
	"Kentucky"	"21"	"Bell County, KY"	"21013"	"2011"	"2011"	17	28725	Unreliable
	"Kentucky"	"21"	"Bell County, KY"	"21013"	"2012"	"2012"	11	28183	Unreliable
	"Kentucky"	"21"	"Bell County, KY"	"21013"	"2013"	"2013"	24	27885	86.1
	"Kentucky"	"21"	"Bell County, KY"	"21013"	"2014"	"2014"	12	27778	Unreliable
	"Kentucky"	"21"	"Boone County, KY"	"21015"	"2006"	"2006"	22	109295	20.1
	"Kentucky"	"21"	"Boone County, KY"	"21015"	"2007"	"2007"	21	112308	18.7
	"Kentucky"	"21"	"Boone County, KY"	"21015"	"2008"	"2008"	22	115262	19.1
	"Kentucky"	"21"	"Boone County, KY"	"21015"	"2009"	"2009"	20	117461	17.0
	"Kentucky"	"21"	"Boone County, KY"	"21015"	"2010"	"2010"	31	118811	26.1
	"Kentucky"	"21"	"Boone County, KY"	"21015"	"2011"	"2011"	22	121737	18.1
	"Kentucky"	"21"	"Boone County, KY"	"21015"	"2012"	"2012"	32	123316	25.9
	"Kentucky"	"21"	"Boone County, KY"	"21015"	"2013"	"2013"	41	124442	32.9
	"Kentucky"	"21"	"Boone County, KY"	"21015"	"2014"	"2014"	35	126413	27.7
	"Kentucky"	"21"	"Bourbon County, KY"	"21017"	"2006"	"2006"	Suppressed	19809	Suppressed
	"Kentucky"	"21"	"Bourbon County, KY"	"21017"	"2007"	"2007"	Suppressed	19891	Suppressed
	"Kentucky"	"21"	"Bourbon County, KY"	"21017"	"2008"	"2008"	Suppressed	20046	Suppressed
	"Kentucky"	"21"	"Bourbon County, KY"	"21017"	"2009"	"2009"	Suppressed	20027	Suppressed
	"Kentucky"	"21"	"Bourbon County, KY"	"21017"	"2010"	"2010"	Suppressed	19985	Suppressed
	"Kentucky"	"21"	"Bourbon County, KY"	"21017"	"2011"	"2011"	Suppressed	19998	Suppressed
	"Kentucky"	"21"	"Bourbon County, KY"	"21017"	"2012"	"2012"	Suppressed	19978	Suppressed
	"Kentucky"	"21"	"Bourbon County, KY"	"21017"	"2013"	"2013"	Suppressed	19998	Suppressed
	"Kentucky"	"21"	"Bourbon County, KY"	"21017"	"2014"	"2014"	Suppressed	19972	Suppressed
	"Kentucky"	"21"	"Boyd County, KY"	"21019"	"2006"	"2006"	11	49312	Unreliable
	"Kentucky"	"21"	"Boyd County, KY"	"21019"	"2007"	"2007"	10	49154	Unreliable
	"Kentucky"	"21"	"Boyd County, KY"	"21019"	"2008"	"2008"	25	49244	50.8
	"Kentucky"	"21"	"Boyd County, KY"	"21019"	"2009"	"2009"	16	49362	Unreliable
	"Kentucky"	"21"	"Boyd County, KY"	"21019"	"2010"	"2010"	22	49542	44.4
	"Kentucky"	"21"	"Boyd County, KY"	"21019"	"2011"	"2011"	12	49466	Unreliable
	"Kentucky"	"21"	"Boyd County, KY"	"21019"	"2012"	"2012"	10	49164	Unreliable
	"Kentucky"	"21"	"Boyd County, KY"	"21019"	"2013"	"2013"	Suppressed	48886	Suppressed
	"Kentucky"	"21"	"Boyd County, KY"	"21019"	"2014"	"2014"	16	48832	Unreliable
	"Kentucky"	"21"	"Boyle County, KY"	"21021"	"2006"	"2006"	0	28031	Unreliable
	"Kentucky"	"21"	"Boyle County, KY"	"21021"	"2007"	"2007"	Suppressed	28112	Suppressed
