"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"2006"	"2006"	21	60522	34.7
	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"2007"	"2007"	25	60762	41.1
	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"2008"	"2008"	Suppressed	61115	Suppressed
	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"2009"	"2009"	12	61451	Unreliable
	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"2010"	"2010"	21	61773	34.0
	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"2011"	"2011"	16	61982	Unreliable
	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"2012"	"2012"	Suppressed	61912	Suppressed
	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"2013"	"2013"	Suppressed	62204	Suppressed
	"Louisiana"	"22"	"Acadia Parish, LA"	"22001"	"2014"	"2014"	10	62486	Unreliable
	"Louisiana"	"22"	"Allen Parish, LA"	"22003"	"2006"	"2006"	0	25692	Unreliable
	"Louisiana"	"22"	"Allen Parish, LA"	"22003"	"2007"	"2007"	Suppressed	25937	Suppressed
	"Louisiana"	"22"	"Allen Parish, LA"	"22003"	"2008"	"2008"	Suppressed	25854	Suppressed
	"Louisiana"	"22"	"Allen Parish, LA"	"22003"	"2009"	"2009"	Suppressed	25863	Suppressed
	"Louisiana"	"22"	"Allen Parish, LA"	"22003"	"2010"	"2010"	Suppressed	25764	Suppressed
	"Louisiana"	"22"	"Allen Parish, LA"	"22003"	"2011"	"2011"	Suppressed	25757	Suppressed
	"Louisiana"	"22"	"Allen Parish, LA"	"22003"	"2012"	"2012"	Suppressed	25539	Suppressed
	"Louisiana"	"22"	"Allen Parish, LA"	"22003"	"2013"	"2013"	Suppressed	25537	Suppressed
	"Louisiana"	"22"	"Allen Parish, LA"	"22003"	"2014"	"2014"	0	25713	Unreliable
	"Louisiana"	"22"	"Ascension Parish, LA"	"22005"	"2006"	"2006"	Suppressed	96421	Suppressed
	"Louisiana"	"22"	"Ascension Parish, LA"	"22005"	"2007"	"2007"	14	100132	Unreliable
	"Louisiana"	"22"	"Ascension Parish, LA"	"22005"	"2008"	"2008"	12	102891	Unreliable
	"Louisiana"	"22"	"Ascension Parish, LA"	"22005"	"2009"	"2009"	13	105172	Unreliable
	"Louisiana"	"22"	"Ascension Parish, LA"	"22005"	"2010"	"2010"	Suppressed	107215	Suppressed
	"Louisiana"	"22"	"Ascension Parish, LA"	"22005"	"2011"	"2011"	11	109985	Unreliable
	"Louisiana"	"22"	"Ascension Parish, LA"	"22005"	"2012"	"2012"	15	112286	Unreliable
	"Louisiana"	"22"	"Ascension Parish, LA"	"22005"	"2013"	"2013"	22	114393	19.2
	"Louisiana"	"22"	"Ascension Parish, LA"	"22005"	"2014"	"2014"	15	117029	Unreliable
	"Louisiana"	"22"	"Assumption Parish, LA"	"22007"	"2006"	"2006"	Suppressed	23477	Suppressed
	"Louisiana"	"22"	"Assumption Parish, LA"	"22007"	"2007"	"2007"	Suppressed	23543	Suppressed
	"Louisiana"	"22"	"Assumption Parish, LA"	"22007"	"2008"	"2008"	Suppressed	23534	Suppressed
	"Louisiana"	"22"	"Assumption Parish, LA"	"22007"	"2009"	"2009"	Suppressed	23508	Suppressed
	"Louisiana"	"22"	"Assumption Parish, LA"	"22007"	"2010"	"2010"	Suppressed	23421	Suppressed
