"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Maine"	"23"	"Androscoggin County, ME"	"23001"	"2006"	"2006"	10	107932	Unreliable
	"Maine"	"23"	"Androscoggin County, ME"	"23001"	"2007"	"2007"	11	107739	Unreliable
	"Maine"	"23"	"Androscoggin County, ME"	"23001"	"2008"	"2008"	13	108284	Unreliable
	"Maine"	"23"	"Androscoggin County, ME"	"23001"	"2009"	"2009"	17	107830	Unreliable
	"Maine"	"23"	"Androscoggin County, ME"	"23001"	"2010"	"2010"	15	107702	Unreliable
	"Maine"	"23"	"Androscoggin County, ME"	"23001"	"2011"	"2011"	14	107398	Unreliable
	"Maine"	"23"	"Androscoggin County, ME"	"23001"	"2012"	"2012"	12	107609	Unreliable
	"Maine"	"23"	"Androscoggin County, ME"	"23001"	"2013"	"2013"	11	107604	Unreliable
	"Maine"	"23"	"Androscoggin County, ME"	"23001"	"2014"	"2014"	23	107440	21.4
	"Maine"	"23"	"Aroostook County, ME"	"23003"	"2006"	"2006"	Suppressed	72827	Suppressed
	"Maine"	"23"	"Aroostook County, ME"	"23003"	"2007"	"2007"	Suppressed	72711	Suppressed
	"Maine"	"23"	"Aroostook County, ME"	"23003"	"2008"	"2008"	Suppressed	72542	Suppressed
	"Maine"	"23"	"Aroostook County, ME"	"23003"	"2009"	"2009"	Suppressed	72258	Suppressed
	"Maine"	"23"	"Aroostook County, ME"	"23003"	"2010"	"2010"	Suppressed	71870	Suppressed
	"Maine"	"23"	"Aroostook County, ME"	"23003"	"2011"	"2011"	14	71482	Unreliable
	"Maine"	"23"	"Aroostook County, ME"	"23003"	"2012"	"2012"	Suppressed	70868	Suppressed
	"Maine"	"23"	"Aroostook County, ME"	"23003"	"2013"	"2013"	Suppressed	70055	Suppressed
	"Maine"	"23"	"Aroostook County, ME"	"23003"	"2014"	"2014"	Suppressed	69447	Suppressed
	"Maine"	"23"	"Cumberland County, ME"	"23005"	"2006"	"2006"	22	277084	7.9
	"Maine"	"23"	"Cumberland County, ME"	"23005"	"2007"	"2007"	38	278781	13.6
	"Maine"	"23"	"Cumberland County, ME"	"23005"	"2008"	"2008"	41	280681	14.6
	"Maine"	"23"	"Cumberland County, ME"	"23005"	"2009"	"2009"	38	281969	13.5
	"Maine"	"23"	"Cumberland County, ME"	"23005"	"2010"	"2010"	28	281674	9.9
	"Maine"	"23"	"Cumberland County, ME"	"23005"	"2011"	"2011"	27	282401	9.6
	"Maine"	"23"	"Cumberland County, ME"	"23005"	"2012"	"2012"	42	283921	14.8
	"Maine"	"23"	"Cumberland County, ME"	"23005"	"2013"	"2013"	46	285456	16.1
	"Maine"	"23"	"Cumberland County, ME"	"23005"	"2014"	"2014"	44	287797	15.3
	"Maine"	"23"	"Franklin County, ME"	"23007"	"2006"	"2006"	0	30528	Unreliable
	"Maine"	"23"	"Franklin County, ME"	"23007"	"2007"	"2007"	Suppressed	30596	Suppressed
	"Maine"	"23"	"Franklin County, ME"	"23007"	"2008"	"2008"	Suppressed	30652	Suppressed
	"Maine"	"23"	"Franklin County, ME"	"23007"	"2009"	"2009"	Suppressed	30779	Suppressed
	"Maine"	"23"	"Franklin County, ME"	"23007"	"2010"	"2010"	Suppressed	30768	Suppressed
	"Maine"	"23"	"Franklin County, ME"	"23007"	"2011"	"2011"	Suppressed	30746	Suppressed
	"Maine"	"23"	"Franklin County, ME"	"23007"	"2012"	"2012"	Suppressed	30630	Suppressed
	"Maine"	"23"	"Franklin County, ME"	"23007"	"2013"	"2013"	Suppressed	30495	Suppressed
	"Maine"	"23"	"Franklin County, ME"	"23007"	"2014"	"2014"	Suppressed	30296	Suppressed
	"Maine"	"23"	"Hancock County, ME"	"23009"	"2006"	"2006"	Suppressed	54009	Suppressed
	"Maine"	"23"	"Hancock County, ME"	"23009"	"2007"	"2007"	Suppressed	54300	Suppressed
