"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Michigan"	"26"	"Alcona County, MI"	"26001"	"2006"	"2006"	Suppressed	11503	Suppressed
	"Michigan"	"26"	"Alcona County, MI"	"26001"	"2007"	"2007"	0	11412	Unreliable
	"Michigan"	"26"	"Alcona County, MI"	"26001"	"2008"	"2008"	Suppressed	11286	Suppressed
	"Michigan"	"26"	"Alcona County, MI"	"26001"	"2009"	"2009"	Suppressed	11106	Suppressed
	"Michigan"	"26"	"Alcona County, MI"	"26001"	"2010"	"2010"	0	10942	Unreliable
	"Michigan"	"26"	"Alcona County, MI"	"26001"	"2011"	"2011"	Suppressed	10800	Suppressed
	"Michigan"	"26"	"Alcona County, MI"	"26001"	"2012"	"2012"	0	10635	Unreliable
	"Michigan"	"26"	"Alcona County, MI"	"26001"	"2013"	"2013"	Suppressed	10578	Suppressed
	"Michigan"	"26"	"Alcona County, MI"	"26001"	"2014"	"2014"	Suppressed	10454	Suppressed
	"Michigan"	"26"	"Alger County, MI"	"26003"	"2006"	"2006"	Suppressed	9687	Suppressed
	"Michigan"	"26"	"Alger County, MI"	"26003"	"2007"	"2007"	Suppressed	9779	Suppressed
	"Michigan"	"26"	"Alger County, MI"	"26003"	"2008"	"2008"	Suppressed	9647	Suppressed
	"Michigan"	"26"	"Alger County, MI"	"26003"	"2009"	"2009"	Suppressed	9334	Suppressed
	"Michigan"	"26"	"Alger County, MI"	"26003"	"2010"	"2010"	Suppressed	9601	Suppressed
	"Michigan"	"26"	"Alger County, MI"	"26003"	"2011"	"2011"	0	9513	Unreliable
	"Michigan"	"26"	"Alger County, MI"	"26003"	"2012"	"2012"	0	9541	Unreliable
	"Michigan"	"26"	"Alger County, MI"	"26003"	"2013"	"2013"	0	9522	Unreliable
	"Michigan"	"26"	"Alger County, MI"	"26003"	"2014"	"2014"	0	9459	Unreliable
	"Michigan"	"26"	"Allegan County, MI"	"26005"	"2006"	"2006"	Suppressed	111156	Suppressed
	"Michigan"	"26"	"Allegan County, MI"	"26005"	"2007"	"2007"	17	111427	Unreliable
	"Michigan"	"26"	"Allegan County, MI"	"26005"	"2008"	"2008"	13	111589	Unreliable
	"Michigan"	"26"	"Allegan County, MI"	"26005"	"2009"	"2009"	16	111252	Unreliable
	"Michigan"	"26"	"Allegan County, MI"	"26005"	"2010"	"2010"	12	111408	Unreliable
	"Michigan"	"26"	"Allegan County, MI"	"26005"	"2011"	"2011"	Suppressed	111234	Suppressed
	"Michigan"	"26"	"Allegan County, MI"	"26005"	"2012"	"2012"	Suppressed	112039	Suppressed
	"Michigan"	"26"	"Allegan County, MI"	"26005"	"2013"	"2013"	10	112531	Unreliable
	"Michigan"	"26"	"Allegan County, MI"	"26005"	"2014"	"2014"	25	113847	22.0
	"Michigan"	"26"	"Alpena County, MI"	"26007"	"2006"	"2006"	Suppressed	30209	Suppressed
	"Michigan"	"26"	"Alpena County, MI"	"26007"	"2007"	"2007"	Suppressed	30180	Suppressed
	"Michigan"	"26"	"Alpena County, MI"	"26007"	"2008"	"2008"	Suppressed	30119	Suppressed
	"Michigan"	"26"	"Alpena County, MI"	"26007"	"2009"	"2009"	Suppressed	29755	Suppressed
	"Michigan"	"26"	"Alpena County, MI"	"26007"	"2010"	"2010"	Suppressed	29598	Suppressed
	"Michigan"	"26"	"Alpena County, MI"	"26007"	"2011"	"2011"	Suppressed	29386	Suppressed
	"Michigan"	"26"	"Alpena County, MI"	"26007"	"2012"	"2012"	Suppressed	29234	Suppressed
	"Michigan"	"26"	"Alpena County, MI"	"26007"	"2013"	"2013"	Suppressed	29091	Suppressed
	"Michigan"	"26"	"Alpena County, MI"	"26007"	"2014"	"2014"	Suppressed	28988	Suppressed
	"Michigan"	"26"	"Antrim County, MI"	"26009"	"2006"	"2006"	Suppressed	24278	Suppressed
	"Michigan"	"26"	"Antrim County, MI"	"26009"	"2007"	"2007"	Suppressed	24248	Suppressed
	"Michigan"	"26"	"Antrim County, MI"	"26009"	"2008"	"2008"	Suppressed	24047	Suppressed
	"Michigan"	"26"	"Antrim County, MI"	"26009"	"2009"	"2009"	Suppressed	23796	Suppressed
	"Michigan"	"26"	"Antrim County, MI"	"26009"	"2010"	"2010"	Suppressed	23580	Suppressed
	"Michigan"	"26"	"Antrim County, MI"	"26009"	"2011"	"2011"	Suppressed	23316	Suppressed
	"Michigan"	"26"	"Antrim County, MI"	"26009"	"2012"	"2012"	Suppressed	23406	Suppressed
	"Michigan"	"26"	"Antrim County, MI"	"26009"	"2013"	"2013"	Suppressed	23370	Suppressed
	"Michigan"	"26"	"Antrim County, MI"	"26009"	"2014"	"2014"	Suppressed	23267	Suppressed
	"Michigan"	"26"	"Arenac County, MI"	"26011"	"2006"	"2006"	Suppressed	16968	Suppressed
	"Michigan"	"26"	"Arenac County, MI"	"26011"	"2007"	"2007"	Suppressed	16811	Suppressed
	"Michigan"	"26"	"Arenac County, MI"	"26011"	"2008"	"2008"	Suppressed	16547	Suppressed
	"Michigan"	"26"	"Arenac County, MI"	"26011"	"2009"	"2009"	Suppressed	16243	Suppressed
	"Michigan"	"26"	"Arenac County, MI"	"26011"	"2010"	"2010"	Suppressed	15899	Suppressed
	"Michigan"	"26"	"Arenac County, MI"	"26011"	"2011"	"2011"	Suppressed	15649	Suppressed
	"Michigan"	"26"	"Arenac County, MI"	"26011"	"2012"	"2012"	Suppressed	15477	Suppressed
	"Michigan"	"26"	"Arenac County, MI"	"26011"	"2013"	"2013"	Suppressed	15487	Suppressed
	"Michigan"	"26"	"Arenac County, MI"	"26011"	"2014"	"2014"	Suppressed	15353	Suppressed
	"Michigan"	"26"	"Baraga County, MI"	"26013"	"2006"	"2006"	Suppressed	8940	Suppressed
	"Michigan"	"26"	"Baraga County, MI"	"26013"	"2007"	"2007"	Suppressed	8930	Suppressed
	"Michigan"	"26"	"Baraga County, MI"	"26013"	"2008"	"2008"	Suppressed	8822	Suppressed
	"Michigan"	"26"	"Baraga County, MI"	"26013"	"2009"	"2009"	Suppressed	8874	Suppressed
	"Michigan"	"26"	"Baraga County, MI"	"26013"	"2010"	"2010"	Suppressed	8860	Suppressed
	"Michigan"	"26"	"Baraga County, MI"	"26013"	"2011"	"2011"	0	8808	Unreliable
	"Michigan"	"26"	"Baraga County, MI"	"26013"	"2012"	"2012"	Suppressed	8683	Suppressed
	"Michigan"	"26"	"Baraga County, MI"	"26013"	"2013"	"2013"	Suppressed	8695	Suppressed
	"Michigan"	"26"	"Baraga County, MI"	"26013"	"2014"	"2014"	Suppressed	8654	Suppressed
	"Michigan"	"26"	"Barry County, MI"	"26015"	"2006"	"2006"	Suppressed	59610	Suppressed
	"Michigan"	"26"	"Barry County, MI"	"26015"	"2007"	"2007"	Suppressed	59969	Suppressed
	"Michigan"	"26"	"Barry County, MI"	"26015"	"2008"	"2008"	Suppressed	59788	Suppressed
	"Michigan"	"26"	"Barry County, MI"	"26015"	"2009"	"2009"	Suppressed	59469	Suppressed
	"Michigan"	"26"	"Barry County, MI"	"26015"	"2010"	"2010"	Suppressed	59173	Suppressed
	"Michigan"	"26"	"Barry County, MI"	"26015"	"2011"	"2011"	Suppressed	58820	Suppressed
	"Michigan"	"26"	"Barry County, MI"	"26015"	"2012"	"2012"	Suppressed	58990	Suppressed
	"Michigan"	"26"	"Barry County, MI"	"26015"	"2013"	"2013"	Suppressed	59097	Suppressed
	"Michigan"	"26"	"Barry County, MI"	"26015"	"2014"	"2014"	Suppressed	59281	Suppressed
	"Michigan"	"26"	"Bay County, MI"	"26017"	"2006"	"2006"	14	108711	Unreliable
	"Michigan"	"26"	"Bay County, MI"	"26017"	"2007"	"2007"	17	108132	Unreliable
	"Michigan"	"26"	"Bay County, MI"	"26017"	"2008"	"2008"	21	108320	19.4
	"Michigan"	"26"	"Bay County, MI"	"26017"	"2009"	"2009"	16	107913	Unreliable
	"Michigan"	"26"	"Bay County, MI"	"26017"	"2010"	"2010"	15	107771	Unreliable
	"Michigan"	"26"	"Bay County, MI"	"26017"	"2011"	"2011"	26	107110	24.3
	"Michigan"	"26"	"Bay County, MI"	"26017"	"2012"	"2012"	26	106935	24.3
	"Michigan"	"26"	"Bay County, MI"	"26017"	"2013"	"2013"	20	106832	18.7
	"Michigan"	"26"	"Bay County, MI"	"26017"	"2014"	"2014"	17	106179	Unreliable
	"Michigan"	"26"	"Benzie County, MI"	"26019"	"2006"	"2006"	Suppressed	17867	Suppressed
	"Michigan"	"26"	"Benzie County, MI"	"26019"	"2007"	"2007"	Suppressed	17863	Suppressed
	"Michigan"	"26"	"Benzie County, MI"	"26019"	"2008"	"2008"	Suppressed	17733	Suppressed
	"Michigan"	"26"	"Benzie County, MI"	"26019"	"2009"	"2009"	0	17564	Unreliable
	"Michigan"	"26"	"Benzie County, MI"	"26019"	"2010"	"2010"	0	17525	Unreliable
	"Michigan"	"26"	"Benzie County, MI"	"26019"	"2011"	"2011"	Suppressed	17443	Suppressed
	"Michigan"	"26"	"Benzie County, MI"	"26019"	"2012"	"2012"	Suppressed	17465	Suppressed
	"Michigan"	"26"	"Benzie County, MI"	"26019"	"2013"	"2013"	Suppressed	17428	Suppressed
	"Michigan"	"26"	"Benzie County, MI"	"26019"	"2014"	"2014"	Suppressed	17519	Suppressed
	"Michigan"	"26"	"Berrien County, MI"	"26021"	"2006"	"2006"	24	157537	15.2
	"Michigan"	"26"	"Berrien County, MI"	"26021"	"2007"	"2007"	19	157378	Unreliable
	"Michigan"	"26"	"Berrien County, MI"	"26021"	"2008"	"2008"	19	157380	Unreliable
	"Michigan"	"26"	"Berrien County, MI"	"26021"	"2009"	"2009"	24	157059	15.3
	"Michigan"	"26"	"Berrien County, MI"	"26021"	"2010"	"2010"	21	156813	13.4
	"Michigan"	"26"	"Berrien County, MI"	"26021"	"2011"	"2011"	22	156941	14.0
	"Michigan"	"26"	"Berrien County, MI"	"26021"	"2012"	"2012"	22	156067	14.1
	"Michigan"	"26"	"Berrien County, MI"	"26021"	"2013"	"2013"	19	155252	Unreliable
	"Michigan"	"26"	"Berrien County, MI"	"26021"	"2014"	"2014"	33	155233	21.3
	"Michigan"	"26"	"Branch County, MI"	"26023"	"2006"	"2006"	Suppressed	46805	Suppressed
	"Michigan"	"26"	"Branch County, MI"	"26023"	"2007"	"2007"	Suppressed	46788	Suppressed
	"Michigan"	"26"	"Branch County, MI"	"26023"	"2008"	"2008"	Suppressed	46305	Suppressed
	"Michigan"	"26"	"Branch County, MI"	"26023"	"2009"	"2009"	Suppressed	45378	Suppressed
	"Michigan"	"26"	"Branch County, MI"	"26023"	"2010"	"2010"	Suppressed	45248	Suppressed
	"Michigan"	"26"	"Branch County, MI"	"26023"	"2011"	"2011"	Suppressed	45197	Suppressed
	"Michigan"	"26"	"Branch County, MI"	"26023"	"2012"	"2012"	Suppressed	43868	Suppressed
	"Michigan"	"26"	"Branch County, MI"	"26023"	"2013"	"2013"	Suppressed	43649	Suppressed
	"Michigan"	"26"	"Branch County, MI"	"26023"	"2014"	"2014"	Suppressed	43545	Suppressed
	"Michigan"	"26"	"Calhoun County, MI"	"26025"	"2006"	"2006"	29	138291	21.0
	"Michigan"	"26"	"Calhoun County, MI"	"26025"	"2007"	"2007"	27	137582	19.6
	"Michigan"	"26"	"Calhoun County, MI"	"26025"	"2008"	"2008"	25	137313	18.2
	"Michigan"	"26"	"Calhoun County, MI"	"26025"	"2009"	"2009"	39	136301	28.6
	"Michigan"	"26"	"Calhoun County, MI"	"26025"	"2010"	"2010"	33	136146	24.2
	"Michigan"	"26"	"Calhoun County, MI"	"26025"	"2011"	"2011"	31	135490	22.9
	"Michigan"	"26"	"Calhoun County, MI"	"26025"	"2012"	"2012"	36	135099	26.6
	"Michigan"	"26"	"Calhoun County, MI"	"26025"	"2013"	"2013"	31	135012	23.0
	"Michigan"	"26"	"Calhoun County, MI"	"26025"	"2014"	"2014"	30	134878	22.2
	"Michigan"	"26"	"Cass County, MI"	"26027"	"2006"	"2006"	Suppressed	52282	Suppressed
