"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"2006"	"2006"	Suppressed	16357	Suppressed
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"2007"	"2007"	Suppressed	16481	Suppressed
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"2008"	"2008"	0	16422	Unreliable
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"2009"	"2009"	Suppressed	16168	Suppressed
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"2010"	"2010"	Suppressed	16202	Suppressed
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"2011"	"2011"	Suppressed	16220	Suppressed
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"2012"	"2012"	Suppressed	15927	Suppressed
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"2013"	"2013"	Suppressed	15742	Suppressed
	"Minnesota"	"27"	"Aitkin County, MN"	"27001"	"2014"	"2014"	Suppressed	15771	Suppressed
	"Minnesota"	"27"	"Anoka County, MN"	"27003"	"2006"	"2006"	17	323590	Unreliable
	"Minnesota"	"27"	"Anoka County, MN"	"27003"	"2007"	"2007"	19	325767	Unreliable
	"Minnesota"	"27"	"Anoka County, MN"	"27003"	"2008"	"2008"	20	327427	6.1
	"Minnesota"	"27"	"Anoka County, MN"	"27003"	"2009"	"2009"	32	329635	9.7
	"Minnesota"	"27"	"Anoka County, MN"	"27003"	"2010"	"2010"	36	330844	10.9
	"Minnesota"	"27"	"Anoka County, MN"	"27003"	"2011"	"2011"	40	333140	12.0
	"Minnesota"	"27"	"Anoka County, MN"	"27003"	"2012"	"2012"	45	336414	13.4
	"Minnesota"	"27"	"Anoka County, MN"	"27003"	"2013"	"2013"	44	339534	13.0
	"Minnesota"	"27"	"Anoka County, MN"	"27003"	"2014"	"2014"	27	341864	7.9
	"Minnesota"	"27"	"Becker County, MN"	"27005"	"2006"	"2006"	0	32057	Unreliable
	"Minnesota"	"27"	"Becker County, MN"	"27005"	"2007"	"2007"	Suppressed	32142	Suppressed
	"Minnesota"	"27"	"Becker County, MN"	"27005"	"2008"	"2008"	Suppressed	32244	Suppressed
	"Minnesota"	"27"	"Becker County, MN"	"27005"	"2009"	"2009"	Suppressed	32407	Suppressed
	"Minnesota"	"27"	"Becker County, MN"	"27005"	"2010"	"2010"	Suppressed	32504	Suppressed
	"Minnesota"	"27"	"Becker County, MN"	"27005"	"2011"	"2011"	Suppressed	32778	Suppressed
	"Minnesota"	"27"	"Becker County, MN"	"27005"	"2012"	"2012"	0	33000	Unreliable
	"Minnesota"	"27"	"Becker County, MN"	"27005"	"2013"	"2013"	Suppressed	33231	Suppressed
	"Minnesota"	"27"	"Becker County, MN"	"27005"	"2014"	"2014"	Suppressed	33259	Suppressed
	"Minnesota"	"27"	"Beltrami County, MN"	"27007"	"2006"	"2006"	Suppressed	43066	Suppressed
	"Minnesota"	"27"	"Beltrami County, MN"	"27007"	"2007"	"2007"	Suppressed	43281	Suppressed
	"Minnesota"	"27"	"Beltrami County, MN"	"27007"	"2008"	"2008"	Suppressed	43815	Suppressed
	"Minnesota"	"27"	"Beltrami County, MN"	"27007"	"2009"	"2009"	Suppressed	44226	Suppressed
	"Minnesota"	"27"	"Beltrami County, MN"	"27007"	"2010"	"2010"	Suppressed	44442	Suppressed
	"Minnesota"	"27"	"Beltrami County, MN"	"27007"	"2011"	"2011"	Suppressed	45264	Suppressed
	"Minnesota"	"27"	"Beltrami County, MN"	"27007"	"2012"	"2012"	Suppressed	45375	Suppressed
	"Minnesota"	"27"	"Beltrami County, MN"	"27007"	"2013"	"2013"	Suppressed	45670	Suppressed
	"Minnesota"	"27"	"Beltrami County, MN"	"27007"	"2014"	"2014"	Suppressed	45664	Suppressed
	"Minnesota"	"27"	"Benton County, MN"	"27009"	"2006"	"2006"	Suppressed	37617	Suppressed
	"Minnesota"	"27"	"Benton County, MN"	"27009"	"2007"	"2007"	Suppressed	38007	Suppressed
	"Minnesota"	"27"	"Benton County, MN"	"27009"	"2008"	"2008"	Suppressed	38200	Suppressed
	"Minnesota"	"27"	"Benton County, MN"	"27009"	"2009"	"2009"	Suppressed	38418	Suppressed
	"Minnesota"	"27"	"Benton County, MN"	"27009"	"2010"	"2010"	Suppressed	38451	Suppressed
	"Minnesota"	"27"	"Benton County, MN"	"27009"	"2011"	"2011"	Suppressed	38671	Suppressed
	"Minnesota"	"27"	"Benton County, MN"	"27009"	"2012"	"2012"	Suppressed	38865	Suppressed
	"Minnesota"	"27"	"Benton County, MN"	"27009"	"2013"	"2013"	Suppressed	39214	Suppressed
	"Minnesota"	"27"	"Benton County, MN"	"27009"	"2014"	"2014"	Suppressed	39506	Suppressed
	"Minnesota"	"27"	"Big Stone County, MN"	"27011"	"2006"	"2006"	Suppressed	5375	Suppressed
	"Minnesota"	"27"	"Big Stone County, MN"	"27011"	"2007"	"2007"	0	5366	Unreliable
	"Minnesota"	"27"	"Big Stone County, MN"	"27011"	"2008"	"2008"	0	5328	Unreliable
	"Minnesota"	"27"	"Big Stone County, MN"	"27011"	"2009"	"2009"	0	5285	Unreliable
	"Minnesota"	"27"	"Big Stone County, MN"	"27011"	"2010"	"2010"	Suppressed	5269	Suppressed
	"Minnesota"	"27"	"Big Stone County, MN"	"27011"	"2011"	"2011"	0	5238	Unreliable
	"Minnesota"	"27"	"Big Stone County, MN"	"27011"	"2012"	"2012"	Suppressed	5164	Suppressed
	"Minnesota"	"27"	"Big Stone County, MN"	"27011"	"2013"	"2013"	0	5122	Unreliable
	"Minnesota"	"27"	"Big Stone County, MN"	"27011"	"2014"	"2014"	0	5127	Unreliable
	"Minnesota"	"27"	"Blue Earth County, MN"	"27013"	"2006"	"2006"	0	61100	Unreliable
	"Minnesota"	"27"	"Blue Earth County, MN"	"27013"	"2007"	"2007"	Suppressed	61974	Suppressed
	"Minnesota"	"27"	"Blue Earth County, MN"	"27013"	"2008"	"2008"	0	62860	Unreliable
	"Minnesota"	"27"	"Blue Earth County, MN"	"27013"	"2009"	"2009"	Suppressed	63565	Suppressed
	"Minnesota"	"27"	"Blue Earth County, MN"	"27013"	"2010"	"2010"	Suppressed	64013	Suppressed
	"Minnesota"	"27"	"Blue Earth County, MN"	"27013"	"2011"	"2011"	Suppressed	64384	Suppressed
	"Minnesota"	"27"	"Blue Earth County, MN"	"27013"	"2012"	"2012"	Suppressed	65091	Suppressed
	"Minnesota"	"27"	"Blue Earth County, MN"	"27013"	"2013"	"2013"	Suppressed	65528	Suppressed
	"Minnesota"	"27"	"Blue Earth County, MN"	"27013"	"2014"	"2014"	Suppressed	65385	Suppressed
	"Minnesota"	"27"	"Brown County, MN"	"27015"	"2006"	"2006"	0	26252	Unreliable
	"Minnesota"	"27"	"Brown County, MN"	"27015"	"2007"	"2007"	Suppressed	26130	Suppressed
	"Minnesota"	"27"	"Brown County, MN"	"27015"	"2008"	"2008"	Suppressed	25992	Suppressed
	"Minnesota"	"27"	"Brown County, MN"	"27015"	"2009"	"2009"	0	25890	Unreliable
	"Minnesota"	"27"	"Brown County, MN"	"27015"	"2010"	"2010"	Suppressed	25893	Suppressed
	"Minnesota"	"27"	"Brown County, MN"	"27015"	"2011"	"2011"	Suppressed	25734	Suppressed
	"Minnesota"	"27"	"Brown County, MN"	"27015"	"2012"	"2012"	0	25425	Unreliable
	"Minnesota"	"27"	"Brown County, MN"	"27015"	"2013"	"2013"	0	25332	Unreliable
	"Minnesota"	"27"	"Brown County, MN"	"27015"	"2014"	"2014"	Suppressed	25292	Suppressed
	"Minnesota"	"27"	"Carlton County, MN"	"27017"	"2006"	"2006"	Suppressed	34538	Suppressed
	"Minnesota"	"27"	"Carlton County, MN"	"27017"	"2007"	"2007"	Suppressed	34596	Suppressed
	"Minnesota"	"27"	"Carlton County, MN"	"27017"	"2008"	"2008"	Suppressed	34986	Suppressed
	"Minnesota"	"27"	"Carlton County, MN"	"27017"	"2009"	"2009"	Suppressed	35269	Suppressed
	"Minnesota"	"27"	"Carlton County, MN"	"27017"	"2010"	"2010"	Suppressed	35386	Suppressed
	"Minnesota"	"27"	"Carlton County, MN"	"27017"	"2011"	"2011"	Suppressed	35455	Suppressed
	"Minnesota"	"27"	"Carlton County, MN"	"27017"	"2012"	"2012"	Suppressed	35348	Suppressed
	"Minnesota"	"27"	"Carlton County, MN"	"27017"	"2013"	"2013"	Suppressed	35460	Suppressed
	"Minnesota"	"27"	"Carlton County, MN"	"27017"	"2014"	"2014"	Suppressed	35571	Suppressed
	"Minnesota"	"27"	"Carver County, MN"	"27019"	"2006"	"2006"	Suppressed	85657	Suppressed
	"Minnesota"	"27"	"Carver County, MN"	"27019"	"2007"	"2007"	Suppressed	87270	Suppressed
	"Minnesota"	"27"	"Carver County, MN"	"27019"	"2008"	"2008"	Suppressed	88812	Suppressed
	"Minnesota"	"27"	"Carver County, MN"	"27019"	"2009"	"2009"	Suppressed	90242	Suppressed
	"Minnesota"	"27"	"Carver County, MN"	"27019"	"2010"	"2010"	Suppressed	91042	Suppressed
	"Minnesota"	"27"	"Carver County, MN"	"27019"	"2011"	"2011"	Suppressed	92638	Suppressed
	"Minnesota"	"27"	"Carver County, MN"	"27019"	"2012"	"2012"	Suppressed	93707	Suppressed
	"Minnesota"	"27"	"Carver County, MN"	"27019"	"2013"	"2013"	Suppressed	95562	Suppressed
	"Minnesota"	"27"	"Carver County, MN"	"27019"	"2014"	"2014"	Suppressed	97338	Suppressed
	"Minnesota"	"27"	"Cass County, MN"	"27021"	"2006"	"2006"	Suppressed	28754	Suppressed
	"Minnesota"	"27"	"Cass County, MN"	"27021"	"2007"	"2007"	Suppressed	28681	Suppressed
	"Minnesota"	"27"	"Cass County, MN"	"27021"	"2008"	"2008"	Suppressed	28733	Suppressed
