"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Mississippi"	"28"	"Adams County, MS"	"28001"	"2006"	"2006"	Suppressed	33220	Suppressed
	"Mississippi"	"28"	"Adams County, MS"	"28001"	"2007"	"2007"	Suppressed	32889	Suppressed
	"Mississippi"	"28"	"Adams County, MS"	"28001"	"2008"	"2008"	Suppressed	32629	Suppressed
	"Mississippi"	"28"	"Adams County, MS"	"28001"	"2009"	"2009"	Suppressed	32305	Suppressed
	"Mississippi"	"28"	"Adams County, MS"	"28001"	"2010"	"2010"	0	32297	Unreliable
	"Mississippi"	"28"	"Adams County, MS"	"28001"	"2011"	"2011"	Suppressed	32067	Suppressed
	"Mississippi"	"28"	"Adams County, MS"	"28001"	"2012"	"2012"	0	32122	Unreliable
	"Mississippi"	"28"	"Adams County, MS"	"28001"	"2013"	"2013"	Suppressed	32090	Suppressed
	"Mississippi"	"28"	"Adams County, MS"	"28001"	"2014"	"2014"	Suppressed	31737	Suppressed
	"Mississippi"	"28"	"Alcorn County, MS"	"28003"	"2006"	"2006"	Suppressed	36183	Suppressed
	"Mississippi"	"28"	"Alcorn County, MS"	"28003"	"2007"	"2007"	Suppressed	36608	Suppressed
	"Mississippi"	"28"	"Alcorn County, MS"	"28003"	"2008"	"2008"	Suppressed	36793	Suppressed
	"Mississippi"	"28"	"Alcorn County, MS"	"28003"	"2009"	"2009"	Suppressed	36868	Suppressed
	"Mississippi"	"28"	"Alcorn County, MS"	"28003"	"2010"	"2010"	Suppressed	37057	Suppressed
	"Mississippi"	"28"	"Alcorn County, MS"	"28003"	"2011"	"2011"	Suppressed	37052	Suppressed
	"Mississippi"	"28"	"Alcorn County, MS"	"28003"	"2012"	"2012"	Suppressed	37164	Suppressed
	"Mississippi"	"28"	"Alcorn County, MS"	"28003"	"2013"	"2013"	Suppressed	37316	Suppressed
	"Mississippi"	"28"	"Alcorn County, MS"	"28003"	"2014"	"2014"	Suppressed	37380	Suppressed
	"Mississippi"	"28"	"Amite County, MS"	"28005"	"2006"	"2006"	Suppressed	13586	Suppressed
	"Mississippi"	"28"	"Amite County, MS"	"28005"	"2007"	"2007"	Suppressed	13400	Suppressed
	"Mississippi"	"28"	"Amite County, MS"	"28005"	"2008"	"2008"	0	13324	Unreliable
	"Mississippi"	"28"	"Amite County, MS"	"28005"	"2009"	"2009"	Suppressed	13171	Suppressed
	"Mississippi"	"28"	"Amite County, MS"	"28005"	"2010"	"2010"	0	13131	Unreliable
	"Mississippi"	"28"	"Amite County, MS"	"28005"	"2011"	"2011"	0	13064	Unreliable
	"Mississippi"	"28"	"Amite County, MS"	"28005"	"2012"	"2012"	Suppressed	12957	Suppressed
	"Mississippi"	"28"	"Amite County, MS"	"28005"	"2013"	"2013"	0	12899	Unreliable
	"Mississippi"	"28"	"Amite County, MS"	"28005"	"2014"	"2014"	Suppressed	12629	Suppressed
	"Mississippi"	"28"	"Attala County, MS"	"28007"	"2006"	"2006"	Suppressed	19431	Suppressed
	"Mississippi"	"28"	"Attala County, MS"	"28007"	"2007"	"2007"	0	19511	Unreliable
	"Mississippi"	"28"	"Attala County, MS"	"28007"	"2008"	"2008"	Suppressed	19622	Suppressed
	"Mississippi"	"28"	"Attala County, MS"	"28007"	"2009"	"2009"	Suppressed	19611	Suppressed
	"Mississippi"	"28"	"Attala County, MS"	"28007"	"2010"	"2010"	Suppressed	19564	Suppressed
	"Mississippi"	"28"	"Attala County, MS"	"28007"	"2011"	"2011"	0	19466	Unreliable
	"Mississippi"	"28"	"Attala County, MS"	"28007"	"2012"	"2012"	0	19157	Unreliable
	"Mississippi"	"28"	"Attala County, MS"	"28007"	"2013"	"2013"	0	19317	Unreliable
	"Mississippi"	"28"	"Attala County, MS"	"28007"	"2014"	"2014"	Suppressed	19163	Suppressed
	"Mississippi"	"28"	"Benton County, MS"	"28009"	"2006"	"2006"	Suppressed	8479	Suppressed
	"Mississippi"	"28"	"Benton County, MS"	"28009"	"2007"	"2007"	0	8603	Unreliable
	"Mississippi"	"28"	"Benton County, MS"	"28009"	"2008"	"2008"	Suppressed	8769	Suppressed
	"Mississippi"	"28"	"Benton County, MS"	"28009"	"2009"	"2009"	0	8689	Unreliable
	"Mississippi"	"28"	"Benton County, MS"	"28009"	"2010"	"2010"	0	8729	Unreliable
	"Mississippi"	"28"	"Benton County, MS"	"28009"	"2011"	"2011"	Suppressed	8732	Suppressed
	"Mississippi"	"28"	"Benton County, MS"	"28009"	"2012"	"2012"	0	8730	Unreliable
	"Mississippi"	"28"	"Benton County, MS"	"28009"	"2013"	"2013"	0	8571	Unreliable
	"Mississippi"	"28"	"Benton County, MS"	"28009"	"2014"	"2014"	0	8296	Unreliable
	"Mississippi"	"28"	"Bolivar County, MS"	"28011"	"2006"	"2006"	Suppressed	36102	Suppressed
	"Mississippi"	"28"	"Bolivar County, MS"	"28011"	"2007"	"2007"	Suppressed	35628	Suppressed
	"Mississippi"	"28"	"Bolivar County, MS"	"28011"	"2008"	"2008"	Suppressed	35032	Suppressed
	"Mississippi"	"28"	"Bolivar County, MS"	"28011"	"2009"	"2009"	0	34450	Unreliable
	"Mississippi"	"28"	"Bolivar County, MS"	"28011"	"2010"	"2010"	Suppressed	34145	Suppressed
	"Mississippi"	"28"	"Bolivar County, MS"	"28011"	"2011"	"2011"	Suppressed	33771	Suppressed
	"Mississippi"	"28"	"Bolivar County, MS"	"28011"	"2012"	"2012"	Suppressed	33904	Suppressed
	"Mississippi"	"28"	"Bolivar County, MS"	"28011"	"2013"	"2013"	Suppressed	34049	Suppressed
	"Mississippi"	"28"	"Bolivar County, MS"	"28011"	"2014"	"2014"	Suppressed	33768	Suppressed
	"Mississippi"	"28"	"Calhoun County, MS"	"28013"	"2006"	"2006"	0	14947	Unreliable
	"Mississippi"	"28"	"Calhoun County, MS"	"28013"	"2007"	"2007"	Suppressed	14967	Suppressed
