"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Missouri"	"29"	"Adair County, MO"	"29001"	"2006"	"2006"	0	25007	Unreliable
	"Missouri"	"29"	"Adair County, MO"	"29001"	"2007"	"2007"	Suppressed	24983	Suppressed
	"Missouri"	"29"	"Adair County, MO"	"29001"	"2008"	"2008"	0	25399	Unreliable
	"Missouri"	"29"	"Adair County, MO"	"29001"	"2009"	"2009"	Suppressed	25577	Suppressed
	"Missouri"	"29"	"Adair County, MO"	"29001"	"2010"	"2010"	Suppressed	25607	Suppressed
	"Missouri"	"29"	"Adair County, MO"	"29001"	"2011"	"2011"	Suppressed	25552	Suppressed
	"Missouri"	"29"	"Adair County, MO"	"29001"	"2012"	"2012"	Suppressed	25581	Suppressed
	"Missouri"	"29"	"Adair County, MO"	"29001"	"2013"	"2013"	Suppressed	25572	Suppressed
	"Missouri"	"29"	"Adair County, MO"	"29001"	"2014"	"2014"	Suppressed	25602	Suppressed
	"Missouri"	"29"	"Andrew County, MO"	"29003"	"2006"	"2006"	Suppressed	16861	Suppressed
	"Missouri"	"29"	"Andrew County, MO"	"29003"	"2007"	"2007"	Suppressed	16834	Suppressed
	"Missouri"	"29"	"Andrew County, MO"	"29003"	"2008"	"2008"	Suppressed	16924	Suppressed
	"Missouri"	"29"	"Andrew County, MO"	"29003"	"2009"	"2009"	Suppressed	17036	Suppressed
	"Missouri"	"29"	"Andrew County, MO"	"29003"	"2010"	"2010"	0	17291	Unreliable
	"Missouri"	"29"	"Andrew County, MO"	"29003"	"2011"	"2011"	Suppressed	17196	Suppressed
	"Missouri"	"29"	"Andrew County, MO"	"29003"	"2012"	"2012"	0	17417	Unreliable
	"Missouri"	"29"	"Andrew County, MO"	"29003"	"2013"	"2013"	Suppressed	17445	Suppressed
	"Missouri"	"29"	"Andrew County, MO"	"29003"	"2014"	"2014"	0	17379	Unreliable
	"Missouri"	"29"	"Atchison County, MO"	"29005"	"2006"	"2006"	0	5908	Unreliable
	"Missouri"	"29"	"Atchison County, MO"	"29005"	"2007"	"2007"	0	5909	Unreliable
	"Missouri"	"29"	"Atchison County, MO"	"29005"	"2008"	"2008"	0	5798	Unreliable
	"Missouri"	"29"	"Atchison County, MO"	"29005"	"2009"	"2009"	0	5781	Unreliable
	"Missouri"	"29"	"Atchison County, MO"	"29005"	"2010"	"2010"	0	5685	Unreliable
	"Missouri"	"29"	"Atchison County, MO"	"29005"	"2011"	"2011"	0	5569	Unreliable
	"Missouri"	"29"	"Atchison County, MO"	"29005"	"2012"	"2012"	0	5517	Unreliable
	"Missouri"	"29"	"Atchison County, MO"	"29005"	"2013"	"2013"	0	5449	Unreliable
	"Missouri"	"29"	"Atchison County, MO"	"29005"	"2014"	"2014"	0	5382	Unreliable
	"Missouri"	"29"	"Audrain County, MO"	"29007"	"2006"	"2006"	Suppressed	25869	Suppressed
	"Missouri"	"29"	"Audrain County, MO"	"29007"	"2007"	"2007"	Suppressed	25658	Suppressed
	"Missouri"	"29"	"Audrain County, MO"	"29007"	"2008"	"2008"	Suppressed	25774	Suppressed
	"Missouri"	"29"	"Audrain County, MO"	"29007"	"2009"	"2009"	Suppressed	25628	Suppressed
	"Missouri"	"29"	"Audrain County, MO"	"29007"	"2010"	"2010"	Suppressed	25529	Suppressed
	"Missouri"	"29"	"Audrain County, MO"	"29007"	"2011"	"2011"	0	25566	Unreliable
	"Missouri"	"29"	"Audrain County, MO"	"29007"	"2012"	"2012"	Suppressed	25621	Suppressed
	"Missouri"	"29"	"Audrain County, MO"	"29007"	"2013"	"2013"	Suppressed	25661	Suppressed
	"Missouri"	"29"	"Audrain County, MO"	"29007"	"2014"	"2014"	Suppressed	25887	Suppressed
	"Missouri"	"29"	"Barry County, MO"	"29009"	"2006"	"2006"	Suppressed	35756	Suppressed
	"Missouri"	"29"	"Barry County, MO"	"29009"	"2007"	"2007"	Suppressed	35844	Suppressed
	"Missouri"	"29"	"Barry County, MO"	"29009"	"2008"	"2008"	Suppressed	35935	Suppressed
	"Missouri"	"29"	"Barry County, MO"	"29009"	"2009"	"2009"	Suppressed	35640	Suppressed
	"Missouri"	"29"	"Barry County, MO"	"29009"	"2010"	"2010"	Suppressed	35597	Suppressed
	"Missouri"	"29"	"Barry County, MO"	"29009"	"2011"	"2011"	Suppressed	35282	Suppressed
	"Missouri"	"29"	"Barry County, MO"	"29009"	"2012"	"2012"	Suppressed	35546	Suppressed
	"Missouri"	"29"	"Barry County, MO"	"29009"	"2013"	"2013"	Suppressed	35572	Suppressed
	"Missouri"	"29"	"Barry County, MO"	"29009"	"2014"	"2014"	Suppressed	35662	Suppressed
	"Missouri"	"29"	"Barton County, MO"	"29011"	"2006"	"2006"	Suppressed	12972	Suppressed
	"Missouri"	"29"	"Barton County, MO"	"29011"	"2007"	"2007"	0	12769	Unreliable
	"Missouri"	"29"	"Barton County, MO"	"29011"	"2008"	"2008"	Suppressed	12589	Suppressed
	"Missouri"	"29"	"Barton County, MO"	"29011"	"2009"	"2009"	0	12454	Unreliable
	"Missouri"	"29"	"Barton County, MO"	"29011"	"2010"	"2010"	0	12402	Unreliable
	"Missouri"	"29"	"Barton County, MO"	"29011"	"2011"	"2011"	Suppressed	12327	Suppressed
	"Missouri"	"29"	"Barton County, MO"	"29011"	"2012"	"2012"	Suppressed	12337	Suppressed
	"Missouri"	"29"	"Barton County, MO"	"29011"	"2013"	"2013"	Suppressed	12275	Suppressed
	"Missouri"	"29"	"Barton County, MO"	"29011"	"2014"	"2014"	Suppressed	12057	Suppressed
	"Missouri"	"29"	"Bates County, MO"	"29013"	"2006"	"2006"	Suppressed	17193	Suppressed
	"Missouri"	"29"	"Bates County, MO"	"29013"	"2007"	"2007"	Suppressed	17189	Suppressed
	"Missouri"	"29"	"Bates County, MO"	"29013"	"2008"	"2008"	Suppressed	17194	Suppressed
	"Missouri"	"29"	"Bates County, MO"	"29013"	"2009"	"2009"	Suppressed	17044	Suppressed
	"Missouri"	"29"	"Bates County, MO"	"29013"	"2010"	"2010"	Suppressed	17049	Suppressed
	"Missouri"	"29"	"Bates County, MO"	"29013"	"2011"	"2011"	Suppressed	17008	Suppressed
	"Missouri"	"29"	"Bates County, MO"	"29013"	"2012"	"2012"	Suppressed	16709	Suppressed
	"Missouri"	"29"	"Bates County, MO"	"29013"	"2013"	"2013"	Suppressed	16550	Suppressed
	"Missouri"	"29"	"Bates County, MO"	"29013"	"2014"	"2014"	Suppressed	16584	Suppressed
	"Missouri"	"29"	"Benton County, MO"	"29015"	"2006"	"2006"	Suppressed	18749	Suppressed
	"Missouri"	"29"	"Benton County, MO"	"29015"	"2007"	"2007"	Suppressed	19025	Suppressed
	"Missouri"	"29"	"Benton County, MO"	"29015"	"2008"	"2008"	Suppressed	19046	Suppressed
	"Missouri"	"29"	"Benton County, MO"	"29015"	"2009"	"2009"	Suppressed	18996	Suppressed
	"Missouri"	"29"	"Benton County, MO"	"29015"	"2010"	"2010"	Suppressed	19056	Suppressed
	"Missouri"	"29"	"Benton County, MO"	"29015"	"2011"	"2011"	Suppressed	19115	Suppressed
