"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"2006"	"2006"	Suppressed	9012	Suppressed
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"2007"	"2007"	0	9028	Unreliable
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"2008"	"2008"	Suppressed	9166	Suppressed
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"2009"	"2009"	Suppressed	9200	Suppressed
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"2010"	"2010"	0	9246	Unreliable
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"2011"	"2011"	Suppressed	9198	Suppressed
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"2012"	"2012"	0	9346	Unreliable
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"2013"	"2013"	0	9341	Unreliable
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"2014"	"2014"	Suppressed	9345	Suppressed
	"Montana"	"30"	"Big Horn County, MT"	"30003"	"2006"	"2006"	Suppressed	12540	Suppressed
	"Montana"	"30"	"Big Horn County, MT"	"30003"	"2007"	"2007"	Suppressed	12549	Suppressed
	"Montana"	"30"	"Big Horn County, MT"	"30003"	"2008"	"2008"	0	12564	Unreliable
	"Montana"	"30"	"Big Horn County, MT"	"30003"	"2009"	"2009"	Suppressed	12747	Suppressed
	"Montana"	"30"	"Big Horn County, MT"	"30003"	"2010"	"2010"	0	12865	Unreliable
	"Montana"	"30"	"Big Horn County, MT"	"30003"	"2011"	"2011"	0	13093	Unreliable
	"Montana"	"30"	"Big Horn County, MT"	"30003"	"2012"	"2012"	0	13061	Unreliable
	"Montana"	"30"	"Big Horn County, MT"	"30003"	"2013"	"2013"	0	13042	Unreliable
	"Montana"	"30"	"Big Horn County, MT"	"30003"	"2014"	"2014"	Suppressed	13282	Suppressed
	"Montana"	"30"	"Blaine County, MT"	"30005"	"2006"	"2006"	0	6536	Unreliable
	"Montana"	"30"	"Blaine County, MT"	"30005"	"2007"	"2007"	0	6472	Unreliable
	"Montana"	"30"	"Blaine County, MT"	"30005"	"2008"	"2008"	Suppressed	6401	Suppressed
	"Montana"	"30"	"Blaine County, MT"	"30005"	"2009"	"2009"	0	6445	Unreliable
	"Montana"	"30"	"Blaine County, MT"	"30005"	"2010"	"2010"	0	6491	Unreliable
	"Montana"	"30"	"Blaine County, MT"	"30005"	"2011"	"2011"	Suppressed	6565	Suppressed
	"Montana"	"30"	"Blaine County, MT"	"30005"	"2012"	"2012"	0	6683	Unreliable
	"Montana"	"30"	"Blaine County, MT"	"30005"	"2013"	"2013"	0	6604	Unreliable
	"Montana"	"30"	"Blaine County, MT"	"30005"	"2014"	"2014"	Suppressed	6619	Suppressed
	"Montana"	"30"	"Broadwater County, MT"	"30007"	"2006"	"2006"	0	4958	Unreliable
	"Montana"	"30"	"Broadwater County, MT"	"30007"	"2007"	"2007"	Suppressed	5089	Suppressed
	"Montana"	"30"	"Broadwater County, MT"	"30007"	"2008"	"2008"	Suppressed	5261	Suppressed
	"Montana"	"30"	"Broadwater County, MT"	"30007"	"2009"	"2009"	0	5496	Unreliable
	"Montana"	"30"	"Broadwater County, MT"	"30007"	"2010"	"2010"	Suppressed	5612	Suppressed
	"Montana"	"30"	"Broadwater County, MT"	"30007"	"2011"	"2011"	0	5752	Unreliable
