"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Nebraska"	"31"	"Adams County, NE"	"31001"	"2006"	"2006"	Suppressed	30910	Suppressed
	"Nebraska"	"31"	"Adams County, NE"	"31001"	"2007"	"2007"	0	30892	Unreliable
	"Nebraska"	"31"	"Adams County, NE"	"31001"	"2008"	"2008"	Suppressed	31160	Suppressed
	"Nebraska"	"31"	"Adams County, NE"	"31001"	"2009"	"2009"	Suppressed	31280	Suppressed
	"Nebraska"	"31"	"Adams County, NE"	"31001"	"2010"	"2010"	0	31364	Unreliable
	"Nebraska"	"31"	"Adams County, NE"	"31001"	"2011"	"2011"	0	31216	Unreliable
	"Nebraska"	"31"	"Adams County, NE"	"31001"	"2012"	"2012"	0	31459	Unreliable
	"Nebraska"	"31"	"Adams County, NE"	"31001"	"2013"	"2013"	Suppressed	31610	Suppressed
	"Nebraska"	"31"	"Adams County, NE"	"31001"	"2014"	"2014"	0	31457	Unreliable
	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"2006"	"2006"	0	6836	Unreliable
	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"2007"	"2007"	Suppressed	6767	Suppressed
	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"2008"	"2008"	0	6704	Unreliable
	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"2009"	"2009"	0	6739	Unreliable
	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"2010"	"2010"	0	6685	Unreliable
	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"2011"	"2011"	0	6619	Unreliable
	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"2012"	"2012"	Suppressed	6545	Suppressed
	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"2013"	"2013"	0	6456	Unreliable
	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"2014"	"2014"	0	6398	Unreliable
	"Nebraska"	"31"	"Arthur County, NE"	"31005"	"2006"	"2006"	0	450	Unreliable
	"Nebraska"	"31"	"Arthur County, NE"	"31005"	"2007"	"2007"	0	457	Unreliable
	"Nebraska"	"31"	"Arthur County, NE"	"31005"	"2008"	"2008"	0	453	Unreliable
	"Nebraska"	"31"	"Arthur County, NE"	"31005"	"2009"	"2009"	0	442	Unreliable
	"Nebraska"	"31"	"Arthur County, NE"	"31005"	"2010"	"2010"	0	460	Unreliable
	"Nebraska"	"31"	"Arthur County, NE"	"31005"	"2011"	"2011"	0	469	Unreliable
	"Nebraska"	"31"	"Arthur County, NE"	"31005"	"2012"	"2012"	0	486	Unreliable
	"Nebraska"	"31"	"Arthur County, NE"	"31005"	"2013"	"2013"	0	458	Unreliable
	"Nebraska"	"31"	"Arthur County, NE"	"31005"	"2014"	"2014"	0	453	Unreliable
	"Nebraska"	"31"	"Banner County, NE"	"31007"	"2006"	"2006"	0	733	Unreliable
	"Nebraska"	"31"	"Banner County, NE"	"31007"	"2007"	"2007"	0	715	Unreliable
	"Nebraska"	"31"	"Banner County, NE"	"31007"	"2008"	"2008"	0	677	Unreliable
	"Nebraska"	"31"	"Banner County, NE"	"31007"	"2009"	"2009"	0	686	Unreliable
	"Nebraska"	"31"	"Banner County, NE"	"31007"	"2010"	"2010"	0	690	Unreliable
	"Nebraska"	"31"	"Banner County, NE"	"31007"	"2011"	"2011"	0	684	Unreliable
	"Nebraska"	"31"	"Banner County, NE"	"31007"	"2012"	"2012"	0	760	Unreliable
	"Nebraska"	"31"	"Banner County, NE"	"31007"	"2013"	"2013"	0	759	Unreliable
	"Nebraska"	"31"	"Banner County, NE"	"31007"	"2014"	"2014"	0	764	Unreliable
	"Nebraska"	"31"	"Blaine County, NE"	"31009"	"2006"	"2006"	0	493	Unreliable
	"Nebraska"	"31"	"Blaine County, NE"	"31009"	"2007"	"2007"	0	463	Unreliable
	"Nebraska"	"31"	"Blaine County, NE"	"31009"	"2008"	"2008"	0	456	Unreliable
	"Nebraska"	"31"	"Blaine County, NE"	"31009"	"2009"	"2009"	0	477	Unreliable
	"Nebraska"	"31"	"Blaine County, NE"	"31009"	"2010"	"2010"	0	478	Unreliable
	"Nebraska"	"31"	"Blaine County, NE"	"31009"	"2011"	"2011"	0	473	Unreliable
	"Nebraska"	"31"	"Blaine County, NE"	"31009"	"2012"	"2012"	0	514	Unreliable
	"Nebraska"	"31"	"Blaine County, NE"	"31009"	"2013"	"2013"	0	482	Unreliable
	"Nebraska"	"31"	"Blaine County, NE"	"31009"	"2014"	"2014"	0	504	Unreliable
	"Nebraska"	"31"	"Boone County, NE"	"31011"	"2006"	"2006"	0	5623	Unreliable
	"Nebraska"	"31"	"Boone County, NE"	"31011"	"2007"	"2007"	0	5582	Unreliable
	"Nebraska"	"31"	"Boone County, NE"	"31011"	"2008"	"2008"	0	5548	Unreliable
	"Nebraska"	"31"	"Boone County, NE"	"31011"	"2009"	"2009"	0	5514	Unreliable
	"Nebraska"	"31"	"Boone County, NE"	"31011"	"2010"	"2010"	0	5505	Unreliable
	"Nebraska"	"31"	"Boone County, NE"	"31011"	"2011"	"2011"	0	5412	Unreliable
	"Nebraska"	"31"	"Boone County, NE"	"31011"	"2012"	"2012"	0	5417	Unreliable
	"Nebraska"	"31"	"Boone County, NE"	"31011"	"2013"	"2013"	0	5388	Unreliable
	"Nebraska"	"31"	"Boone County, NE"	"31011"	"2014"	"2014"	0	5353	Unreliable
	"Nebraska"	"31"	"Box Butte County, NE"	"31013"	"2006"	"2006"	0	11338	Unreliable
	"Nebraska"	"31"	"Box Butte County, NE"	"31013"	"2007"	"2007"	0	11409	Unreliable
	"Nebraska"	"31"	"Box Butte County, NE"	"31013"	"2008"	"2008"	0	11482	Unreliable
	"Nebraska"	"31"	"Box Butte County, NE"	"31013"	"2009"	"2009"	0	11347	Unreliable
	"Nebraska"	"31"	"Box Butte County, NE"	"31013"	"2010"	"2010"	Suppressed	11308	Suppressed
	"Nebraska"	"31"	"Box Butte County, NE"	"31013"	"2011"	"2011"	Suppressed	11383	Suppressed
	"Nebraska"	"31"	"Box Butte County, NE"	"31013"	"2012"	"2012"	Suppressed	11317	Suppressed
	"Nebraska"	"31"	"Box Butte County, NE"	"31013"	"2013"	"2013"	Suppressed	11305	Suppressed
