"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Nevada"	"32"	"Churchill County, NV"	"32001"	"2006"	"2006"	Suppressed	24842	Suppressed
	"Nevada"	"32"	"Churchill County, NV"	"32001"	"2007"	"2007"	Suppressed	24961	Suppressed
	"Nevada"	"32"	"Churchill County, NV"	"32001"	"2008"	"2008"	Suppressed	25049	Suppressed
	"Nevada"	"32"	"Churchill County, NV"	"32001"	"2009"	"2009"	Suppressed	25067	Suppressed
	"Nevada"	"32"	"Churchill County, NV"	"32001"	"2010"	"2010"	Suppressed	24877	Suppressed
	"Nevada"	"32"	"Churchill County, NV"	"32001"	"2011"	"2011"	Suppressed	24637	Suppressed
	"Nevada"	"32"	"Churchill County, NV"	"32001"	"2012"	"2012"	Suppressed	24375	Suppressed
	"Nevada"	"32"	"Churchill County, NV"	"32001"	"2013"	"2013"	Suppressed	24063	Suppressed
	"Nevada"	"32"	"Churchill County, NV"	"32001"	"2014"	"2014"	Suppressed	23989	Suppressed
	"Nevada"	"32"	"Clark County, NV"	"32003"	"2006"	"2006"	343	1803774	19.0
	"Nevada"	"32"	"Clark County, NV"	"32003"	"2007"	"2007"	376	1867817	20.1
	"Nevada"	"32"	"Clark County, NV"	"32003"	"2008"	"2008"	364	1912349	19.0
	"Nevada"	"32"	"Clark County, NV"	"32003"	"2009"	"2009"	395	1939407	20.4
	"Nevada"	"32"	"Clark County, NV"	"32003"	"2010"	"2010"	390	1951269	20.0
	"Nevada"	"32"	"Clark County, NV"	"32003"	"2011"	"2011"	456	1969975	23.1
	"Nevada"	"32"	"Clark County, NV"	"32003"	"2012"	"2012"	424	2000759	21.2
	"Nevada"	"32"	"Clark County, NV"	"32003"	"2013"	"2013"	441	2027868	21.7
	"Nevada"	"32"	"Clark County, NV"	"32003"	"2014"	"2014"	403	2069681	19.5
	"Nevada"	"32"	"Douglas County, NV"	"32005"	"2006"	"2006"	Suppressed	46855	Suppressed
	"Nevada"	"32"	"Douglas County, NV"	"32005"	"2007"	"2007"	Suppressed	47166	Suppressed
	"Nevada"	"32"	"Douglas County, NV"	"32005"	"2008"	"2008"	13	47270	Unreliable
	"Nevada"	"32"	"Douglas County, NV"	"32005"	"2009"	"2009"	10	46965	Unreliable
	"Nevada"	"32"	"Douglas County, NV"	"32005"	"2010"	"2010"	13	46997	Unreliable
	"Nevada"	"32"	"Douglas County, NV"	"32005"	"2011"	"2011"	10	46886	Unreliable
	"Nevada"	"32"	"Douglas County, NV"	"32005"	"2012"	"2012"	Suppressed	46996	Suppressed
	"Nevada"	"32"	"Douglas County, NV"	"32005"	"2013"	"2013"	Suppressed	47118	Suppressed
	"Nevada"	"32"	"Douglas County, NV"	"32005"	"2014"	"2014"	11	47536	Unreliable
	"Nevada"	"32"	"Elko County, NV"	"32007"	"2006"	"2006"	Suppressed	46108	Suppressed
	"Nevada"	"32"	"Elko County, NV"	"32007"	"2007"	"2007"	Suppressed	47423	Suppressed
	"Nevada"	"32"	"Elko County, NV"	"32007"	"2008"	"2008"	Suppressed	47634	Suppressed
	"Nevada"	"32"	"Elko County, NV"	"32007"	"2009"	"2009"	Suppressed	48445	Suppressed
	"Nevada"	"32"	"Elko County, NV"	"32007"	"2010"	"2010"	Suppressed	48818	Suppressed
	"Nevada"	"32"	"Elko County, NV"	"32007"	"2011"	"2011"	Suppressed	49491	Suppressed
	"Nevada"	"32"	"Elko County, NV"	"32007"	"2012"	"2012"	Suppressed	51216	Suppressed
	"Nevada"	"32"	"Elko County, NV"	"32007"	"2013"	"2013"	Suppressed	52384	Suppressed
	"Nevada"	"32"	"Elko County, NV"	"32007"	"2014"	"2014"	Suppressed	52766	Suppressed
	"Nevada"	"32"	"Esmeralda County, NV"	"32009"	"2006"	"2006"	0	883	Unreliable
	"Nevada"	"32"	"Esmeralda County, NV"	"32009"	"2007"	"2007"	0	829	Unreliable
	"Nevada"	"32"	"Esmeralda County, NV"	"32009"	"2008"	"2008"	0	820	Unreliable
	"Nevada"	"32"	"Esmeralda County, NV"	"32009"	"2009"	"2009"	0	806	Unreliable
	"Nevada"	"32"	"Esmeralda County, NV"	"32009"	"2010"	"2010"	0	783	Unreliable
	"Nevada"	"32"	"Esmeralda County, NV"	"32009"	"2011"	"2011"	0	775	Unreliable
	"Nevada"	"32"	"Esmeralda County, NV"	"32009"	"2012"	"2012"	0	775	Unreliable
	"Nevada"	"32"	"Esmeralda County, NV"	"32009"	"2013"	"2013"	Suppressed	832	Suppressed
	"Nevada"	"32"	"Esmeralda County, NV"	"32009"	"2014"	"2014"	0	822	Unreliable
	"Nevada"	"32"	"Eureka County, NV"	"32011"	"2006"	"2006"	0	1579	Unreliable
	"Nevada"	"32"	"Eureka County, NV"	"32011"	"2007"	"2007"	Suppressed	1683	Suppressed
	"Nevada"	"32"	"Eureka County, NV"	"32011"	"2008"	"2008"	0	1778	Unreliable
	"Nevada"	"32"	"Eureka County, NV"	"32011"	"2009"	"2009"	0	1926	Unreliable
	"Nevada"	"32"	"Eureka County, NV"	"32011"	"2010"	"2010"	0	1987	Unreliable
	"Nevada"	"32"	"Eureka County, NV"	"32011"	"2011"	"2011"	0	1979	Unreliable
	"Nevada"	"32"	"Eureka County, NV"	"32011"	"2012"	"2012"	0	2001	Unreliable
	"Nevada"	"32"	"Eureka County, NV"	"32011"	"2013"	"2013"	0	2076	Unreliable
	"Nevada"	"32"	"Eureka County, NV"	"32011"	"2014"	"2014"	0	2018	Unreliable
	"Nevada"	"32"	"Humboldt County, NV"	"32013"	"2006"	"2006"	Suppressed	15420	Suppressed
	"Nevada"	"32"	"Humboldt County, NV"	"32013"	"2007"	"2007"	Suppressed	15658	Suppressed
	"Nevada"	"32"	"Humboldt County, NV"	"32013"	"2008"	"2008"	Suppressed	15958	Suppressed
	"Nevada"	"32"	"Humboldt County, NV"	"32013"	"2009"	"2009"	Suppressed	16290	Suppressed
