"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"New Hampshire"	"33"	"Belknap County, NH"	"33001"	"2006"	"2006"	Suppressed	60105	Suppressed
	"New Hampshire"	"33"	"Belknap County, NH"	"33001"	"2007"	"2007"	15	60109	Unreliable
	"New Hampshire"	"33"	"Belknap County, NH"	"33001"	"2008"	"2008"	11	60239	Unreliable
	"New Hampshire"	"33"	"Belknap County, NH"	"33001"	"2009"	"2009"	12	60171	Unreliable
	"New Hampshire"	"33"	"Belknap County, NH"	"33001"	"2010"	"2010"	Suppressed	60088	Suppressed
	"New Hampshire"	"33"	"Belknap County, NH"	"33001"	"2011"	"2011"	11	60223	Unreliable
	"New Hampshire"	"33"	"Belknap County, NH"	"33001"	"2012"	"2012"	Suppressed	60327	Suppressed
	"New Hampshire"	"33"	"Belknap County, NH"	"33001"	"2013"	"2013"	10	60179	Unreliable
	"New Hampshire"	"33"	"Belknap County, NH"	"33001"	"2014"	"2014"	11	60305	Unreliable
	"New Hampshire"	"33"	"Carroll County, NH"	"33003"	"2006"	"2006"	Suppressed	47421	Suppressed
	"New Hampshire"	"33"	"Carroll County, NH"	"33003"	"2007"	"2007"	13	47829	Unreliable
	"New Hampshire"	"33"	"Carroll County, NH"	"33003"	"2008"	"2008"	Suppressed	48013	Suppressed
	"New Hampshire"	"33"	"Carroll County, NH"	"33003"	"2009"	"2009"	Suppressed	47763	Suppressed
	"New Hampshire"	"33"	"Carroll County, NH"	"33003"	"2010"	"2010"	Suppressed	47818	Suppressed
	"New Hampshire"	"33"	"Carroll County, NH"	"33003"	"2011"	"2011"	Suppressed	47641	Suppressed
	"New Hampshire"	"33"	"Carroll County, NH"	"33003"	"2012"	"2012"	Suppressed	47567	Suppressed
	"New Hampshire"	"33"	"Carroll County, NH"	"33003"	"2013"	"2013"	Suppressed	47499	Suppressed
	"New Hampshire"	"33"	"Carroll County, NH"	"33003"	"2014"	"2014"	Suppressed	47399	Suppressed
	"New Hampshire"	"33"	"Cheshire County, NH"	"33005"	"2006"	"2006"	10	77658	Unreliable
	"New Hampshire"	"33"	"Cheshire County, NH"	"33005"	"2007"	"2007"	Suppressed	77745	Suppressed
	"New Hampshire"	"33"	"Cheshire County, NH"	"33005"	"2008"	"2008"	Suppressed	77472	Suppressed
	"New Hampshire"	"33"	"Cheshire County, NH"	"33005"	"2009"	"2009"	Suppressed	77302	Suppressed
	"New Hampshire"	"33"	"Cheshire County, NH"	"33005"	"2010"	"2010"	Suppressed	77117	Suppressed
	"New Hampshire"	"33"	"Cheshire County, NH"	"33005"	"2011"	"2011"	17	76918	Unreliable
	"New Hampshire"	"33"	"Cheshire County, NH"	"33005"	"2012"	"2012"	15	76851	Unreliable
	"New Hampshire"	"33"	"Cheshire County, NH"	"33005"	"2013"	"2013"	13	76610	Unreliable
	"New Hampshire"	"33"	"Cheshire County, NH"	"33005"	"2014"	"2014"	16	76115	Unreliable
	"New Hampshire"	"33"	"Coos County, NH"	"33007"	"2006"	"2006"	Suppressed	33814	Suppressed
	"New Hampshire"	"33"	"Coos County, NH"	"33007"	"2007"	"2007"	Suppressed	33751	Suppressed
