"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"New Jersey"	"34"	"Atlantic County, NJ"	"34001"	"2006"	"2006"	40	271759	14.7
	"New Jersey"	"34"	"Atlantic County, NJ"	"34001"	"2007"	"2007"	34	272303	12.5
	"New Jersey"	"34"	"Atlantic County, NJ"	"34001"	"2008"	"2008"	38	273014	13.9
	"New Jersey"	"34"	"Atlantic County, NJ"	"34001"	"2009"	"2009"	14	274049	Unreliable
	"New Jersey"	"34"	"Atlantic County, NJ"	"34001"	"2010"	"2010"	48	274549	17.5
	"New Jersey"	"34"	"Atlantic County, NJ"	"34001"	"2011"	"2011"	59	274338	21.5
	"New Jersey"	"34"	"Atlantic County, NJ"	"34001"	"2012"	"2012"	72	275422	26.1
	"New Jersey"	"34"	"Atlantic County, NJ"	"34001"	"2013"	"2013"	70	275862	25.4
	"New Jersey"	"34"	"Atlantic County, NJ"	"34001"	"2014"	"2014"	62	275209	22.5
	"New Jersey"	"34"	"Bergen County, NJ"	"34003"	"2006"	"2006"	49	889406	5.5
	"New Jersey"	"34"	"Bergen County, NJ"	"34003"	"2007"	"2007"	67	890817	7.5
	"New Jersey"	"34"	"Bergen County, NJ"	"34003"	"2008"	"2008"	62	895328	6.9
	"New Jersey"	"34"	"Bergen County, NJ"	"34003"	"2009"	"2009"	Suppressed	900319	Suppressed
	"New Jersey"	"34"	"Bergen County, NJ"	"34003"	"2010"	"2010"	56	905116	6.2
	"New Jersey"	"34"	"Bergen County, NJ"	"34003"	"2011"	"2011"	75	911004	8.2
	"New Jersey"	"34"	"Bergen County, NJ"	"34003"	"2012"	"2012"	79	918888	8.6
	"New Jersey"	"34"	"Bergen County, NJ"	"34003"	"2013"	"2013"	98	925328	10.6
	"New Jersey"	"34"	"Bergen County, NJ"	"34003"	"2014"	"2014"	88	933572	9.4
	"New Jersey"	"34"	"Burlington County, NJ"	"34005"	"2006"	"2006"	52	448373	11.6
