"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"2006"	"2006"	171	628632	27.2
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"2007"	"2007"	189	638978	29.6
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"2008"	"2008"	219	646879	33.9
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"2009"	"2009"	173	655279	26.4
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"2010"	"2010"	186	662564	28.1
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"2011"	"2011"	206	670968	30.7
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"2012"	"2012"	194	673460	28.8
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"2013"	"2013"	151	674221	22.4
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"2014"	"2014"	198	675551	29.3
	"New Mexico"	"35"	"Catron County, NM"	"35003"	"2006"	"2006"	0	3573	Unreliable
	"New Mexico"	"35"	"Catron County, NM"	"35003"	"2007"	"2007"	Suppressed	3638	Suppressed
	"New Mexico"	"35"	"Catron County, NM"	"35003"	"2008"	"2008"	0	3631	Unreliable
	"New Mexico"	"35"	"Catron County, NM"	"35003"	"2009"	"2009"	0	3689	Unreliable
	"New Mexico"	"35"	"Catron County, NM"	"35003"	"2010"	"2010"	0	3725	Unreliable
	"New Mexico"	"35"	"Catron County, NM"	"35003"	"2011"	"2011"	Suppressed	3733	Suppressed
	"New Mexico"	"35"	"Catron County, NM"	"35003"	"2012"	"2012"	Suppressed	3658	Suppressed
	"New Mexico"	"35"	"Catron County, NM"	"35003"	"2013"	"2013"	0	3607	Unreliable
	"New Mexico"	"35"	"Catron County, NM"	"35003"	"2014"	"2014"	Suppressed	3556	Suppressed
	"New Mexico"	"35"	"Chaves County, NM"	"35005"	"2006"	"2006"	18	62486	Unreliable
	"New Mexico"	"35"	"Chaves County, NM"	"35005"	"2007"	"2007"	12	63587	Unreliable
	"New Mexico"	"35"	"Chaves County, NM"	"35005"	"2008"	"2008"	12	64378	Unreliable
	"New Mexico"	"35"	"Chaves County, NM"	"35005"	"2009"	"2009"	16	65110	Unreliable
	"New Mexico"	"35"	"Chaves County, NM"	"35005"	"2010"	"2010"	Suppressed	65645	Suppressed
	"New Mexico"	"35"	"Chaves County, NM"	"35005"	"2011"	"2011"	19	65890	Unreliable
	"New Mexico"	"35"	"Chaves County, NM"	"35005"	"2012"	"2012"	12	65784	Unreliable
	"New Mexico"	"35"	"Chaves County, NM"	"35005"	"2013"	"2013"	18	65823	Unreliable
	"New Mexico"	"35"	"Chaves County, NM"	"35005"	"2014"	"2014"	Suppressed	65878	Suppressed
	"New Mexico"	"35"	"Cibola County, NM"	"35006"	"2006"	"2006"	Suppressed	27032	Suppressed
	"New Mexico"	"35"	"Cibola County, NM"	"35006"	"2007"	"2007"	Suppressed	27258	Suppressed
	"New Mexico"	"35"	"Cibola County, NM"	"35006"	"2008"	"2008"	Suppressed	27259	Suppressed
