"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"North Carolina"	"37"	"Alamance County, NC"	"37001"	"2006"	"2006"	15	141462	Unreliable
	"North Carolina"	"37"	"Alamance County, NC"	"37001"	"2007"	"2007"	15	144712	Unreliable
	"North Carolina"	"37"	"Alamance County, NC"	"37001"	"2008"	"2008"	25	147704	16.9
	"North Carolina"	"37"	"Alamance County, NC"	"37001"	"2009"	"2009"	21	149954	14.0
	"North Carolina"	"37"	"Alamance County, NC"	"37001"	"2010"	"2010"	10	151131	Unreliable
	"North Carolina"	"37"	"Alamance County, NC"	"37001"	"2011"	"2011"	21	153291	13.7
	"North Carolina"	"37"	"Alamance County, NC"	"37001"	"2012"	"2012"	22	153920	14.3
	"North Carolina"	"37"	"Alamance County, NC"	"37001"	"2013"	"2013"	18	154378	Unreliable
	"North Carolina"	"37"	"Alamance County, NC"	"37001"	"2014"	"2014"	21	155792	13.5
	"North Carolina"	"37"	"Alexander County, NC"	"37003"	"2006"	"2006"	Suppressed	36243	Suppressed
	"North Carolina"	"37"	"Alexander County, NC"	"37003"	"2007"	"2007"	Suppressed	36609	Suppressed
	"North Carolina"	"37"	"Alexander County, NC"	"37003"	"2008"	"2008"	Suppressed	36840	Suppressed
	"North Carolina"	"37"	"Alexander County, NC"	"37003"	"2009"	"2009"	14	37053	Unreliable
	"North Carolina"	"37"	"Alexander County, NC"	"37003"	"2010"	"2010"	10	37198	Unreliable
	"North Carolina"	"37"	"Alexander County, NC"	"37003"	"2011"	"2011"	10	37087	Unreliable
	"North Carolina"	"37"	"Alexander County, NC"	"37003"	"2012"	"2012"	Suppressed	36853	Suppressed
	"North Carolina"	"37"	"Alexander County, NC"	"37003"	"2013"	"2013"	Suppressed	36930	Suppressed
	"North Carolina"	"37"	"Alexander County, NC"	"37003"	"2014"	"2014"	Suppressed	37392	Suppressed
	"North Carolina"	"37"	"Alleghany County, NC"	"37005"	"2006"	"2006"	Suppressed	10940	Suppressed
	"North Carolina"	"37"	"Alleghany County, NC"	"37005"	"2007"	"2007"	Suppressed	11061	Suppressed
	"North Carolina"	"37"	"Alleghany County, NC"	"37005"	"2008"	"2008"	Suppressed	11131	Suppressed
	"North Carolina"	"37"	"Alleghany County, NC"	"37005"	"2009"	"2009"	Suppressed	11125	Suppressed
	"North Carolina"	"37"	"Alleghany County, NC"	"37005"	"2010"	"2010"	Suppressed	11155	Suppressed
	"North Carolina"	"37"	"Alleghany County, NC"	"37005"	"2011"	"2011"	Suppressed	11052	Suppressed
	"North Carolina"	"37"	"Alleghany County, NC"	"37005"	"2012"	"2012"	Suppressed	10927	Suppressed
	"North Carolina"	"37"	"Alleghany County, NC"	"37005"	"2013"	"2013"	Suppressed	10939	Suppressed
	"North Carolina"	"37"	"Alleghany County, NC"	"37005"	"2014"	"2014"	Suppressed	10879	Suppressed
	"North Carolina"	"37"	"Anson County, NC"	"37007"	"2006"	"2006"	Suppressed	26599	Suppressed
	"North Carolina"	"37"	"Anson County, NC"	"37007"	"2007"	"2007"	Suppressed	26664	Suppressed
	"North Carolina"	"37"	"Anson County, NC"	"37007"	"2008"	"2008"	Suppressed	26837	Suppressed
	"North Carolina"	"37"	"Anson County, NC"	"37007"	"2009"	"2009"	Suppressed	26917	Suppressed
	"North Carolina"	"37"	"Anson County, NC"	"37007"	"2010"	"2010"	Suppressed	26948	Suppressed
	"North Carolina"	"37"	"Anson County, NC"	"37007"	"2011"	"2011"	Suppressed	26609	Suppressed
	"North Carolina"	"37"	"Anson County, NC"	"37007"	"2012"	"2012"	Suppressed	26351	Suppressed
	"North Carolina"	"37"	"Anson County, NC"	"37007"	"2013"	"2013"	0	26161	Unreliable
	"North Carolina"	"37"	"Anson County, NC"	"37007"	"2014"	"2014"	Suppressed	25765	Suppressed
	"North Carolina"	"37"	"Ashe County, NC"	"37009"	"2006"	"2006"	Suppressed	26134	Suppressed
	"North Carolina"	"37"	"Ashe County, NC"	"37009"	"2007"	"2007"	Suppressed	26506	Suppressed
	"North Carolina"	"37"	"Ashe County, NC"	"37009"	"2008"	"2008"	Suppressed	26858	Suppressed
	"North Carolina"	"37"	"Ashe County, NC"	"37009"	"2009"	"2009"	Suppressed	27144	Suppressed
	"North Carolina"	"37"	"Ashe County, NC"	"37009"	"2010"	"2010"	Suppressed	27281	Suppressed
	"North Carolina"	"37"	"Ashe County, NC"	"37009"	"2011"	"2011"	Suppressed	27143	Suppressed
	"North Carolina"	"37"	"Ashe County, NC"	"37009"	"2012"	"2012"	Suppressed	27097	Suppressed
	"North Carolina"	"37"	"Ashe County, NC"	"37009"	"2013"	"2013"	Suppressed	27151	Suppressed
	"North Carolina"	"37"	"Ashe County, NC"	"37009"	"2014"	"2014"	Suppressed	27126	Suppressed
	"North Carolina"	"37"	"Avery County, NC"	"37011"	"2006"	"2006"	Suppressed	18104	Suppressed
	"North Carolina"	"37"	"Avery County, NC"	"37011"	"2007"	"2007"	Suppressed	17949	Suppressed
	"North Carolina"	"37"	"Avery County, NC"	"37011"	"2008"	"2008"	Suppressed	18024	Suppressed
	"North Carolina"	"37"	"Avery County, NC"	"37011"	"2009"	"2009"	Suppressed	17925	Suppressed
	"North Carolina"	"37"	"Avery County, NC"	"37011"	"2010"	"2010"	Suppressed	17797	Suppressed
	"North Carolina"	"37"	"Avery County, NC"	"37011"	"2011"	"2011"	Suppressed	17572	Suppressed
	"North Carolina"	"37"	"Avery County, NC"	"37011"	"2012"	"2012"	Suppressed	17635	Suppressed
	"North Carolina"	"37"	"Avery County, NC"	"37011"	"2013"	"2013"	Suppressed	17713	Suppressed
	"North Carolina"	"37"	"Avery County, NC"	"37011"	"2014"	"2014"	Suppressed	17773	Suppressed
	"North Carolina"	"37"	"Beaufort County, NC"	"37013"	"2006"	"2006"	Suppressed	46622	Suppressed
	"North Carolina"	"37"	"Beaufort County, NC"	"37013"	"2007"	"2007"	Suppressed	46702	Suppressed
