"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"North Dakota"	"38"	"Adams County, ND"	"38001"	"2006"	"2006"	0	2366	Unreliable
	"North Dakota"	"38"	"Adams County, ND"	"38001"	"2007"	"2007"	0	2362	Unreliable
	"North Dakota"	"38"	"Adams County, ND"	"38001"	"2008"	"2008"	0	2343	Unreliable
	"North Dakota"	"38"	"Adams County, ND"	"38001"	"2009"	"2009"	0	2325	Unreliable
	"North Dakota"	"38"	"Adams County, ND"	"38001"	"2010"	"2010"	0	2343	Unreliable
	"North Dakota"	"38"	"Adams County, ND"	"38001"	"2011"	"2011"	0	2307	Unreliable
	"North Dakota"	"38"	"Adams County, ND"	"38001"	"2012"	"2012"	0	2311	Unreliable
	"North Dakota"	"38"	"Adams County, ND"	"38001"	"2013"	"2013"	0	2360	Unreliable
	"North Dakota"	"38"	"Adams County, ND"	"38001"	"2014"	"2014"	0	2384	Unreliable
	"North Dakota"	"38"	"Barnes County, ND"	"38003"	"2006"	"2006"	0	11106	Unreliable
	"North Dakota"	"38"	"Barnes County, ND"	"38003"	"2007"	"2007"	Suppressed	11057	Suppressed
	"North Dakota"	"38"	"Barnes County, ND"	"38003"	"2008"	"2008"	0	11027	Unreliable
	"North Dakota"	"38"	"Barnes County, ND"	"38003"	"2009"	"2009"	0	11028	Unreliable
	"North Dakota"	"38"	"Barnes County, ND"	"38003"	"2010"	"2010"	0	11066	Unreliable
	"North Dakota"	"38"	"Barnes County, ND"	"38003"	"2011"	"2011"	0	11056	Unreliable
	"North Dakota"	"38"	"Barnes County, ND"	"38003"	"2012"	"2012"	0	11015	Unreliable
	"North Dakota"	"38"	"Barnes County, ND"	"38003"	"2013"	"2013"	0	11190	Unreliable
	"North Dakota"	"38"	"Barnes County, ND"	"38003"	"2014"	"2014"	Suppressed	11144	Suppressed
	"North Dakota"	"38"	"Benson County, ND"	"38005"	"2006"	"2006"	Suppressed	6709	Suppressed
	"North Dakota"	"38"	"Benson County, ND"	"38005"	"2007"	"2007"	0	6683	Unreliable
	"North Dakota"	"38"	"Benson County, ND"	"38005"	"2008"	"2008"	Suppressed	6622	Suppressed
	"North Dakota"	"38"	"Benson County, ND"	"38005"	"2009"	"2009"	0	6609	Unreliable
	"North Dakota"	"38"	"Benson County, ND"	"38005"	"2010"	"2010"	0	6660	Unreliable
	"North Dakota"	"38"	"Benson County, ND"	"38005"	"2011"	"2011"	0	6723	Unreliable
	"North Dakota"	"38"	"Benson County, ND"	"38005"	"2012"	"2012"	Suppressed	6760	Suppressed
	"North Dakota"	"38"	"Benson County, ND"	"38005"	"2013"	"2013"	0	6877	Unreliable
	"North Dakota"	"38"	"Benson County, ND"	"38005"	"2014"	"2014"	Suppressed	6833	Suppressed
	"North Dakota"	"38"	"Billings County, ND"	"38007"	"2006"	"2006"	0	741	Unreliable
	"North Dakota"	"38"	"Billings County, ND"	"38007"	"2007"	"2007"	0	762	Unreliable
	"North Dakota"	"38"	"Billings County, ND"	"38007"	"2008"	"2008"	0	768	Unreliable
	"North Dakota"	"38"	"Billings County, ND"	"38007"	"2009"	"2009"	0	796	Unreliable
	"North Dakota"	"38"	"Billings County, ND"	"38007"	"2010"	"2010"	0	783	Unreliable
	"North Dakota"	"38"	"Billings County, ND"	"38007"	"2011"	"2011"	0	816	Unreliable
	"North Dakota"	"38"	"Billings County, ND"	"38007"	"2012"	"2012"	0	905	Unreliable
	"North Dakota"	"38"	"Billings County, ND"	"38007"	"2013"	"2013"	0	874	Unreliable
	"North Dakota"	"38"	"Billings County, ND"	"38007"	"2014"	"2014"	0	901	Unreliable
	"North Dakota"	"38"	"Bottineau County, ND"	"38009"	"2006"	"2006"	0	6526	Unreliable
	"North Dakota"	"38"	"Bottineau County, ND"	"38009"	"2007"	"2007"	0	6428	Unreliable
	"North Dakota"	"38"	"Bottineau County, ND"	"38009"	"2008"	"2008"	0	6370	Unreliable
	"North Dakota"	"38"	"Bottineau County, ND"	"38009"	"2009"	"2009"	0	6390	Unreliable
	"North Dakota"	"38"	"Bottineau County, ND"	"38009"	"2010"	"2010"	Suppressed	6429	Suppressed
	"North Dakota"	"38"	"Bottineau County, ND"	"38009"	"2011"	"2011"	0	6443	Unreliable
	"North Dakota"	"38"	"Bottineau County, ND"	"38009"	"2012"	"2012"	0	6579	Unreliable
	"North Dakota"	"38"	"Bottineau County, ND"	"38009"	"2013"	"2013"	0	6736	Unreliable
	"North Dakota"	"38"	"Bottineau County, ND"	"38009"	"2014"	"2014"	0	6650	Unreliable
	"North Dakota"	"38"	"Bowman County, ND"	"38011"	"2006"	"2006"	0	3020	Unreliable
	"North Dakota"	"38"	"Bowman County, ND"	"38011"	"2007"	"2007"	0	3050	Unreliable
	"North Dakota"	"38"	"Bowman County, ND"	"38011"	"2008"	"2008"	0	3158	Unreliable
	"North Dakota"	"38"	"Bowman County, ND"	"38011"	"2009"	"2009"	0	3137	Unreliable
	"North Dakota"	"38"	"Bowman County, ND"	"38011"	"2010"	"2010"	0	3151	Unreliable
	"North Dakota"	"38"	"Bowman County, ND"	"38011"	"2011"	"2011"	0	3134	Unreliable
	"North Dakota"	"38"	"Bowman County, ND"	"38011"	"2012"	"2012"	Suppressed	3202	Suppressed
	"North Dakota"	"38"	"Bowman County, ND"	"38011"	"2013"	"2013"	0	3214	Unreliable
