"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Ohio"	"39"	"Adams County, OH"	"39001"	"2006"	"2006"	Suppressed	28615	Suppressed
	"Ohio"	"39"	"Adams County, OH"	"39001"	"2007"	"2007"	Suppressed	28538	Suppressed
	"Ohio"	"39"	"Adams County, OH"	"39001"	"2008"	"2008"	Suppressed	28686	Suppressed
	"Ohio"	"39"	"Adams County, OH"	"39001"	"2009"	"2009"	Suppressed	28500	Suppressed
	"Ohio"	"39"	"Adams County, OH"	"39001"	"2010"	"2010"	Suppressed	28550	Suppressed
	"Ohio"	"39"	"Adams County, OH"	"39001"	"2011"	"2011"	Suppressed	28456	Suppressed
	"Ohio"	"39"	"Adams County, OH"	"39001"	"2012"	"2012"	10	28350	Unreliable
	"Ohio"	"39"	"Adams County, OH"	"39001"	"2013"	"2013"	Suppressed	28105	Suppressed
	"Ohio"	"39"	"Adams County, OH"	"39001"	"2014"	"2014"	10	28129	Unreliable
	"Ohio"	"39"	"Allen County, OH"	"39003"	"2006"	"2006"	Suppressed	106716	Suppressed
	"Ohio"	"39"	"Allen County, OH"	"39003"	"2007"	"2007"	Suppressed	106717	Suppressed
	"Ohio"	"39"	"Allen County, OH"	"39003"	"2008"	"2008"	10	106773	Unreliable
	"Ohio"	"39"	"Allen County, OH"	"39003"	"2009"	"2009"	Suppressed	106518	Suppressed
	"Ohio"	"39"	"Allen County, OH"	"39003"	"2010"	"2010"	Suppressed	106331	Suppressed
	"Ohio"	"39"	"Allen County, OH"	"39003"	"2011"	"2011"	10	106094	Unreliable
	"Ohio"	"39"	"Allen County, OH"	"39003"	"2012"	"2012"	15	105141	Unreliable
	"Ohio"	"39"	"Allen County, OH"	"39003"	"2013"	"2013"	16	105298	Unreliable
	"Ohio"	"39"	"Allen County, OH"	"39003"	"2014"	"2014"	14	105040	Unreliable
	"Ohio"	"39"	"Ashland County, OH"	"39005"	"2006"	"2006"	Suppressed	53231	Suppressed
	"Ohio"	"39"	"Ashland County, OH"	"39005"	"2007"	"2007"	Suppressed	53544	Suppressed
	"Ohio"	"39"	"Ashland County, OH"	"39005"	"2008"	"2008"	Suppressed	53499	Suppressed
	"Ohio"	"39"	"Ashland County, OH"	"39005"	"2009"	"2009"	Suppressed	53305	Suppressed
	"Ohio"	"39"	"Ashland County, OH"	"39005"	"2010"	"2010"	Suppressed	53139	Suppressed
	"Ohio"	"39"	"Ashland County, OH"	"39005"	"2011"	"2011"	Suppressed	53153	Suppressed
	"Ohio"	"39"	"Ashland County, OH"	"39005"	"2012"	"2012"	Suppressed	52962	Suppressed
	"Ohio"	"39"	"Ashland County, OH"	"39005"	"2013"	"2013"	Suppressed	53043	Suppressed
	"Ohio"	"39"	"Ashland County, OH"	"39005"	"2014"	"2014"	Suppressed	53035	Suppressed
	"Ohio"	"39"	"Ashtabula County, OH"	"39007"	"2006"	"2006"	Suppressed	102340	Suppressed
	"Ohio"	"39"	"Ashtabula County, OH"	"39007"	"2007"	"2007"	Suppressed	102156	Suppressed
	"Ohio"	"39"	"Ashtabula County, OH"	"39007"	"2008"	"2008"	14	101826	Unreliable
	"Ohio"	"39"	"Ashtabula County, OH"	"39007"	"2009"	"2009"	Suppressed	101584	Suppressed
	"Ohio"	"39"	"Ashtabula County, OH"	"39007"	"2010"	"2010"	20	101497	19.7
	"Ohio"	"39"	"Ashtabula County, OH"	"39007"	"2011"	"2011"	21	101345	20.7
	"Ohio"	"39"	"Ashtabula County, OH"	"39007"	"2012"	"2012"	26	100389	25.9
	"Ohio"	"39"	"Ashtabula County, OH"	"39007"	"2013"	"2013"	20	99811	20.0
	"Ohio"	"39"	"Ashtabula County, OH"	"39007"	"2014"	"2014"	30	99175	30.2
	"Ohio"	"39"	"Athens County, OH"	"39009"	"2006"	"2006"	12	64237	Unreliable
	"Ohio"	"39"	"Athens County, OH"	"39009"	"2007"	"2007"	16	64102	Unreliable
