"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Oklahoma"	"40"	"Adair County, OK"	"40001"	"2006"	"2006"	Suppressed	22215	Suppressed
	"Oklahoma"	"40"	"Adair County, OK"	"40001"	"2007"	"2007"	Suppressed	22345	Suppressed
	"Oklahoma"	"40"	"Adair County, OK"	"40001"	"2008"	"2008"	0	22346	Unreliable
	"Oklahoma"	"40"	"Adair County, OK"	"40001"	"2009"	"2009"	Suppressed	22477	Suppressed
	"Oklahoma"	"40"	"Adair County, OK"	"40001"	"2010"	"2010"	Suppressed	22683	Suppressed
	"Oklahoma"	"40"	"Adair County, OK"	"40001"	"2011"	"2011"	Suppressed	22612	Suppressed
	"Oklahoma"	"40"	"Adair County, OK"	"40001"	"2012"	"2012"	Suppressed	22286	Suppressed
	"Oklahoma"	"40"	"Adair County, OK"	"40001"	"2013"	"2013"	Suppressed	22194	Suppressed
	"Oklahoma"	"40"	"Adair County, OK"	"40001"	"2014"	"2014"	Suppressed	22186	Suppressed
	"Oklahoma"	"40"	"Alfalfa County, OK"	"40003"	"2006"	"2006"	Suppressed	5639	Suppressed
	"Oklahoma"	"40"	"Alfalfa County, OK"	"40003"	"2007"	"2007"	0	5618	Unreliable
	"Oklahoma"	"40"	"Alfalfa County, OK"	"40003"	"2008"	"2008"	0	5618	Unreliable
	"Oklahoma"	"40"	"Alfalfa County, OK"	"40003"	"2009"	"2009"	0	5585	Unreliable
	"Oklahoma"	"40"	"Alfalfa County, OK"	"40003"	"2010"	"2010"	Suppressed	5642	Suppressed
	"Oklahoma"	"40"	"Alfalfa County, OK"	"40003"	"2011"	"2011"	Suppressed	5662	Suppressed
	"Oklahoma"	"40"	"Alfalfa County, OK"	"40003"	"2012"	"2012"	Suppressed	5666	Suppressed
	"Oklahoma"	"40"	"Alfalfa County, OK"	"40003"	"2013"	"2013"	0	5847	Unreliable
	"Oklahoma"	"40"	"Alfalfa County, OK"	"40003"	"2014"	"2014"	0	5790	Unreliable
	"Oklahoma"	"40"	"Atoka County, OK"	"40005"	"2006"	"2006"	Suppressed	14013	Suppressed
