"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Oregon"	"41"	"Baker County, OR"	"41001"	"2006"	"2006"	Suppressed	16094	Suppressed
	"Oregon"	"41"	"Baker County, OR"	"41001"	"2007"	"2007"	Suppressed	16139	Suppressed
	"Oregon"	"41"	"Baker County, OR"	"41001"	"2008"	"2008"	Suppressed	16195	Suppressed
	"Oregon"	"41"	"Baker County, OR"	"41001"	"2009"	"2009"	Suppressed	16225	Suppressed
	"Oregon"	"41"	"Baker County, OR"	"41001"	"2010"	"2010"	Suppressed	16134	Suppressed
	"Oregon"	"41"	"Baker County, OR"	"41001"	"2011"	"2011"	Suppressed	15984	Suppressed
	"Oregon"	"41"	"Baker County, OR"	"41001"	"2012"	"2012"	Suppressed	15909	Suppressed
	"Oregon"	"41"	"Baker County, OR"	"41001"	"2013"	"2013"	Suppressed	16018	Suppressed
	"Oregon"	"41"	"Baker County, OR"	"41001"	"2014"	"2014"	Suppressed	16059	Suppressed
	"Oregon"	"41"	"Benton County, OR"	"41003"	"2006"	"2006"	Suppressed	81957	Suppressed
	"Oregon"	"41"	"Benton County, OR"	"41003"	"2007"	"2007"	Suppressed	83718	Suppressed
	"Oregon"	"41"	"Benton County, OR"	"41003"	"2008"	"2008"	Suppressed	84150	Suppressed
	"Oregon"	"41"	"Benton County, OR"	"41003"	"2009"	"2009"	Suppressed	85390	Suppressed
	"Oregon"	"41"	"Benton County, OR"	"41003"	"2010"	"2010"	Suppressed	85579	Suppressed
	"Oregon"	"41"	"Benton County, OR"	"41003"	"2011"	"2011"	10	85928	Unreliable
	"Oregon"	"41"	"Benton County, OR"	"41003"	"2012"	"2012"	Suppressed	86430	Suppressed
	"Oregon"	"41"	"Benton County, OR"	"41003"	"2013"	"2013"	Suppressed	86591	Suppressed
	"Oregon"	"41"	"Benton County, OR"	"41003"	"2014"	"2014"	Suppressed	86316	Suppressed
	"Oregon"	"41"	"Clackamas County, OR"	"41005"	"2006"	"2006"	42	363508	11.6
	"Oregon"	"41"	"Clackamas County, OR"	"41005"	"2007"	"2007"	38	366808	10.4
	"Oregon"	"41"	"Clackamas County, OR"	"41005"	"2008"	"2008"	34	371103	9.2
	"Oregon"	"41"	"Clackamas County, OR"	"41005"	"2009"	"2009"	45	374085	12.0
	"Oregon"	"41"	"Clackamas County, OR"	"41005"	"2010"	"2010"	49	375992	13.0
	"Oregon"	"41"	"Clackamas County, OR"	"41005"	"2011"	"2011"	48	380207	12.6
	"Oregon"	"41"	"Clackamas County, OR"	"41005"	"2012"	"2012"	33	383857	8.6
	"Oregon"	"41"	"Clackamas County, OR"	"41005"	"2013"	"2013"	48	388263	12.4
	"Oregon"	"41"	"Clackamas County, OR"	"41005"	"2014"	"2014"	47	394972	11.9
	"Oregon"	"41"	"Clatsop County, OR"	"41007"	"2006"	"2006"	Suppressed	36603	Suppressed
	"Oregon"	"41"	"Clatsop County, OR"	"41007"	"2007"	"2007"	Suppressed	36818	Suppressed
	"Oregon"	"41"	"Clatsop County, OR"	"41007"	"2008"	"2008"	Suppressed	36825	Suppressed
	"Oregon"	"41"	"Clatsop County, OR"	"41007"	"2009"	"2009"	Suppressed	36972	Suppressed
	"Oregon"	"41"	"Clatsop County, OR"	"41007"	"2010"	"2010"	Suppressed	37039	Suppressed
	"Oregon"	"41"	"Clatsop County, OR"	"41007"	"2011"	"2011"	12	37153	Unreliable
	"Oregon"	"41"	"Clatsop County, OR"	"41007"	"2012"	"2012"	Suppressed	37301	Suppressed
	"Oregon"	"41"	"Clatsop County, OR"	"41007"	"2013"	"2013"	Suppressed	37244	Suppressed
	"Oregon"	"41"	"Clatsop County, OR"	"41007"	"2014"	"2014"	Suppressed	37474	Suppressed
	"Oregon"	"41"	"Columbia County, OR"	"41009"	"2006"	"2006"	Suppressed	48184	Suppressed
	"Oregon"	"41"	"Columbia County, OR"	"41009"	"2007"	"2007"	Suppressed	48898	Suppressed
