"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Pennsylvania"	"42"	"Adams County, PA"	"42001"	"2006"	"2006"	Suppressed	99899	Suppressed
	"Pennsylvania"	"42"	"Adams County, PA"	"42001"	"2007"	"2007"	Suppressed	100502	Suppressed
	"Pennsylvania"	"42"	"Adams County, PA"	"42001"	"2008"	"2008"	11	101056	Unreliable
	"Pennsylvania"	"42"	"Adams County, PA"	"42001"	"2009"	"2009"	16	101252	Unreliable
	"Pennsylvania"	"42"	"Adams County, PA"	"42001"	"2010"	"2010"	14	101407	Unreliable
	"Pennsylvania"	"42"	"Adams County, PA"	"42001"	"2011"	"2011"	11	101434	Unreliable
	"Pennsylvania"	"42"	"Adams County, PA"	"42001"	"2012"	"2012"	Suppressed	101482	Suppressed
	"Pennsylvania"	"42"	"Adams County, PA"	"42001"	"2013"	"2013"	Suppressed	101546	Suppressed
	"Pennsylvania"	"42"	"Adams County, PA"	"42001"	"2014"	"2014"	Suppressed	101714	Suppressed
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2006"	"2006"	140	1226025	11.4
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2007"	"2007"	205	1222482	16.8
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2008"	"2008"	223	1221071	18.3
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2009"	"2009"	219	1222171	17.9
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2010"	"2010"	234	1223348	19.1
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2011"	"2011"	247	1227066	20.1
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2012"	"2012"	280	1229338	22.8
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2013"	"2013"	269	1231527	21.8
	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	"2014"	"2014"	316	1231255	25.7
	"Pennsylvania"	"42"	"Armstrong County, PA"	"42005"	"2006"	"2006"	14	70030	Unreliable
	"Pennsylvania"	"42"	"Armstrong County, PA"	"42005"	"2007"	"2007"	Suppressed	69845	Suppressed
	"Pennsylvania"	"42"	"Armstrong County, PA"	"42005"	"2008"	"2008"	10	69611	Unreliable
	"Pennsylvania"	"42"	"Armstrong County, PA"	"42005"	"2009"	"2009"	Suppressed	69120	Suppressed
	"Pennsylvania"	"42"	"Armstrong County, PA"	"42005"	"2010"	"2010"	13	68941	Unreliable
	"Pennsylvania"	"42"	"Armstrong County, PA"	"42005"	"2011"	"2011"	15	68568	Unreliable
	"Pennsylvania"	"42"	"Armstrong County, PA"	"42005"	"2012"	"2012"	14	68409	Unreliable
	"Pennsylvania"	"42"	"Armstrong County, PA"	"42005"	"2013"	"2013"	14	68107	Unreliable
	"Pennsylvania"	"42"	"Armstrong County, PA"	"42005"	"2014"	"2014"	17	67785	Unreliable
	"Pennsylvania"	"42"	"Beaver County, PA"	"42007"	"2006"	"2006"	18	173259	Unreliable
	"Pennsylvania"	"42"	"Beaver County, PA"	"42007"	"2007"	"2007"	22	172161	12.8
	"Pennsylvania"	"42"	"Beaver County, PA"	"42007"	"2008"	"2008"	20	171336	11.7
	"Pennsylvania"	"42"	"Beaver County, PA"	"42007"	"2009"	"2009"	26	170524	15.2
	"Pennsylvania"	"42"	"Beaver County, PA"	"42007"	"2010"	"2010"	25	170539	14.7
	"Pennsylvania"	"42"	"Beaver County, PA"	"42007"	"2011"	"2011"	38	170414	22.3
	"Pennsylvania"	"42"	"Beaver County, PA"	"42007"	"2012"	"2012"	34	170245	20.0
	"Pennsylvania"	"42"	"Beaver County, PA"	"42007"	"2013"	"2013"	45	170115	26.5
	"Pennsylvania"	"42"	"Beaver County, PA"	"42007"	"2014"	"2014"	41	169392	24.2
	"Pennsylvania"	"42"	"Bedford County, PA"	"42009"	"2006"	"2006"	Suppressed	49871	Suppressed
	"Pennsylvania"	"42"	"Bedford County, PA"	"42009"	"2007"	"2007"	Suppressed	49889	Suppressed
	"Pennsylvania"	"42"	"Bedford County, PA"	"42009"	"2008"	"2008"	Suppressed	50052	Suppressed
	"Pennsylvania"	"42"	"Bedford County, PA"	"42009"	"2009"	"2009"	11	49889	Unreliable
	"Pennsylvania"	"42"	"Bedford County, PA"	"42009"	"2010"	"2010"	Suppressed	49762	Suppressed
	"Pennsylvania"	"42"	"Bedford County, PA"	"42009"	"2011"	"2011"	Suppressed	49739	Suppressed
	"Pennsylvania"	"42"	"Bedford County, PA"	"42009"	"2012"	"2012"	Suppressed	49324	Suppressed
	"Pennsylvania"	"42"	"Bedford County, PA"	"42009"	"2013"	"2013"	Suppressed	49055	Suppressed
	"Pennsylvania"	"42"	"Bedford County, PA"	"42009"	"2014"	"2014"	Suppressed	48946	Suppressed
	"Pennsylvania"	"42"	"Berks County, PA"	"42011"	"2006"	"2006"	31	401834	7.7
	"Pennsylvania"	"42"	"Berks County, PA"	"42011"	"2007"	"2007"	43	405223	10.6
	"Pennsylvania"	"42"	"Berks County, PA"	"42011"	"2008"	"2008"	41	407737	10.1
	"Pennsylvania"	"42"	"Berks County, PA"	"42011"	"2009"	"2009"	57	409904	13.9
	"Pennsylvania"	"42"	"Berks County, PA"	"42011"	"2010"	"2010"	58	411442	14.1
	"Pennsylvania"	"42"	"Berks County, PA"	"42011"	"2011"	"2011"	65	412778	15.7
	"Pennsylvania"	"42"	"Berks County, PA"	"42011"	"2012"	"2012"	53	413491	12.8
	"Pennsylvania"	"42"	"Berks County, PA"	"42011"	"2013"	"2013"	54	413521	13.1
	"Pennsylvania"	"42"	"Berks County, PA"	"42011"	"2014"	"2014"	67	413691	16.2
	"Pennsylvania"	"42"	"Blair County, PA"	"42013"	"2006"	"2006"	19	127002	Unreliable
	"Pennsylvania"	"42"	"Blair County, PA"	"42013"	"2007"	"2007"	17	127048	Unreliable
	"Pennsylvania"	"42"	"Blair County, PA"	"42013"	"2008"	"2008"	21	127112	16.5
	"Pennsylvania"	"42"	"Blair County, PA"	"42013"	"2009"	"2009"	21	127161	16.5
	"Pennsylvania"	"42"	"Blair County, PA"	"42013"	"2010"	"2010"	12	127089	Unreliable
	"Pennsylvania"	"42"	"Blair County, PA"	"42013"	"2011"	"2011"	26	127099	20.5
	"Pennsylvania"	"42"	"Blair County, PA"	"42013"	"2012"	"2012"	19	127121	Unreliable
	"Pennsylvania"	"42"	"Blair County, PA"	"42013"	"2013"	"2013"	17	126314	Unreliable
	"Pennsylvania"	"42"	"Blair County, PA"	"42013"	"2014"	"2014"	19	125955	Unreliable
	"Pennsylvania"	"42"	"Bradford County, PA"	"42015"	"2006"	"2006"	Suppressed	62345	Suppressed
	"Pennsylvania"	"42"	"Bradford County, PA"	"42015"	"2007"	"2007"	Suppressed	62343	Suppressed
	"Pennsylvania"	"42"	"Bradford County, PA"	"42015"	"2008"	"2008"	Suppressed	62318	Suppressed
	"Pennsylvania"	"42"	"Bradford County, PA"	"42015"	"2009"	"2009"	Suppressed	62418	Suppressed
