"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"South Carolina"	"45"	"Abbeville County, SC"	"45001"	"2006"	"2006"	Suppressed	25821	Suppressed
	"South Carolina"	"45"	"Abbeville County, SC"	"45001"	"2007"	"2007"	Suppressed	25745	Suppressed
	"South Carolina"	"45"	"Abbeville County, SC"	"45001"	"2008"	"2008"	0	25699	Unreliable
	"South Carolina"	"45"	"Abbeville County, SC"	"45001"	"2009"	"2009"	0	25614	Unreliable
	"South Carolina"	"45"	"Abbeville County, SC"	"45001"	"2010"	"2010"	Suppressed	25417	Suppressed
	"South Carolina"	"45"	"Abbeville County, SC"	"45001"	"2011"	"2011"	Suppressed	25161	Suppressed
	"South Carolina"	"45"	"Abbeville County, SC"	"45001"	"2012"	"2012"	Suppressed	25101	Suppressed
	"South Carolina"	"45"	"Abbeville County, SC"	"45001"	"2013"	"2013"	Suppressed	25007	Suppressed
	"South Carolina"	"45"	"Abbeville County, SC"	"45001"	"2014"	"2014"	0	24965	Unreliable
	"South Carolina"	"45"	"Aiken County, SC"	"45003"	"2006"	"2006"	27	152577	17.7
	"South Carolina"	"45"	"Aiken County, SC"	"45003"	"2007"	"2007"	21	154814	13.6
	"South Carolina"	"45"	"Aiken County, SC"	"45003"	"2008"	"2008"	23	156896	14.7
	"South Carolina"	"45"	"Aiken County, SC"	"45003"	"2009"	"2009"	24	158499	15.1
	"South Carolina"	"45"	"Aiken County, SC"	"45003"	"2010"	"2010"	27	160099	16.9
	"South Carolina"	"45"	"Aiken County, SC"	"45003"	"2011"	"2011"	24	160682	14.9
	"South Carolina"	"45"	"Aiken County, SC"	"45003"	"2012"	"2012"	32	162812	19.7
	"South Carolina"	"45"	"Aiken County, SC"	"45003"	"2013"	"2013"	32	164176	19.5
	"South Carolina"	"45"	"Aiken County, SC"	"45003"	"2014"	"2014"	30	164753	18.2
	"South Carolina"	"45"	"Allendale County, SC"	"45005"	"2006"	"2006"	Suppressed	10882	Suppressed
	"South Carolina"	"45"	"Allendale County, SC"	"45005"	"2007"	"2007"	0	10787	Unreliable
	"South Carolina"	"45"	"Allendale County, SC"	"45005"	"2008"	"2008"	Suppressed	10803	Suppressed
	"South Carolina"	"45"	"Allendale County, SC"	"45005"	"2009"	"2009"	0	10619	Unreliable
	"South Carolina"	"45"	"Allendale County, SC"	"45005"	"2010"	"2010"	0	10419	Unreliable
	"South Carolina"	"45"	"Allendale County, SC"	"45005"	"2011"	"2011"	0	10181	Unreliable
	"South Carolina"	"45"	"Allendale County, SC"	"45005"	"2012"	"2012"	0	9988	Unreliable
	"South Carolina"	"45"	"Allendale County, SC"	"45005"	"2013"	"2013"	0	9839	Unreliable
	"South Carolina"	"45"	"Allendale County, SC"	"45005"	"2014"	"2014"	0	9695	Unreliable
	"South Carolina"	"45"	"Anderson County, SC"	"45007"	"2006"	"2006"	27	178579	15.1
	"South Carolina"	"45"	"Anderson County, SC"	"45007"	"2007"	"2007"	27	181543	14.9
	"South Carolina"	"45"	"Anderson County, SC"	"45007"	"2008"	"2008"	32	184520	17.3
	"South Carolina"	"45"	"Anderson County, SC"	"45007"	"2009"	"2009"	42	186544	22.5
	"South Carolina"	"45"	"Anderson County, SC"	"45007"	"2010"	"2010"	37	187126	19.8
	"South Carolina"	"45"	"Anderson County, SC"	"45007"	"2011"	"2011"	34	188488	18.0
	"South Carolina"	"45"	"Anderson County, SC"	"45007"	"2012"	"2012"	30	189355	15.8
	"South Carolina"	"45"	"Anderson County, SC"	"45007"	"2013"	"2013"	36	190641	18.9
	"South Carolina"	"45"	"Anderson County, SC"	"45007"	"2014"	"2014"	37	192810	19.2
	"South Carolina"	"45"	"Bamberg County, SC"	"45009"	"2006"	"2006"	0	16392	Unreliable
	"South Carolina"	"45"	"Bamberg County, SC"	"45009"	"2007"	"2007"	0	16226	Unreliable
	"South Carolina"	"45"	"Bamberg County, SC"	"45009"	"2008"	"2008"	Suppressed	16104	Suppressed
	"South Carolina"	"45"	"Bamberg County, SC"	"45009"	"2009"	"2009"	Suppressed	16022	Suppressed
	"South Carolina"	"45"	"Bamberg County, SC"	"45009"	"2010"	"2010"	Suppressed	15987	Suppressed
	"South Carolina"	"45"	"Bamberg County, SC"	"45009"	"2011"	"2011"	Suppressed	15975	Suppressed
	"South Carolina"	"45"	"Bamberg County, SC"	"45009"	"2012"	"2012"	Suppressed	15763	Suppressed
	"South Carolina"	"45"	"Bamberg County, SC"	"45009"	"2013"	"2013"	Suppressed	15430	Suppressed
	"South Carolina"	"45"	"Bamberg County, SC"	"45009"	"2014"	"2014"	Suppressed	15182	Suppressed
	"South Carolina"	"45"	"Barnwell County, SC"	"45011"	"2006"	"2006"	Suppressed	22886	Suppressed
	"South Carolina"	"45"	"Barnwell County, SC"	"45011"	"2007"	"2007"	Suppressed	22851	Suppressed
	"South Carolina"	"45"	"Barnwell County, SC"	"45011"	"2008"	"2008"	Suppressed	22761	Suppressed
	"South Carolina"	"45"	"Barnwell County, SC"	"45011"	"2009"	"2009"	Suppressed	22611	Suppressed
	"South Carolina"	"45"	"Barnwell County, SC"	"45011"	"2010"	"2010"	Suppressed	22621	Suppressed
	"South Carolina"	"45"	"Barnwell County, SC"	"45011"	"2011"	"2011"	Suppressed	22358	Suppressed
	"South Carolina"	"45"	"Barnwell County, SC"	"45011"	"2012"	"2012"	Suppressed	22212	Suppressed
	"South Carolina"	"45"	"Barnwell County, SC"	"45011"	"2013"	"2013"	Suppressed	22119	Suppressed
	"South Carolina"	"45"	"Barnwell County, SC"	"45011"	"2014"	"2014"	Suppressed	21959	Suppressed
	"South Carolina"	"45"	"Beaufort County, SC"	"45013"	"2006"	"2006"	13	147213	Unreliable
	"South Carolina"	"45"	"Beaufort County, SC"	"45013"	"2007"	"2007"	12	151411	Unreliable
	"South Carolina"	"45"	"Beaufort County, SC"	"45013"	"2008"	"2008"	13	156399	Unreliable
	"South Carolina"	"45"	"Beaufort County, SC"	"45013"	"2009"	"2009"	14	159737	Unreliable
	"South Carolina"	"45"	"Beaufort County, SC"	"45013"	"2010"	"2010"	15	162233	Unreliable
	"South Carolina"	"45"	"Beaufort County, SC"	"45013"	"2011"	"2011"	17	164684	Unreliable
	"South Carolina"	"45"	"Beaufort County, SC"	"45013"	"2012"	"2012"	13	168049	Unreliable
	"South Carolina"	"45"	"Beaufort County, SC"	"45013"	"2013"	"2013"	17	171838	Unreliable
	"South Carolina"	"45"	"Beaufort County, SC"	"45013"	"2014"	"2014"	13	175852	Unreliable
	"South Carolina"	"45"	"Berkeley County, SC"	"45015"	"2006"	"2006"	14	159501	Unreliable
	"South Carolina"	"45"	"Berkeley County, SC"	"45015"	"2007"	"2007"	12	164913	Unreliable
	"South Carolina"	"45"	"Berkeley County, SC"	"45015"	"2008"	"2008"	16	171099	Unreliable
	"South Carolina"	"45"	"Berkeley County, SC"	"45015"	"2009"	"2009"	13	175092	Unreliable
	"South Carolina"	"45"	"Berkeley County, SC"	"45015"	"2010"	"2010"	25	177843	14.1
	"South Carolina"	"45"	"Berkeley County, SC"	"45015"	"2011"	"2011"	19	183525	Unreliable
	"South Carolina"	"45"	"Berkeley County, SC"	"45015"	"2012"	"2012"	28	189781	14.8
	"South Carolina"	"45"	"Berkeley County, SC"	"45015"	"2013"	"2013"	28	194020	14.4
	"South Carolina"	"45"	"Berkeley County, SC"	"45015"	"2014"	"2014"	26	198205	13.1
	"South Carolina"	"45"	"Calhoun County, SC"	"45017"	"2006"	"2006"	Suppressed	15229	Suppressed
	"South Carolina"	"45"	"Calhoun County, SC"	"45017"	"2007"	"2007"	Suppressed	15260	Suppressed
	"South Carolina"	"45"	"Calhoun County, SC"	"45017"	"2008"	"2008"	0	15175	Unreliable
	"South Carolina"	"45"	"Calhoun County, SC"	"45017"	"2009"	"2009"	0	15268	Unreliable
	"South Carolina"	"45"	"Calhoun County, SC"	"45017"	"2010"	"2010"	Suppressed	15175	Suppressed
	"South Carolina"	"45"	"Calhoun County, SC"	"45017"	"2011"	"2011"	0	15145	Unreliable
	"South Carolina"	"45"	"Calhoun County, SC"	"45017"	"2012"	"2012"	0	14910	Unreliable
	"South Carolina"	"45"	"Calhoun County, SC"	"45017"	"2013"	"2013"	Suppressed	15055	Suppressed
	"South Carolina"	"45"	"Calhoun County, SC"	"45017"	"2014"	"2014"	0	14878	Unreliable
	"South Carolina"	"45"	"Charleston County, SC"	"45019"	"2006"	"2006"	34	334826	10.2
	"South Carolina"	"45"	"Charleston County, SC"	"45019"	"2007"	"2007"	49	337147	14.5
	"South Carolina"	"45"	"Charleston County, SC"	"45019"	"2008"	"2008"	41	341921	12.0
	"South Carolina"	"45"	"Charleston County, SC"	"45019"	"2009"	"2009"	46	346795	13.3
	"South Carolina"	"45"	"Charleston County, SC"	"45019"	"2010"	"2010"	60	350209	17.1
	"South Carolina"	"45"	"Charleston County, SC"	"45019"	"2011"	"2011"	55	357704	15.4
	"South Carolina"	"45"	"Charleston County, SC"	"45019"	"2012"	"2012"	37	365162	10.1
	"South Carolina"	"45"	"Charleston County, SC"	"45019"	"2013"	"2013"	44	372803	11.8
	"South Carolina"	"45"	"Charleston County, SC"	"45019"	"2014"	"2014"	57	381015	15.0
	"South Carolina"	"45"	"Cherokee County, SC"	"45021"	"2006"	"2006"	10	54166	Unreliable
	"South Carolina"	"45"	"Cherokee County, SC"	"45021"	"2007"	"2007"	Suppressed	54467	Suppressed
	"South Carolina"	"45"	"Cherokee County, SC"	"45021"	"2008"	"2008"	Suppressed	54981	Suppressed
	"South Carolina"	"45"	"Cherokee County, SC"	"45021"	"2009"	"2009"	Suppressed	55149	Suppressed
	"South Carolina"	"45"	"Cherokee County, SC"	"45021"	"2010"	"2010"	10	55342	Unreliable
	"South Carolina"	"45"	"Cherokee County, SC"	"45021"	"2011"	"2011"	Suppressed	55540	Suppressed
	"South Carolina"	"45"	"Cherokee County, SC"	"45021"	"2012"	"2012"	13	55662	Unreliable
	"South Carolina"	"45"	"Cherokee County, SC"	"45021"	"2013"	"2013"	Suppressed	55885	Suppressed
	"South Carolina"	"45"	"Cherokee County, SC"	"45021"	"2014"	"2014"	Suppressed	56024	Suppressed
	"South Carolina"	"45"	"Chester County, SC"	"45023"	"2006"	"2006"	Suppressed	33222	Suppressed
	"South Carolina"	"45"	"Chester County, SC"	"45023"	"2007"	"2007"	Suppressed	33247	Suppressed
	"South Carolina"	"45"	"Chester County, SC"	"45023"	"2008"	"2008"	Suppressed	33454	Suppressed
	"South Carolina"	"45"	"Chester County, SC"	"45023"	"2009"	"2009"	Suppressed	33210	Suppressed
	"South Carolina"	"45"	"Chester County, SC"	"45023"	"2010"	"2010"	Suppressed	33140	Suppressed
	"South Carolina"	"45"	"Chester County, SC"	"45023"	"2011"	"2011"	Suppressed	32916	Suppressed
	"South Carolina"	"45"	"Chester County, SC"	"45023"	"2012"	"2012"	Suppressed	32546	Suppressed
	"South Carolina"	"45"	"Chester County, SC"	"45023"	"2013"	"2013"	Suppressed	32578	Suppressed
	"South Carolina"	"45"	"Chester County, SC"	"45023"	"2014"	"2014"	Suppressed	32337	Suppressed
	"South Carolina"	"45"	"Chesterfield County, SC"	"45025"	"2006"	"2006"	Suppressed	45103	Suppressed
	"South Carolina"	"45"	"Chesterfield County, SC"	"45025"	"2007"	"2007"	10	45708	Unreliable
	"South Carolina"	"45"	"Chesterfield County, SC"	"45025"	"2008"	"2008"	Suppressed	46319	Suppressed
	"South Carolina"	"45"	"Chesterfield County, SC"	"45025"	"2009"	"2009"	Suppressed	46638	Suppressed
	"South Carolina"	"45"	"Chesterfield County, SC"	"45025"	"2010"	"2010"	Suppressed	46734	Suppressed
	"South Carolina"	"45"	"Chesterfield County, SC"	"45025"	"2011"	"2011"	Suppressed	46557	Suppressed
	"South Carolina"	"45"	"Chesterfield County, SC"	"45025"	"2012"	"2012"	Suppressed	46103	Suppressed
	"South Carolina"	"45"	"Chesterfield County, SC"	"45025"	"2013"	"2013"	Suppressed	46197	Suppressed
	"South Carolina"	"45"	"Chesterfield County, SC"	"45025"	"2014"	"2014"	Suppressed	46125	Suppressed
	"South Carolina"	"45"	"Clarendon County, SC"	"45027"	"2006"	"2006"	Suppressed	34094	Suppressed
	"South Carolina"	"45"	"Clarendon County, SC"	"45027"	"2007"	"2007"	Suppressed	34250	Suppressed
