"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"South Dakota"	"46"	"Aurora County, SD"	"46003"	"2006"	"2006"	0	2775	Unreliable
	"South Dakota"	"46"	"Aurora County, SD"	"46003"	"2007"	"2007"	0	2745	Unreliable
	"South Dakota"	"46"	"Aurora County, SD"	"46003"	"2008"	"2008"	0	2750	Unreliable
	"South Dakota"	"46"	"Aurora County, SD"	"46003"	"2009"	"2009"	0	2712	Unreliable
	"South Dakota"	"46"	"Aurora County, SD"	"46003"	"2010"	"2010"	0	2710	Unreliable
	"South Dakota"	"46"	"Aurora County, SD"	"46003"	"2011"	"2011"	0	2694	Unreliable
	"South Dakota"	"46"	"Aurora County, SD"	"46003"	"2012"	"2012"	0	2742	Unreliable
	"South Dakota"	"46"	"Aurora County, SD"	"46003"	"2013"	"2013"	0	2720	Unreliable
	"South Dakota"	"46"	"Aurora County, SD"	"46003"	"2014"	"2014"	Suppressed	2745	Suppressed
	"South Dakota"	"46"	"Beadle County, SD"	"46005"	"2006"	"2006"	0	16149	Unreliable
	"South Dakota"	"46"	"Beadle County, SD"	"46005"	"2007"	"2007"	0	16489	Unreliable
	"South Dakota"	"46"	"Beadle County, SD"	"46005"	"2008"	"2008"	0	16810	Unreliable
	"South Dakota"	"46"	"Beadle County, SD"	"46005"	"2009"	"2009"	0	17288	Unreliable
	"South Dakota"	"46"	"Beadle County, SD"	"46005"	"2010"	"2010"	Suppressed	17398	Suppressed
	"South Dakota"	"46"	"Beadle County, SD"	"46005"	"2011"	"2011"	Suppressed	17550	Suppressed
	"South Dakota"	"46"	"Beadle County, SD"	"46005"	"2012"	"2012"	0	17753	Unreliable
	"South Dakota"	"46"	"Beadle County, SD"	"46005"	"2013"	"2013"	Suppressed	18080	Suppressed
	"South Dakota"	"46"	"Beadle County, SD"	"46005"	"2014"	"2014"	Suppressed	18169	Suppressed
	"South Dakota"	"46"	"Bennett County, SD"	"46007"	"2006"	"2006"	0	3475	Unreliable
	"South Dakota"	"46"	"Bennett County, SD"	"46007"	"2007"	"2007"	0	3466	Unreliable
	"South Dakota"	"46"	"Bennett County, SD"	"46007"	"2008"	"2008"	0	3429	Unreliable
	"South Dakota"	"46"	"Bennett County, SD"	"46007"	"2009"	"2009"	0	3397	Unreliable
	"South Dakota"	"46"	"Bennett County, SD"	"46007"	"2010"	"2010"	0	3431	Unreliable
	"South Dakota"	"46"	"Bennett County, SD"	"46007"	"2011"	"2011"	0	3441	Unreliable
	"South Dakota"	"46"	"Bennett County, SD"	"46007"	"2012"	"2012"	0	3436	Unreliable
	"South Dakota"	"46"	"Bennett County, SD"	"46007"	"2013"	"2013"	0	3452	Unreliable
	"South Dakota"	"46"	"Bennett County, SD"	"46007"	"2014"	"2014"	0	3430	Unreliable
	"South Dakota"	"46"	"Bon Homme County, SD"	"46009"	"2006"	"2006"	0	7174	Unreliable
	"South Dakota"	"46"	"Bon Homme County, SD"	"46009"	"2007"	"2007"	0	7060	Unreliable
	"South Dakota"	"46"	"Bon Homme County, SD"	"46009"	"2008"	"2008"	0	7040	Unreliable
	"South Dakota"	"46"	"Bon Homme County, SD"	"46009"	"2009"	"2009"	0	7049	Unreliable
	"South Dakota"	"46"	"Bon Homme County, SD"	"46009"	"2010"	"2010"	Suppressed	7070	Suppressed
	"South Dakota"	"46"	"Bon Homme County, SD"	"46009"	"2011"	"2011"	0	6983	Unreliable
	"South Dakota"	"46"	"Bon Homme County, SD"	"46009"	"2012"	"2012"	Suppressed	7029	Suppressed
	"South Dakota"	"46"	"Bon Homme County, SD"	"46009"	"2013"	"2013"	0	7046	Unreliable
	"South Dakota"	"46"	"Bon Homme County, SD"	"46009"	"2014"	"2014"	0	7023	Unreliable
	"South Dakota"	"46"	"Brookings County, SD"	"46011"	"2006"	"2006"	Suppressed	30323	Suppressed
	"South Dakota"	"46"	"Brookings County, SD"	"46011"	"2007"	"2007"	0	30831	Unreliable
	"South Dakota"	"46"	"Brookings County, SD"	"46011"	"2008"	"2008"	0	31363	Unreliable
	"South Dakota"	"46"	"Brookings County, SD"	"46011"	"2009"	"2009"	0	31729	Unreliable
	"South Dakota"	"46"	"Brookings County, SD"	"46011"	"2010"	"2010"	0	31965	Unreliable
	"South Dakota"	"46"	"Brookings County, SD"	"46011"	"2011"	"2011"	0	32226	Unreliable
	"South Dakota"	"46"	"Brookings County, SD"	"46011"	"2012"	"2012"	Suppressed	32629	Suppressed
	"South Dakota"	"46"	"Brookings County, SD"	"46011"	"2013"	"2013"	Suppressed	32968	Suppressed
	"South Dakota"	"46"	"Brookings County, SD"	"46011"	"2014"	"2014"	Suppressed	33314	Suppressed
	"South Dakota"	"46"	"Brown County, SD"	"46013"	"2006"	"2006"	0	35561	Unreliable
	"South Dakota"	"46"	"Brown County, SD"	"46013"	"2007"	"2007"	0	35821	Unreliable
	"South Dakota"	"46"	"Brown County, SD"	"46013"	"2008"	"2008"	0	35865	Unreliable
	"South Dakota"	"46"	"Brown County, SD"	"46013"	"2009"	"2009"	0	36181	Unreliable
	"South Dakota"	"46"	"Brown County, SD"	"46013"	"2010"	"2010"	0	36531	Unreliable
	"South Dakota"	"46"	"Brown County, SD"	"46013"	"2011"	"2011"	Suppressed	36822	Suppressed
	"South Dakota"	"46"	"Brown County, SD"	"46013"	"2012"	"2012"	Suppressed	37331	Suppressed
	"South Dakota"	"46"	"Brown County, SD"	"46013"	"2013"	"2013"	Suppressed	37907	Suppressed
	"South Dakota"	"46"	"Brown County, SD"	"46013"	"2014"	"2014"	Suppressed	38408	Suppressed
	"South Dakota"	"46"	"Brule County, SD"	"46015"	"2006"	"2006"	0	4991	Unreliable
	"South Dakota"	"46"	"Brule County, SD"	"46015"	"2007"	"2007"	0	5079	Unreliable
	"South Dakota"	"46"	"Brule County, SD"	"46015"	"2008"	"2008"	0	5112	Unreliable
	"South Dakota"	"46"	"Brule County, SD"	"46015"	"2009"	"2009"	0	5184	Unreliable
	"South Dakota"	"46"	"Brule County, SD"	"46015"	"2010"	"2010"	0	5255	Unreliable
	"South Dakota"	"46"	"Brule County, SD"	"46015"	"2011"	"2011"	Suppressed	5283	Suppressed
	"South Dakota"	"46"	"Brule County, SD"	"46015"	"2012"	"2012"	0	5293	Unreliable
	"South Dakota"	"46"	"Brule County, SD"	"46015"	"2013"	"2013"	Suppressed	5366	Suppressed
	"South Dakota"	"46"	"Brule County, SD"	"46015"	"2014"	"2014"	Suppressed	5309	Suppressed
	"South Dakota"	"46"	"Buffalo County, SD"	"46017"	"2006"	"2006"	0	1973	Unreliable
	"South Dakota"	"46"	"Buffalo County, SD"	"46017"	"2007"	"2007"	0	1937	Unreliable
	"South Dakota"	"46"	"Buffalo County, SD"	"46017"	"2008"	"2008"	Suppressed	1956	Suppressed
	"South Dakota"	"46"	"Buffalo County, SD"	"46017"	"2009"	"2009"	0	1858	Unreliable
	"South Dakota"	"46"	"Buffalo County, SD"	"46017"	"2010"	"2010"	0	1912	Unreliable
	"South Dakota"	"46"	"Buffalo County, SD"	"46017"	"2011"	"2011"	0	1988	Unreliable
	"South Dakota"	"46"	"Buffalo County, SD"	"46017"	"2012"	"2012"	0	2020	Unreliable
	"South Dakota"	"46"	"Buffalo County, SD"	"46017"	"2013"	"2013"	0	2024	Unreliable
	"South Dakota"	"46"	"Buffalo County, SD"	"46017"	"2014"	"2014"	0	2077	Unreliable
	"South Dakota"	"46"	"Butte County, SD"	"46019"	"2006"	"2006"	0	9517	Unreliable
