"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Tennessee"	"47"	"Anderson County, TN"	"47001"	"2006"	"2006"	16	73117	Unreliable
	"Tennessee"	"47"	"Anderson County, TN"	"47001"	"2007"	"2007"	10	73580	Unreliable
	"Tennessee"	"47"	"Anderson County, TN"	"47001"	"2008"	"2008"	16	74397	Unreliable
	"Tennessee"	"47"	"Anderson County, TN"	"47001"	"2009"	"2009"	12	75031	Unreliable
	"Tennessee"	"47"	"Anderson County, TN"	"47001"	"2010"	"2010"	20	75129	26.6
	"Tennessee"	"47"	"Anderson County, TN"	"47001"	"2011"	"2011"	18	75233	Unreliable
	"Tennessee"	"47"	"Anderson County, TN"	"47001"	"2012"	"2012"	19	75416	Unreliable
	"Tennessee"	"47"	"Anderson County, TN"	"47001"	"2013"	"2013"	25	75542	33.1
	"Tennessee"	"47"	"Anderson County, TN"	"47001"	"2014"	"2014"	18	75528	Unreliable
	"Tennessee"	"47"	"Bedford County, TN"	"47003"	"2006"	"2006"	Suppressed	42780	Suppressed
	"Tennessee"	"47"	"Bedford County, TN"	"47003"	"2007"	"2007"	Suppressed	43678	Suppressed
	"Tennessee"	"47"	"Bedford County, TN"	"47003"	"2008"	"2008"	Suppressed	44395	Suppressed
	"Tennessee"	"47"	"Bedford County, TN"	"47003"	"2009"	"2009"	Suppressed	44845	Suppressed
	"Tennessee"	"47"	"Bedford County, TN"	"47003"	"2010"	"2010"	Suppressed	45058	Suppressed
	"Tennessee"	"47"	"Bedford County, TN"	"47003"	"2011"	"2011"	Suppressed	45509	Suppressed
	"Tennessee"	"47"	"Bedford County, TN"	"47003"	"2012"	"2012"	Suppressed	45573	Suppressed
	"Tennessee"	"47"	"Bedford County, TN"	"47003"	"2013"	"2013"	Suppressed	45901	Suppressed
	"Tennessee"	"47"	"Bedford County, TN"	"47003"	"2014"	"2014"	Suppressed	46627	Suppressed
	"Tennessee"	"47"	"Benton County, TN"	"47005"	"2006"	"2006"	Suppressed	16435	Suppressed
	"Tennessee"	"47"	"Benton County, TN"	"47005"	"2007"	"2007"	Suppressed	16490	Suppressed
	"Tennessee"	"47"	"Benton County, TN"	"47005"	"2008"	"2008"	Suppressed	16431	Suppressed
	"Tennessee"	"47"	"Benton County, TN"	"47005"	"2009"	"2009"	Suppressed	16424	Suppressed
	"Tennessee"	"47"	"Benton County, TN"	"47005"	"2010"	"2010"	Suppressed	16489	Suppressed
	"Tennessee"	"47"	"Benton County, TN"	"47005"	"2011"	"2011"	Suppressed	16430	Suppressed
	"Tennessee"	"47"	"Benton County, TN"	"47005"	"2012"	"2012"	Suppressed	16361	Suppressed
	"Tennessee"	"47"	"Benton County, TN"	"47005"	"2013"	"2013"	12	16290	Unreliable
	"Tennessee"	"47"	"Benton County, TN"	"47005"	"2014"	"2014"	Suppressed	16145	Suppressed
	"Tennessee"	"47"	"Bledsoe County, TN"	"47007"	"2006"	"2006"	Suppressed	12847	Suppressed
	"Tennessee"	"47"	"Bledsoe County, TN"	"47007"	"2007"	"2007"	Suppressed	13028	Suppressed
	"Tennessee"	"47"	"Bledsoe County, TN"	"47007"	"2008"	"2008"	Suppressed	13070	Suppressed
	"Tennessee"	"47"	"Bledsoe County, TN"	"47007"	"2009"	"2009"	Suppressed	12924	Suppressed
	"Tennessee"	"47"	"Bledsoe County, TN"	"47007"	"2010"	"2010"	Suppressed	12876	Suppressed
	"Tennessee"	"47"	"Bledsoe County, TN"	"47007"	"2011"	"2011"	Suppressed	12865	Suppressed
	"Tennessee"	"47"	"Bledsoe County, TN"	"47007"	"2012"	"2012"	Suppressed	12792	Suppressed
	"Tennessee"	"47"	"Bledsoe County, TN"	"47007"	"2013"	"2013"	Suppressed	12841	Suppressed
	"Tennessee"	"47"	"Bledsoe County, TN"	"47007"	"2014"	"2014"	Suppressed	13931	Suppressed
	"Tennessee"	"47"	"Blount County, TN"	"47009"	"2006"	"2006"	21	118228	17.8
	"Tennessee"	"47"	"Blount County, TN"	"47009"	"2007"	"2007"	26	119950	21.7
	"Tennessee"	"47"	"Blount County, TN"	"47009"	"2008"	"2008"	20	121716	16.4
	"Tennessee"	"47"	"Blount County, TN"	"47009"	"2009"	"2009"	20	122689	16.3
	"Tennessee"	"47"	"Blount County, TN"	"47009"	"2010"	"2010"	37	123010	30.1
	"Tennessee"	"47"	"Blount County, TN"	"47009"	"2011"	"2011"	24	123901	19.4
	"Tennessee"	"47"	"Blount County, TN"	"47009"	"2012"	"2012"	26	124177	20.9
	"Tennessee"	"47"	"Blount County, TN"	"47009"	"2013"	"2013"	23	125099	18.4
	"Tennessee"	"47"	"Blount County, TN"	"47009"	"2014"	"2014"	21	126339	16.6
	"Tennessee"	"47"	"Bradley County, TN"	"47011"	"2006"	"2006"	11	94638	Unreliable
