"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Utah"	"49"	"Beaver County, UT"	"49001"	"2006"	"2006"	Suppressed	6281	Suppressed
	"Utah"	"49"	"Beaver County, UT"	"49001"	"2007"	"2007"	Suppressed	6266	Suppressed
	"Utah"	"49"	"Beaver County, UT"	"49001"	"2008"	"2008"	0	6413	Unreliable
	"Utah"	"49"	"Beaver County, UT"	"49001"	"2009"	"2009"	Suppressed	6552	Suppressed
	"Utah"	"49"	"Beaver County, UT"	"49001"	"2010"	"2010"	0	6629	Unreliable
	"Utah"	"49"	"Beaver County, UT"	"49001"	"2011"	"2011"	0	6594	Unreliable
	"Utah"	"49"	"Beaver County, UT"	"49001"	"2012"	"2012"	Suppressed	6501	Suppressed
	"Utah"	"49"	"Beaver County, UT"	"49001"	"2013"	"2013"	Suppressed	6459	Suppressed
	"Utah"	"49"	"Beaver County, UT"	"49001"	"2014"	"2014"	Suppressed	6461	Suppressed
	"Utah"	"49"	"Box Elder County, UT"	"49003"	"2006"	"2006"	Suppressed	45948	Suppressed
	"Utah"	"49"	"Box Elder County, UT"	"49003"	"2007"	"2007"	10	47193	Unreliable
	"Utah"	"49"	"Box Elder County, UT"	"49003"	"2008"	"2008"	Suppressed	48437	Suppressed
	"Utah"	"49"	"Box Elder County, UT"	"49003"	"2009"	"2009"	Suppressed	49372	Suppressed
	"Utah"	"49"	"Box Elder County, UT"	"49003"	"2010"	"2010"	Suppressed	49975	Suppressed
	"Utah"	"49"	"Box Elder County, UT"	"49003"	"2011"	"2011"	10	50290	Unreliable
	"Utah"	"49"	"Box Elder County, UT"	"49003"	"2012"	"2012"	Suppressed	50171	Suppressed
	"Utah"	"49"	"Box Elder County, UT"	"49003"	"2013"	"2013"	Suppressed	50794	Suppressed
	"Utah"	"49"	"Box Elder County, UT"	"49003"	"2014"	"2014"	Suppressed	51518	Suppressed
	"Utah"	"49"	"Cache County, UT"	"49005"	"2006"	"2006"	Suppressed	101236	Suppressed
	"Utah"	"49"	"Cache County, UT"	"49005"	"2007"	"2007"	13	103624	Unreliable
	"Utah"	"49"	"Cache County, UT"	"49005"	"2008"	"2008"	12	106824	Unreliable
	"Utah"	"49"	"Cache County, UT"	"49005"	"2009"	"2009"	12	110291	Unreliable
	"Utah"	"49"	"Cache County, UT"	"49005"	"2010"	"2010"	Suppressed	112656	Suppressed
	"Utah"	"49"	"Cache County, UT"	"49005"	"2011"	"2011"	Suppressed	114699	Suppressed
	"Utah"	"49"	"Cache County, UT"	"49005"	"2012"	"2012"	17	115520	Unreliable
	"Utah"	"49"	"Cache County, UT"	"49005"	"2013"	"2013"	17	116909	Unreliable
	"Utah"	"49"	"Cache County, UT"	"49005"	"2014"	"2014"	14	118343	Unreliable
	"Utah"	"49"	"Carbon County, UT"	"49007"	"2006"	"2006"	Suppressed	20072	Suppressed
	"Utah"	"49"	"Carbon County, UT"	"49007"	"2007"	"2007"	10	20554	Unreliable
	"Utah"	"49"	"Carbon County, UT"	"49007"	"2008"	"2008"	Suppressed	20596	Suppressed
	"Utah"	"49"	"Carbon County, UT"	"49007"	"2009"	"2009"	Suppressed	21143	Suppressed
	"Utah"	"49"	"Carbon County, UT"	"49007"	"2010"	"2010"	Suppressed	21403	Suppressed
	"Utah"	"49"	"Carbon County, UT"	"49007"	"2011"	"2011"	15	21318	Unreliable
	"Utah"	"49"	"Carbon County, UT"	"49007"	"2012"	"2012"	Suppressed	21246	Suppressed
	"Utah"	"49"	"Carbon County, UT"	"49007"	"2013"	"2013"	14	20988	Unreliable
	"Utah"	"49"	"Carbon County, UT"	"49007"	"2014"	"2014"	11	20660	Unreliable
	"Utah"	"49"	"Daggett County, UT"	"49009"	"2006"	"2006"	0	984	Unreliable
	"Utah"	"49"	"Daggett County, UT"	"49009"	"2007"	"2007"	Suppressed	974	Suppressed
	"Utah"	"49"	"Daggett County, UT"	"49009"	"2008"	"2008"	0	993	Unreliable
	"Utah"	"49"	"Daggett County, UT"	"49009"	"2009"	"2009"	0	1037	Unreliable
	"Utah"	"49"	"Daggett County, UT"	"49009"	"2010"	"2010"	0	1059	Unreliable
	"Utah"	"49"	"Daggett County, UT"	"49009"	"2011"	"2011"	0	1156	Unreliable
	"Utah"	"49"	"Daggett County, UT"	"49009"	"2012"	"2012"	0	1090	Unreliable
	"Utah"	"49"	"Daggett County, UT"	"49009"	"2013"	"2013"	0	1127	Unreliable
	"Utah"	"49"	"Daggett County, UT"	"49009"	"2014"	"2014"	0	1117	Unreliable
	"Utah"	"49"	"Davis County, UT"	"49011"	"2006"	"2006"	40	278800	14.3
	"Utah"	"49"	"Davis County, UT"	"49011"	"2007"	"2007"	49	288236	17.0
	"Utah"	"49"	"Davis County, UT"	"49011"	"2008"	"2008"	58	295801	19.6
	"Utah"	"49"	"Davis County, UT"	"49011"	"2009"	"2009"	45	301965	14.9
	"Utah"	"49"	"Davis County, UT"	"49011"	"2010"	"2010"	42	306479	13.7
	"Utah"	"49"	"Davis County, UT"	"49011"	"2011"	"2011"	31	311811	9.9
