"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Vermont"	"50"	"Addison County, VT"	"50001"	"2006"	"2006"	Suppressed	36758	Suppressed
	"Vermont"	"50"	"Addison County, VT"	"50001"	"2007"	"2007"	Suppressed	36886	Suppressed
	"Vermont"	"50"	"Addison County, VT"	"50001"	"2008"	"2008"	Suppressed	36905	Suppressed
	"Vermont"	"50"	"Addison County, VT"	"50001"	"2009"	"2009"	Suppressed	36847	Suppressed
	"Vermont"	"50"	"Addison County, VT"	"50001"	"2010"	"2010"	Suppressed	36821	Suppressed
	"Vermont"	"50"	"Addison County, VT"	"50001"	"2011"	"2011"	Suppressed	36742	Suppressed
	"Vermont"	"50"	"Addison County, VT"	"50001"	"2012"	"2012"	Suppressed	36745	Suppressed
	"Vermont"	"50"	"Addison County, VT"	"50001"	"2013"	"2013"	Suppressed	36791	Suppressed
	"Vermont"	"50"	"Addison County, VT"	"50001"	"2014"	"2014"	Suppressed	37009	Suppressed
	"Vermont"	"50"	"Bennington County, VT"	"50003"	"2006"	"2006"	Suppressed	37127	Suppressed
	"Vermont"	"50"	"Bennington County, VT"	"50003"	"2007"	"2007"	Suppressed	37077	Suppressed
	"Vermont"	"50"	"Bennington County, VT"	"50003"	"2008"	"2008"	Suppressed	37168	Suppressed
	"Vermont"	"50"	"Bennington County, VT"	"50003"	"2009"	"2009"	Suppressed	37151	Suppressed
	"Vermont"	"50"	"Bennington County, VT"	"50003"	"2010"	"2010"	Suppressed	37125	Suppressed
	"Vermont"	"50"	"Bennington County, VT"	"50003"	"2011"	"2011"	Suppressed	36970	Suppressed
	"Vermont"	"50"	"Bennington County, VT"	"50003"	"2012"	"2012"	Suppressed	36697	Suppressed
	"Vermont"	"50"	"Bennington County, VT"	"50003"	"2013"	"2013"	Suppressed	36659	Suppressed
	"Vermont"	"50"	"Bennington County, VT"	"50003"	"2014"	"2014"	Suppressed	36445	Suppressed
	"Vermont"	"50"	"Caledonia County, VT"	"50005"	"2006"	"2006"	Suppressed	31252	Suppressed
	"Vermont"	"50"	"Caledonia County, VT"	"50005"	"2007"	"2007"	Suppressed	31238	Suppressed
	"Vermont"	"50"	"Caledonia County, VT"	"50005"	"2008"	"2008"	Suppressed	31167	Suppressed
	"Vermont"	"50"	"Caledonia County, VT"	"50005"	"2009"	"2009"	Suppressed	31213	Suppressed
	"Vermont"	"50"	"Caledonia County, VT"	"50005"	"2010"	"2010"	Suppressed	31227	Suppressed
	"Vermont"	"50"	"Caledonia County, VT"	"50005"	"2011"	"2011"	Suppressed	31166	Suppressed
	"Vermont"	"50"	"Caledonia County, VT"	"50005"	"2012"	"2012"	Suppressed	31121	Suppressed
	"Vermont"	"50"	"Caledonia County, VT"	"50005"	"2013"	"2013"	Suppressed	31157	Suppressed
	"Vermont"	"50"	"Caledonia County, VT"	"50005"	"2014"	"2014"	Suppressed	30981	Suppressed
	"Vermont"	"50"	"Chittenden County, VT"	"50007"	"2006"	"2006"	17	152861	Unreliable
	"Vermont"	"50"	"Chittenden County, VT"	"50007"	"2007"	"2007"	14	153625	Unreliable
	"Vermont"	"50"	"Chittenden County, VT"	"50007"	"2008"	"2008"	11	154659	Unreliable
	"Vermont"	"50"	"Chittenden County, VT"	"50007"	"2009"	"2009"	10	155793	Unreliable
	"Vermont"	"50"	"Chittenden County, VT"	"50007"	"2010"	"2010"	14	156545	Unreliable
	"Vermont"	"50"	"Chittenden County, VT"	"50007"	"2011"	"2011"	21	157491	13.3
	"Vermont"	"50"	"Chittenden County, VT"	"50007"	"2012"	"2012"	19	158504	Unreliable
	"Vermont"	"50"	"Chittenden County, VT"	"50007"	"2013"	"2013"	18	159515	Unreliable
	"Vermont"	"50"	"Chittenden County, VT"	"50007"	"2014"	"2014"	21	160531	13.1
	"Vermont"	"50"	"Essex County, VT"	"50009"	"2006"	"2006"	0	6341	Unreliable
	"Vermont"	"50"	"Essex County, VT"	"50009"	"2007"	"2007"	0	6421	Unreliable
	"Vermont"	"50"	"Essex County, VT"	"50009"	"2008"	"2008"	Suppressed	6404	Suppressed
	"Vermont"	"50"	"Essex County, VT"	"50009"	"2009"	"2009"	Suppressed	6331	Suppressed
	"Vermont"	"50"	"Essex County, VT"	"50009"	"2010"	"2010"	0	6306	Unreliable
	"Vermont"	"50"	"Essex County, VT"	"50009"	"2011"	"2011"	Suppressed	6291	Suppressed
	"Vermont"	"50"	"Essex County, VT"	"50009"	"2012"	"2012"	Suppressed	6226	Suppressed
	"Vermont"	"50"	"Essex County, VT"	"50009"	"2013"	"2013"	Suppressed	6211	Suppressed
	"Vermont"	"50"	"Essex County, VT"	"50009"	"2014"	"2014"	Suppressed	6125	Suppressed
	"Vermont"	"50"	"Franklin County, VT"	"50011"	"2006"	"2006"	Suppressed	47392	Suppressed
	"Vermont"	"50"	"Franklin County, VT"	"50011"	"2007"	"2007"	Suppressed	47455	Suppressed
	"Vermont"	"50"	"Franklin County, VT"	"50011"	"2008"	"2008"	Suppressed	47462	Suppressed
	"Vermont"	"50"	"Franklin County, VT"	"50011"	"2009"	"2009"	Suppressed	47620	Suppressed
	"Vermont"	"50"	"Franklin County, VT"	"50011"	"2010"	"2010"	Suppressed	47746	Suppressed
	"Vermont"	"50"	"Franklin County, VT"	"50011"	"2011"	"2011"	Suppressed	48113	Suppressed
	"Vermont"	"50"	"Franklin County, VT"	"50011"	"2012"	"2012"	Suppressed	48214	Suppressed
	"Vermont"	"50"	"Franklin County, VT"	"50011"	"2013"	"2013"	Suppressed	48294	Suppressed
	"Vermont"	"50"	"Franklin County, VT"	"50011"	"2014"	"2014"	Suppressed	48642	Suppressed
	"Vermont"	"50"	"Grand Isle County, VT"	"50013"	"2006"	"2006"	0	7173	Unreliable
	"Vermont"	"50"	"Grand Isle County, VT"	"50013"	"2007"	"2007"	0	7152	Unreliable
	"Vermont"	"50"	"Grand Isle County, VT"	"50013"	"2008"	"2008"	0	7211	Unreliable
	"Vermont"	"50"	"Grand Isle County, VT"	"50013"	"2009"	"2009"	Suppressed	7022	Suppressed
	"Vermont"	"50"	"Grand Isle County, VT"	"50013"	"2010"	"2010"	Suppressed	6970	Suppressed
	"Vermont"	"50"	"Grand Isle County, VT"	"50013"	"2011"	"2011"	Suppressed	6931	Suppressed
	"Vermont"	"50"	"Grand Isle County, VT"	"50013"	"2012"	"2012"	Suppressed	6983	Suppressed
	"Vermont"	"50"	"Grand Isle County, VT"	"50013"	"2013"	"2013"	0	6987	Unreliable
	"Vermont"	"50"	"Grand Isle County, VT"	"50013"	"2014"	"2014"	Suppressed	6994	Suppressed
	"Vermont"	"50"	"Lamoille County, VT"	"50015"	"2006"	"2006"	Suppressed	23642	Suppressed
	"Vermont"	"50"	"Lamoille County, VT"	"50015"	"2007"	"2007"	Suppressed	23778	Suppressed
	"Vermont"	"50"	"Lamoille County, VT"	"50015"	"2008"	"2008"	Suppressed	23971	Suppressed
	"Vermont"	"50"	"Lamoille County, VT"	"50015"	"2009"	"2009"	Suppressed	24193	Suppressed
	"Vermont"	"50"	"Lamoille County, VT"	"50015"	"2010"	"2010"	Suppressed	24475	Suppressed
	"Vermont"	"50"	"Lamoille County, VT"	"50015"	"2011"	"2011"	Suppressed	24701	Suppressed
	"Vermont"	"50"	"Lamoille County, VT"	"50015"	"2012"	"2012"	Suppressed	24958	Suppressed
	"Vermont"	"50"	"Lamoille County, VT"	"50015"	"2013"	"2013"	Suppressed	25067	Suppressed
	"Vermont"	"50"	"Lamoille County, VT"	"50015"	"2014"	"2014"	Suppressed	25082	Suppressed
	"Vermont"	"50"	"Orange County, VT"	"50017"	"2006"	"2006"	Suppressed	29249	Suppressed
	"Vermont"	"50"	"Orange County, VT"	"50017"	"2007"	"2007"	Suppressed	29119	Suppressed
	"Vermont"	"50"	"Orange County, VT"	"50017"	"2008"	"2008"	Suppressed	29032	Suppressed
	"Vermont"	"50"	"Orange County, VT"	"50017"	"2009"	"2009"	Suppressed	28965	Suppressed
	"Vermont"	"50"	"Orange County, VT"	"50017"	"2010"	"2010"	Suppressed	28936	Suppressed
	"Vermont"	"50"	"Orange County, VT"	"50017"	"2011"	"2011"	Suppressed	29006	Suppressed
	"Vermont"	"50"	"Orange County, VT"	"50017"	"2012"	"2012"	Suppressed	28924	Suppressed
	"Vermont"	"50"	"Orange County, VT"	"50017"	"2013"	"2013"	Suppressed	28915	Suppressed
	"Vermont"	"50"	"Orange County, VT"	"50017"	"2014"	"2014"	Suppressed	28859	Suppressed
	"Vermont"	"50"	"Orleans County, VT"	"50019"	"2006"	"2006"	Suppressed	27215	Suppressed
	"Vermont"	"50"	"Orleans County, VT"	"50019"	"2007"	"2007"	Suppressed	27332	Suppressed
	"Vermont"	"50"	"Orleans County, VT"	"50019"	"2008"	"2008"	Suppressed	27269	Suppressed
	"Vermont"	"50"	"Orleans County, VT"	"50019"	"2009"	"2009"	Suppressed	27234	Suppressed
	"Vermont"	"50"	"Orleans County, VT"	"50019"	"2010"	"2010"	0	27231	Unreliable
	"Vermont"	"50"	"Orleans County, VT"	"50019"	"2011"	"2011"	Suppressed	27173	Suppressed
	"Vermont"	"50"	"Orleans County, VT"	"50019"	"2012"	"2012"	Suppressed	27109	Suppressed
	"Vermont"	"50"	"Orleans County, VT"	"50019"	"2013"	"2013"	Suppressed	27169	Suppressed
	"Vermont"	"50"	"Orleans County, VT"	"50019"	"2014"	"2014"	Suppressed	27082	Suppressed
	"Vermont"	"50"	"Rutland County, VT"	"50021"	"2006"	"2006"	13	62894	Unreliable
	"Vermont"	"50"	"Rutland County, VT"	"50021"	"2007"	"2007"	14	62618	Unreliable
	"Vermont"	"50"	"Rutland County, VT"	"50021"	"2008"	"2008"	Suppressed	62368	Suppressed
	"Vermont"	"50"	"Rutland County, VT"	"50021"	"2009"	"2009"	Suppressed	61946	Suppressed
	"Vermont"	"50"	"Rutland County, VT"	"50021"	"2010"	"2010"	Suppressed	61642	Suppressed
	"Vermont"	"50"	"Rutland County, VT"	"50021"	"2011"	"2011"	12	61289	Unreliable
	"Vermont"	"50"	"Rutland County, VT"	"50021"	"2012"	"2012"	Suppressed	60869	Suppressed
	"Vermont"	"50"	"Rutland County, VT"	"50021"	"2013"	"2013"	16	60622	Unreliable
	"Vermont"	"50"	"Rutland County, VT"	"50021"	"2014"	"2014"	Suppressed	60086	Suppressed
	"Vermont"	"50"	"Washington County, VT"	"50023"	"2006"	"2006"	10	59414	Unreliable
	"Vermont"	"50"	"Washington County, VT"	"50023"	"2007"	"2007"	Suppressed	59275	Suppressed
	"Vermont"	"50"	"Washington County, VT"	"50023"	"2008"	"2008"	Suppressed	59278	Suppressed
	"Vermont"	"50"	"Washington County, VT"	"50023"	"2009"	"2009"	Suppressed	59353	Suppressed
	"Vermont"	"50"	"Washington County, VT"	"50023"	"2010"	"2010"	Suppressed	59534	Suppressed
	"Vermont"	"50"	"Washington County, VT"	"50023"	"2011"	"2011"	Suppressed	59626	Suppressed
	"Vermont"	"50"	"Washington County, VT"	"50023"	"2012"	"2012"	Suppressed	59465	Suppressed
	"Vermont"	"50"	"Washington County, VT"	"50023"	"2013"	"2013"	Suppressed	59319	Suppressed
	"Vermont"	"50"	"Washington County, VT"	"50023"	"2014"	"2014"	Suppressed	58998	Suppressed
	"Vermont"	"50"	"Windham County, VT"	"50025"	"2006"	"2006"	Suppressed	44390	Suppressed
	"Vermont"	"50"	"Windham County, VT"	"50025"	"2007"	"2007"	Suppressed	44444	Suppressed
	"Vermont"	"50"	"Windham County, VT"	"50025"	"2008"	"2008"	12	44407	Unreliable
	"Vermont"	"50"	"Windham County, VT"	"50025"	"2009"	"2009"	Suppressed	44441	Suppressed
	"Vermont"	"50"	"Windham County, VT"	"50025"	"2010"	"2010"	Suppressed	44513	Suppressed
	"Vermont"	"50"	"Windham County, VT"	"50025"	"2011"	"2011"	10	44266	Unreliable
	"Vermont"	"50"	"Windham County, VT"	"50025"	"2012"	"2012"	11	43985	Unreliable
	"Vermont"	"50"	"Windham County, VT"	"50025"	"2013"	"2013"	Suppressed	43857	Suppressed
	"Vermont"	"50"	"Windham County, VT"	"50025"	"2014"	"2014"	Suppressed	43714	Suppressed
	"Vermont"	"50"	"Windsor County, VT"	"50027"	"2006"	"2006"	11	57184	Unreliable
	"Vermont"	"50"	"Windsor County, VT"	"50027"	"2007"	"2007"	Suppressed	57061	Suppressed
	"Vermont"	"50"	"Windsor County, VT"	"50027"	"2008"	"2008"	11	56850	Unreliable
	"Vermont"	"50"	"Windsor County, VT"	"50027"	"2009"	"2009"	Suppressed	56708	Suppressed
	"Vermont"	"50"	"Windsor County, VT"	"50027"	"2010"	"2010"	Suppressed	56670	Suppressed
	"Vermont"	"50"	"Windsor County, VT"	"50027"	"2011"	"2011"	Suppressed	56666	Suppressed
	"Vermont"	"50"	"Windsor County, VT"	"50027"	"2012"	"2012"	Suppressed	56211	Suppressed
	"Vermont"	"50"	"Windsor County, VT"	"50027"	"2013"	"2013"	Suppressed	56067	Suppressed
	"Vermont"	"50"	"Windsor County, VT"	"50027"	"2014"	"2014"	Suppressed	56014	Suppressed
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Drug/Alcohol Induced Causes: Drug poisonings (overdose) Unintentional (X40-X44); Drug poisonings (overdose) Suicide (X60-X64);"
"Drug poisonings (overdose) Homicide (X85); Drug poisonings (overdose) Undetermined (Y10-Y14)"
"States: Vermont (50)"
"Year/Month: 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014"
"Group By: State; County; Year"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: May 1, 2026 7:43:32 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on May 1, 2026 7:43:32 PM"
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable."
"4. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"5. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
