"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Virginia"	"51"	"Accomack County, VA"	"51001"	"2006"	"2006"	Suppressed	35192	Suppressed
	"Virginia"	"51"	"Accomack County, VA"	"51001"	"2007"	"2007"	Suppressed	34553	Suppressed
	"Virginia"	"51"	"Accomack County, VA"	"51001"	"2008"	"2008"	Suppressed	33970	Suppressed
	"Virginia"	"51"	"Accomack County, VA"	"51001"	"2009"	"2009"	Suppressed	33415	Suppressed
	"Virginia"	"51"	"Accomack County, VA"	"51001"	"2010"	"2010"	Suppressed	33164	Suppressed
	"Virginia"	"51"	"Accomack County, VA"	"51001"	"2011"	"2011"	Suppressed	33336	Suppressed
	"Virginia"	"51"	"Accomack County, VA"	"51001"	"2012"	"2012"	Suppressed	33341	Suppressed
	"Virginia"	"51"	"Accomack County, VA"	"51001"	"2013"	"2013"	Suppressed	33148	Suppressed
	"Virginia"	"51"	"Accomack County, VA"	"51001"	"2014"	"2014"	Suppressed	33021	Suppressed
	"Virginia"	"51"	"Albemarle County, VA"	"51003"	"2006"	"2006"	Suppressed	93852	Suppressed
	"Virginia"	"51"	"Albemarle County, VA"	"51003"	"2007"	"2007"	Suppressed	95009	Suppressed
	"Virginia"	"51"	"Albemarle County, VA"	"51003"	"2008"	"2008"	Suppressed	97081	Suppressed
	"Virginia"	"51"	"Albemarle County, VA"	"51003"	"2009"	"2009"	Suppressed	98071	Suppressed
	"Virginia"	"51"	"Albemarle County, VA"	"51003"	"2010"	"2010"	Suppressed	98970	Suppressed
	"Virginia"	"51"	"Albemarle County, VA"	"51003"	"2011"	"2011"	Suppressed	100553	Suppressed
	"Virginia"	"51"	"Albemarle County, VA"	"51003"	"2012"	"2012"	Suppressed	102251	Suppressed
	"Virginia"	"51"	"Albemarle County, VA"	"51003"	"2013"	"2013"	Suppressed	103000	Suppressed
	"Virginia"	"51"	"Albemarle County, VA"	"51003"	"2014"	"2014"	Suppressed	104489	Suppressed
	"Virginia"	"51"	"Alleghany County, VA"	"51005"	"2006"	"2006"	Suppressed	16564	Suppressed
	"Virginia"	"51"	"Alleghany County, VA"	"51005"	"2007"	"2007"	Suppressed	16530	Suppressed
	"Virginia"	"51"	"Alleghany County, VA"	"51005"	"2008"	"2008"	0	16404	Unreliable
	"Virginia"	"51"	"Alleghany County, VA"	"51005"	"2009"	"2009"	Suppressed	16306	Suppressed
	"Virginia"	"51"	"Alleghany County, VA"	"51005"	"2010"	"2010"	Suppressed	16250	Suppressed
	"Virginia"	"51"	"Alleghany County, VA"	"51005"	"2011"	"2011"	0	16175	Unreliable
	"Virginia"	"51"	"Alleghany County, VA"	"51005"	"2012"	"2012"	Suppressed	16230	Suppressed
	"Virginia"	"51"	"Alleghany County, VA"	"51005"	"2013"	"2013"	0	16161	Unreliable
	"Virginia"	"51"	"Alleghany County, VA"	"51005"	"2014"	"2014"	Suppressed	15820	Suppressed
	"Virginia"	"51"	"Amelia County, VA"	"51007"	"2006"	"2006"	0	12250	Unreliable
	"Virginia"	"51"	"Amelia County, VA"	"51007"	"2007"	"2007"	0	12447	Unreliable
	"Virginia"	"51"	"Amelia County, VA"	"51007"	"2008"	"2008"	0	12563	Unreliable
