"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Washington"	"53"	"Adams County, WA"	"53001"	"2006"	"2006"	0	16997	Unreliable
	"Washington"	"53"	"Adams County, WA"	"53001"	"2007"	"2007"	0	17413	Unreliable
	"Washington"	"53"	"Adams County, WA"	"53001"	"2008"	"2008"	0	17782	Unreliable
	"Washington"	"53"	"Adams County, WA"	"53001"	"2009"	"2009"	0	18405	Unreliable
	"Washington"	"53"	"Adams County, WA"	"53001"	"2010"	"2010"	Suppressed	18728	Suppressed
	"Washington"	"53"	"Adams County, WA"	"53001"	"2011"	"2011"	Suppressed	19027	Suppressed
	"Washington"	"53"	"Adams County, WA"	"53001"	"2012"	"2012"	Suppressed	19005	Suppressed
	"Washington"	"53"	"Adams County, WA"	"53001"	"2013"	"2013"	0	19067	Unreliable
	"Washington"	"53"	"Adams County, WA"	"53001"	"2014"	"2014"	Suppressed	19179	Suppressed
	"Washington"	"53"	"Asotin County, WA"	"53003"	"2006"	"2006"	Suppressed	21133	Suppressed
	"Washington"	"53"	"Asotin County, WA"	"53003"	"2007"	"2007"	Suppressed	21188	Suppressed
	"Washington"	"53"	"Asotin County, WA"	"53003"	"2008"	"2008"	Suppressed	21393	Suppressed
	"Washington"	"53"	"Asotin County, WA"	"53003"	"2009"	"2009"	Suppressed	21415	Suppressed
	"Washington"	"53"	"Asotin County, WA"	"53003"	"2010"	"2010"	Suppressed	21623	Suppressed
	"Washington"	"53"	"Asotin County, WA"	"53003"	"2011"	"2011"	Suppressed	21933	Suppressed
	"Washington"	"53"	"Asotin County, WA"	"53003"	"2012"	"2012"	Suppressed	21888	Suppressed
	"Washington"	"53"	"Asotin County, WA"	"53003"	"2013"	"2013"	Suppressed	22110	Suppressed
	"Washington"	"53"	"Asotin County, WA"	"53003"	"2014"	"2014"	Suppressed	22189	Suppressed
	"Washington"	"53"	"Benton County, WA"	"53005"	"2006"	"2006"	22	159564	13.8
	"Washington"	"53"	"Benton County, WA"	"53005"	"2007"	"2007"	21	161669	13.0
	"Washington"	"53"	"Benton County, WA"	"53005"	"2008"	"2008"	12	166573	Unreliable
	"Washington"	"53"	"Benton County, WA"	"53005"	"2009"	"2009"	23	171122	13.4
	"Washington"	"53"	"Benton County, WA"	"53005"	"2010"	"2010"	13	175177	Unreliable
	"Washington"	"53"	"Benton County, WA"	"53005"	"2011"	"2011"	19	180678	Unreliable
	"Washington"	"53"	"Benton County, WA"	"53005"	"2012"	"2012"	21	182398	11.5
	"Washington"	"53"	"Benton County, WA"	"53005"	"2013"	"2013"	19	184486	Unreliable
	"Washington"	"53"	"Benton County, WA"	"53005"	"2014"	"2014"	22	186486	11.8
	"Washington"	"53"	"Chelan County, WA"	"53007"	"2006"	"2006"	13	69536	Unreliable
	"Washington"	"53"	"Chelan County, WA"	"53007"	"2007"	"2007"	Suppressed	70214	Suppressed
	"Washington"	"53"	"Chelan County, WA"	"53007"	"2008"	"2008"	13	70813	Unreliable
	"Washington"	"53"	"Chelan County, WA"	"53007"	"2009"	"2009"	10	71679	Unreliable
	"Washington"	"53"	"Chelan County, WA"	"53007"	"2010"	"2010"	12	72453	Unreliable
	"Washington"	"53"	"Chelan County, WA"	"53007"	"2011"	"2011"	15	73477	Unreliable
	"Washington"	"53"	"Chelan County, WA"	"53007"	"2012"	"2012"	12	73687	Unreliable
	"Washington"	"53"	"Chelan County, WA"	"53007"	"2013"	"2013"	11	73967	Unreliable
	"Washington"	"53"	"Chelan County, WA"	"53007"	"2014"	"2014"	Suppressed	74588	Suppressed
	"Washington"	"53"	"Clallam County, WA"	"53009"	"2006"	"2006"	22	69642	31.6
	"Washington"	"53"	"Clallam County, WA"	"53009"	"2007"	"2007"	26	70186	37.0
	"Washington"	"53"	"Clallam County, WA"	"53009"	"2008"	"2008"	22	70769	31.1
	"Washington"	"53"	"Clallam County, WA"	"53009"	"2009"	"2009"	16	71077	Unreliable
