"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"West Virginia"	"54"	"Barbour County, WV"	"54001"	"2006"	"2006"	0	15922	Unreliable
	"West Virginia"	"54"	"Barbour County, WV"	"54001"	"2007"	"2007"	Suppressed	16036	Suppressed
	"West Virginia"	"54"	"Barbour County, WV"	"54001"	"2008"	"2008"	Suppressed	16241	Suppressed
	"West Virginia"	"54"	"Barbour County, WV"	"54001"	"2009"	"2009"	0	16479	Unreliable
	"West Virginia"	"54"	"Barbour County, WV"	"54001"	"2010"	"2010"	Suppressed	16589	Suppressed
	"West Virginia"	"54"	"Barbour County, WV"	"54001"	"2011"	"2011"	0	16520	Unreliable
	"West Virginia"	"54"	"Barbour County, WV"	"54001"	"2012"	"2012"	Suppressed	16493	Suppressed
	"West Virginia"	"54"	"Barbour County, WV"	"54001"	"2013"	"2013"	Suppressed	16770	Suppressed
	"West Virginia"	"54"	"Barbour County, WV"	"54001"	"2014"	"2014"	Suppressed	16766	Suppressed
	"West Virginia"	"54"	"Berkeley County, WV"	"54003"	"2006"	"2006"	12	96318	Unreliable
	"West Virginia"	"54"	"Berkeley County, WV"	"54003"	"2007"	"2007"	16	99132	Unreliable
	"West Virginia"	"54"	"Berkeley County, WV"	"54003"	"2008"	"2008"	22	101629	21.6
	"West Virginia"	"54"	"Berkeley County, WV"	"54003"	"2009"	"2009"	16	102830	Unreliable
	"West Virginia"	"54"	"Berkeley County, WV"	"54003"	"2010"	"2010"	20	104169	19.2
	"West Virginia"	"54"	"Berkeley County, WV"	"54003"	"2011"	"2011"	28	105750	26.5
	"West Virginia"	"54"	"Berkeley County, WV"	"54003"	"2012"	"2012"	33	107098	30.8
	"West Virginia"	"54"	"Berkeley County, WV"	"54003"	"2013"	"2013"	44	108706	40.5
	"West Virginia"	"54"	"Berkeley County, WV"	"54003"	"2014"	"2014"	46	110497	41.6
	"West Virginia"	"54"	"Boone County, WV"	"54005"	"2006"	"2006"	Suppressed	25101	Suppressed
	"West Virginia"	"54"	"Boone County, WV"	"54005"	"2007"	"2007"	Suppressed	25115	Suppressed
	"West Virginia"	"54"	"Boone County, WV"	"54005"	"2008"	"2008"	11	24794	Unreliable
	"West Virginia"	"54"	"Boone County, WV"	"54005"	"2009"	"2009"	Suppressed	24766	Suppressed
	"West Virginia"	"54"	"Boone County, WV"	"54005"	"2010"	"2010"	17	24629	Unreliable
	"West Virginia"	"54"	"Boone County, WV"	"54005"	"2011"	"2011"	27	24444	110.5
	"West Virginia"	"54"	"Boone County, WV"	"54005"	"2012"	"2012"	17	24478	Unreliable
	"West Virginia"	"54"	"Boone County, WV"	"54005"	"2013"	"2013"	19	24224	Unreliable
	"West Virginia"	"54"	"Boone County, WV"	"54005"	"2014"	"2014"	23	23714	97.0
	"West Virginia"	"54"	"Braxton County, WV"	"54007"	"2006"	"2006"	Suppressed	14585	Suppressed
	"West Virginia"	"54"	"Braxton County, WV"	"54007"	"2007"	"2007"	0	14585	Unreliable
	"West Virginia"	"54"	"Braxton County, WV"	"54007"	"2008"	"2008"	Suppressed	14587	Suppressed
	"West Virginia"	"54"	"Braxton County, WV"	"54007"	"2009"	"2009"	Suppressed	14512	Suppressed
	"West Virginia"	"54"	"Braxton County, WV"	"54007"	"2010"	"2010"	Suppressed	14523	Suppressed
	"West Virginia"	"54"	"Braxton County, WV"	"54007"	"2011"	"2011"	Suppressed	14485	Suppressed
	"West Virginia"	"54"	"Braxton County, WV"	"54007"	"2012"	"2012"	Suppressed	14468	Suppressed
	"West Virginia"	"54"	"Braxton County, WV"	"54007"	"2013"	"2013"	Suppressed	14502	Suppressed
	"West Virginia"	"54"	"Braxton County, WV"	"54007"	"2014"	"2014"	Suppressed	14463	Suppressed
	"West Virginia"	"54"	"Brooke County, WV"	"54009"	"2006"	"2006"	Suppressed	24399	Suppressed
	"West Virginia"	"54"	"Brooke County, WV"	"54009"	"2007"	"2007"	Suppressed	24235	Suppressed
	"West Virginia"	"54"	"Brooke County, WV"	"54009"	"2008"	"2008"	Suppressed	24168	Suppressed
	"West Virginia"	"54"	"Brooke County, WV"	"54009"	"2009"	"2009"	Suppressed	24153	Suppressed
	"West Virginia"	"54"	"Brooke County, WV"	"54009"	"2010"	"2010"	Suppressed	24069	Suppressed
	"West Virginia"	"54"	"Brooke County, WV"	"54009"	"2011"	"2011"	14	23844	Unreliable
	"West Virginia"	"54"	"Brooke County, WV"	"54009"	"2012"	"2012"	Suppressed	23853	Suppressed
	"West Virginia"	"54"	"Brooke County, WV"	"54009"	"2013"	"2013"	Suppressed	23737	Suppressed
	"West Virginia"	"54"	"Brooke County, WV"	"54009"	"2014"	"2014"	10	23530	Unreliable
	"West Virginia"	"54"	"Cabell County, WV"	"54011"	"2006"	"2006"	28	94943	29.5
	"West Virginia"	"54"	"Cabell County, WV"	"54011"	"2007"	"2007"	40	95059	42.1
	"West Virginia"	"54"	"Cabell County, WV"	"54011"	"2008"	"2008"	30	95209	31.5
	"West Virginia"	"54"	"Cabell County, WV"	"54011"	"2009"	"2009"	Suppressed	96040	Suppressed
	"West Virginia"	"54"	"Cabell County, WV"	"54011"	"2010"	"2010"	29	96319	30.1
	"West Virginia"	"54"	"Cabell County, WV"	"54011"	"2011"	"2011"	41	96653	42.4
	"West Virginia"	"54"	"Cabell County, WV"	"54011"	"2012"	"2012"	27	96974	27.8
	"West Virginia"	"54"	"Cabell County, WV"	"54011"	"2013"	"2013"	48	97133	49.4
	"West Virginia"	"54"	"Cabell County, WV"	"54011"	"2014"	"2014"	50	97109	51.5
	"West Virginia"	"54"	"Calhoun County, WV"	"54013"	"2006"	"2006"	0	7531	Unreliable
	"West Virginia"	"54"	"Calhoun County, WV"	"54013"	"2007"	"2007"	0	7588	Unreliable
	"West Virginia"	"54"	"Calhoun County, WV"	"54013"	"2008"	"2008"	0	7621	Unreliable
	"West Virginia"	"54"	"Calhoun County, WV"	"54013"	"2009"	"2009"	Suppressed	7560	Suppressed
	"West Virginia"	"54"	"Calhoun County, WV"	"54013"	"2010"	"2010"	0	7627	Unreliable
	"West Virginia"	"54"	"Calhoun County, WV"	"54013"	"2011"	"2011"	Suppressed	7652	Suppressed
	"West Virginia"	"54"	"Calhoun County, WV"	"54013"	"2012"	"2012"	Suppressed	7607	Suppressed
	"West Virginia"	"54"	"Calhoun County, WV"	"54013"	"2013"	"2013"	Suppressed	7564	Suppressed
	"West Virginia"	"54"	"Calhoun County, WV"	"54013"	"2014"	"2014"	Suppressed	7513	Suppressed
	"West Virginia"	"54"	"Clay County, WV"	"54015"	"2006"	"2006"	0	9695	Unreliable
	"West Virginia"	"54"	"Clay County, WV"	"54015"	"2007"	"2007"	Suppressed	9696	Suppressed
	"West Virginia"	"54"	"Clay County, WV"	"54015"	"2008"	"2008"	Suppressed	9603	Suppressed
	"West Virginia"	"54"	"Clay County, WV"	"54015"	"2009"	"2009"	Suppressed	9505	Suppressed
	"West Virginia"	"54"	"Clay County, WV"	"54015"	"2010"	"2010"	Suppressed	9386	Suppressed
	"West Virginia"	"54"	"Clay County, WV"	"54015"	"2011"	"2011"	Suppressed	9357	Suppressed
	"West Virginia"	"54"	"Clay County, WV"	"54015"	"2012"	"2012"	Suppressed	9297	Suppressed
	"West Virginia"	"54"	"Clay County, WV"	"54015"	"2013"	"2013"	Suppressed	9244	Suppressed
	"West Virginia"	"54"	"Clay County, WV"	"54015"	"2014"	"2014"	Suppressed	8941	Suppressed
	"West Virginia"	"54"	"Doddridge County, WV"	"54017"	"2006"	"2006"	Suppressed	7848	Suppressed
	"West Virginia"	"54"	"Doddridge County, WV"	"54017"	"2007"	"2007"	Suppressed	7970	Suppressed
	"West Virginia"	"54"	"Doddridge County, WV"	"54017"	"2008"	"2008"	Suppressed	8034	Suppressed
	"West Virginia"	"54"	"Doddridge County, WV"	"54017"	"2009"	"2009"	0	8124	Unreliable
	"West Virginia"	"54"	"Doddridge County, WV"	"54017"	"2010"	"2010"	Suppressed	8202	Suppressed
	"West Virginia"	"54"	"Doddridge County, WV"	"54017"	"2011"	"2011"	Suppressed	8171	Suppressed
	"West Virginia"	"54"	"Doddridge County, WV"	"54017"	"2012"	"2012"	Suppressed	8178	Suppressed
	"West Virginia"	"54"	"Doddridge County, WV"	"54017"	"2013"	"2013"	0	8344	Unreliable
	"West Virginia"	"54"	"Doddridge County, WV"	"54017"	"2014"	"2014"	Suppressed	8391	Suppressed
	"West Virginia"	"54"	"Fayette County, WV"	"54019"	"2006"	"2006"	10	46200	Unreliable
	"West Virginia"	"54"	"Fayette County, WV"	"54019"	"2007"	"2007"	16	46243	Unreliable
	"West Virginia"	"54"	"Fayette County, WV"	"54019"	"2008"	"2008"	13	46171	Unreliable
	"West Virginia"	"54"	"Fayette County, WV"	"54019"	"2009"	"2009"	Suppressed	46034	Suppressed
	"West Virginia"	"54"	"Fayette County, WV"	"54019"	"2010"	"2010"	15	46039	Unreliable
	"West Virginia"	"54"	"Fayette County, WV"	"54019"	"2011"	"2011"	20	45699	43.8
	"West Virginia"	"54"	"Fayette County, WV"	"54019"	"2012"	"2012"	21	45869	45.8
	"West Virginia"	"54"	"Fayette County, WV"	"54019"	"2013"	"2013"	24	45599	52.6
	"West Virginia"	"54"	"Fayette County, WV"	"54019"	"2014"	"2014"	17	45132	Unreliable
	"West Virginia"	"54"	"Gilmer County, WV"	"54021"	"2006"	"2006"	Suppressed	8083	Suppressed
	"West Virginia"	"54"	"Gilmer County, WV"	"54021"	"2007"	"2007"	0	8248	Unreliable
	"West Virginia"	"54"	"Gilmer County, WV"	"54021"	"2008"	"2008"	Suppressed	8408	Suppressed
	"West Virginia"	"54"	"Gilmer County, WV"	"54021"	"2009"	"2009"	Suppressed	8529	Suppressed
	"West Virginia"	"54"	"Gilmer County, WV"	"54021"	"2010"	"2010"	0	8693	Unreliable
	"West Virginia"	"54"	"Gilmer County, WV"	"54021"	"2011"	"2011"	0	8705	Unreliable
	"West Virginia"	"54"	"Gilmer County, WV"	"54021"	"2012"	"2012"	Suppressed	8732	Suppressed
	"West Virginia"	"54"	"Gilmer County, WV"	"54021"	"2013"	"2013"	0	8672	Unreliable
	"West Virginia"	"54"	"Gilmer County, WV"	"54021"	"2014"	"2014"	0	8618	Unreliable
	"West Virginia"	"54"	"Grant County, WV"	"54023"	"2006"	"2006"	Suppressed	11834	Suppressed
	"West Virginia"	"54"	"Grant County, WV"	"54023"	"2007"	"2007"	Suppressed	11969	Suppressed
	"West Virginia"	"54"	"Grant County, WV"	"54023"	"2008"	"2008"	0	12022	Unreliable
	"West Virginia"	"54"	"Grant County, WV"	"54023"	"2009"	"2009"	Suppressed	11963	Suppressed
	"West Virginia"	"54"	"Grant County, WV"	"54023"	"2010"	"2010"	0	11937	Unreliable
	"West Virginia"	"54"	"Grant County, WV"	"54023"	"2011"	"2011"	Suppressed	11891	Suppressed
	"West Virginia"	"54"	"Grant County, WV"	"54023"	"2012"	"2012"	Suppressed	11816	Suppressed
	"West Virginia"	"54"	"Grant County, WV"	"54023"	"2013"	"2013"	0	11759	Unreliable
	"West Virginia"	"54"	"Grant County, WV"	"54023"	"2014"	"2014"	0	11687	Unreliable
	"West Virginia"	"54"	"Greenbrier County, WV"	"54025"	"2006"	"2006"	Suppressed	35196	Suppressed
	"West Virginia"	"54"	"Greenbrier County, WV"	"54025"	"2007"	"2007"	Suppressed	35354	Suppressed
	"West Virginia"	"54"	"Greenbrier County, WV"	"54025"	"2008"	"2008"	Suppressed	35457	Suppressed
	"West Virginia"	"54"	"Greenbrier County, WV"	"54025"	"2009"	"2009"	Suppressed	35351	Suppressed
	"West Virginia"	"54"	"Greenbrier County, WV"	"54025"	"2010"	"2010"	11	35480	Unreliable
	"West Virginia"	"54"	"Greenbrier County, WV"	"54025"	"2011"	"2011"	12	35800	Unreliable
	"West Virginia"	"54"	"Greenbrier County, WV"	"54025"	"2012"	"2012"	10	35820	Unreliable
	"West Virginia"	"54"	"Greenbrier County, WV"	"54025"	"2013"	"2013"	Suppressed	35644	Suppressed
	"West Virginia"	"54"	"Greenbrier County, WV"	"54025"	"2014"	"2014"	12	35450	Unreliable
	"West Virginia"	"54"	"Hampshire County, WV"	"54027"	"2006"	"2006"	Suppressed	23016	Suppressed
	"West Virginia"	"54"	"Hampshire County, WV"	"54027"	"2007"	"2007"	Suppressed	23492	Suppressed
	"West Virginia"	"54"	"Hampshire County, WV"	"54027"	"2008"	"2008"	Suppressed	23664	Suppressed
	"West Virginia"	"54"	"Hampshire County, WV"	"54027"	"2009"	"2009"	Suppressed	23820	Suppressed
	"West Virginia"	"54"	"Hampshire County, WV"	"54027"	"2010"	"2010"	Suppressed	23964	Suppressed
	"West Virginia"	"54"	"Hampshire County, WV"	"54027"	"2011"	"2011"	Suppressed	23812	Suppressed
	"West Virginia"	"54"	"Hampshire County, WV"	"54027"	"2012"	"2012"	Suppressed	23709	Suppressed
	"West Virginia"	"54"	"Hampshire County, WV"	"54027"	"2013"	"2013"	Suppressed	23445	Suppressed
	"West Virginia"	"54"	"Hampshire County, WV"	"54027"	"2014"	"2014"	Suppressed	23483	Suppressed
	"West Virginia"	"54"	"Hancock County, WV"	"54029"	"2006"	"2006"	10	31266	Unreliable
	"West Virginia"	"54"	"Hancock County, WV"	"54029"	"2007"	"2007"	11	30887	Unreliable
	"West Virginia"	"54"	"Hancock County, WV"	"54029"	"2008"	"2008"	10	30802	Unreliable
	"West Virginia"	"54"	"Hancock County, WV"	"54029"	"2009"	"2009"	Suppressed	30748	Suppressed
	"West Virginia"	"54"	"Hancock County, WV"	"54029"	"2010"	"2010"	11	30676	Unreliable
	"West Virginia"	"54"	"Hancock County, WV"	"54029"	"2011"	"2011"	Suppressed	30571	Suppressed
	"West Virginia"	"54"	"Hancock County, WV"	"54029"	"2012"	"2012"	11	30305	Unreliable
	"West Virginia"	"54"	"Hancock County, WV"	"54029"	"2013"	"2013"	15	30291	Unreliable
	"West Virginia"	"54"	"Hancock County, WV"	"54029"	"2014"	"2014"	18	30112	Unreliable
