"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Wisconsin"	"55"	"Adams County, WI"	"55001"	"2006"	"2006"	Suppressed	21185	Suppressed
	"Wisconsin"	"55"	"Adams County, WI"	"55001"	"2007"	"2007"	Suppressed	21156	Suppressed
	"Wisconsin"	"55"	"Adams County, WI"	"55001"	"2008"	"2008"	Suppressed	21101	Suppressed
	"Wisconsin"	"55"	"Adams County, WI"	"55001"	"2009"	"2009"	Suppressed	20930	Suppressed
	"Wisconsin"	"55"	"Adams County, WI"	"55001"	"2010"	"2010"	Suppressed	20875	Suppressed
	"Wisconsin"	"55"	"Adams County, WI"	"55001"	"2011"	"2011"	Suppressed	20733	Suppressed
	"Wisconsin"	"55"	"Adams County, WI"	"55001"	"2012"	"2012"	Suppressed	20679	Suppressed
	"Wisconsin"	"55"	"Adams County, WI"	"55001"	"2013"	"2013"	Suppressed	20480	Suppressed
	"Wisconsin"	"55"	"Adams County, WI"	"55001"	"2014"	"2014"	Suppressed	20215	Suppressed
	"Wisconsin"	"55"	"Ashland County, WI"	"55003"	"2006"	"2006"	Suppressed	16408	Suppressed
	"Wisconsin"	"55"	"Ashland County, WI"	"55003"	"2007"	"2007"	Suppressed	16199	Suppressed
	"Wisconsin"	"55"	"Ashland County, WI"	"55003"	"2008"	"2008"	0	16145	Unreliable
	"Wisconsin"	"55"	"Ashland County, WI"	"55003"	"2009"	"2009"	Suppressed	16128	Suppressed
	"Wisconsin"	"55"	"Ashland County, WI"	"55003"	"2010"	"2010"	0	16157	Unreliable
	"Wisconsin"	"55"	"Ashland County, WI"	"55003"	"2011"	"2011"	Suppressed	16142	Suppressed
	"Wisconsin"	"55"	"Ashland County, WI"	"55003"	"2012"	"2012"	0	15992	Unreliable
	"Wisconsin"	"55"	"Ashland County, WI"	"55003"	"2013"	"2013"	Suppressed	16016	Suppressed
	"Wisconsin"	"55"	"Ashland County, WI"	"55003"	"2014"	"2014"	Suppressed	16103	Suppressed
	"Wisconsin"	"55"	"Barron County, WI"	"55005"	"2006"	"2006"	0	45968	Unreliable
	"Wisconsin"	"55"	"Barron County, WI"	"55005"	"2007"	"2007"	Suppressed	45874	Suppressed
	"Wisconsin"	"55"	"Barron County, WI"	"55005"	"2008"	"2008"	Suppressed	46009	Suppressed
	"Wisconsin"	"55"	"Barron County, WI"	"55005"	"2009"	"2009"	Suppressed	45876	Suppressed
	"Wisconsin"	"55"	"Barron County, WI"	"55005"	"2010"	"2010"	Suppressed	45870	Suppressed
	"Wisconsin"	"55"	"Barron County, WI"	"55005"	"2011"	"2011"	Suppressed	45883	Suppressed
	"Wisconsin"	"55"	"Barron County, WI"	"55005"	"2012"	"2012"	Suppressed	45733	Suppressed
	"Wisconsin"	"55"	"Barron County, WI"	"55005"	"2013"	"2013"	Suppressed	45676	Suppressed
	"Wisconsin"	"55"	"Barron County, WI"	"55005"	"2014"	"2014"	Suppressed	45455	Suppressed
	"Wisconsin"	"55"	"Bayfield County, WI"	"55007"	"2006"	"2006"	0	15172	Unreliable
	"Wisconsin"	"55"	"Bayfield County, WI"	"55007"	"2007"	"2007"	0	15255	Unreliable
	"Wisconsin"	"55"	"Bayfield County, WI"	"55007"	"2008"	"2008"	Suppressed	15160	Suppressed
	"Wisconsin"	"55"	"Bayfield County, WI"	"55007"	"2009"	"2009"	Suppressed	14981	Suppressed
	"Wisconsin"	"55"	"Bayfield County, WI"	"55007"	"2010"	"2010"	0	15014	Unreliable
	"Wisconsin"	"55"	"Bayfield County, WI"	"55007"	"2011"	"2011"	Suppressed	15099	Suppressed
	"Wisconsin"	"55"	"Bayfield County, WI"	"55007"	"2012"	"2012"	0	15099	Unreliable
	"Wisconsin"	"55"	"Bayfield County, WI"	"55007"	"2013"	"2013"	Suppressed	15156	Suppressed
	"Wisconsin"	"55"	"Bayfield County, WI"	"55007"	"2014"	"2014"	Suppressed	14985	Suppressed
	"Wisconsin"	"55"	"Brown County, WI"	"55009"	"2006"	"2006"	21	240191	8.7
	"Wisconsin"	"55"	"Brown County, WI"	"55009"	"2007"	"2007"	22	242691	9.1
	"Wisconsin"	"55"	"Brown County, WI"	"55009"	"2008"	"2008"	21	244016	8.6
	"Wisconsin"	"55"	"Brown County, WI"	"55009"	"2009"	"2009"	25	246476	10.1
	"Wisconsin"	"55"	"Brown County, WI"	"55009"	"2010"	"2010"	16	248007	Unreliable
	"Wisconsin"	"55"	"Brown County, WI"	"55009"	"2011"	"2011"	28	251412	11.1
	"Wisconsin"	"55"	"Brown County, WI"	"55009"	"2012"	"2012"	27	253032	10.7
	"Wisconsin"	"55"	"Brown County, WI"	"55009"	"2013"	"2013"	29	254586	11.4
	"Wisconsin"	"55"	"Brown County, WI"	"55009"	"2014"	"2014"	27	256670	10.5
	"Wisconsin"	"55"	"Buffalo County, WI"	"55011"	"2006"	"2006"	Suppressed	13908	Suppressed
