"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Wyoming"	"56"	"Albany County, WY"	"56001"	"2006"	"2006"	Suppressed	33950	Suppressed
	"Wyoming"	"56"	"Albany County, WY"	"56001"	"2007"	"2007"	Suppressed	33858	Suppressed
	"Wyoming"	"56"	"Albany County, WY"	"56001"	"2008"	"2008"	Suppressed	34643	Suppressed
	"Wyoming"	"56"	"Albany County, WY"	"56001"	"2009"	"2009"	Suppressed	35743	Suppressed
	"Wyoming"	"56"	"Albany County, WY"	"56001"	"2010"	"2010"	Suppressed	36299	Suppressed
	"Wyoming"	"56"	"Albany County, WY"	"56001"	"2011"	"2011"	Suppressed	36889	Suppressed
	"Wyoming"	"56"	"Albany County, WY"	"56001"	"2012"	"2012"	Suppressed	37276	Suppressed
	"Wyoming"	"56"	"Albany County, WY"	"56001"	"2013"	"2013"	Suppressed	37422	Suppressed
	"Wyoming"	"56"	"Albany County, WY"	"56001"	"2014"	"2014"	Suppressed	37811	Suppressed
	"Wyoming"	"56"	"Big Horn County, WY"	"56003"	"2006"	"2006"	Suppressed	11222	Suppressed
	"Wyoming"	"56"	"Big Horn County, WY"	"56003"	"2007"	"2007"	Suppressed	11350	Suppressed
	"Wyoming"	"56"	"Big Horn County, WY"	"56003"	"2008"	"2008"	Suppressed	11419	Suppressed
	"Wyoming"	"56"	"Big Horn County, WY"	"56003"	"2009"	"2009"	Suppressed	11541	Suppressed
	"Wyoming"	"56"	"Big Horn County, WY"	"56003"	"2010"	"2010"	Suppressed	11668	Suppressed
	"Wyoming"	"56"	"Big Horn County, WY"	"56003"	"2011"	"2011"	Suppressed	11759	Suppressed
	"Wyoming"	"56"	"Big Horn County, WY"	"56003"	"2012"	"2012"	Suppressed	11794	Suppressed
	"Wyoming"	"56"	"Big Horn County, WY"	"56003"	"2013"	"2013"	Suppressed	11994	Suppressed
	"Wyoming"	"56"	"Big Horn County, WY"	"56003"	"2014"	"2014"	0	11930	Unreliable
	"Wyoming"	"56"	"Campbell County, WY"	"56005"	"2006"	"2006"	Suppressed	39497	Suppressed
	"Wyoming"	"56"	"Campbell County, WY"	"56005"	"2007"	"2007"	Suppressed	41651	Suppressed
	"Wyoming"	"56"	"Campbell County, WY"	"56005"	"2008"	"2008"	Suppressed	42846	Suppressed
	"Wyoming"	"56"	"Campbell County, WY"	"56005"	"2009"	"2009"	Suppressed	45650	Suppressed
	"Wyoming"	"56"	"Campbell County, WY"	"56005"	"2010"	"2010"	Suppressed	46133	Suppressed
	"Wyoming"	"56"	"Campbell County, WY"	"56005"	"2011"	"2011"	Suppressed	46618	Suppressed
	"Wyoming"	"56"	"Campbell County, WY"	"56005"	"2012"	"2012"	Suppressed	47874	Suppressed
	"Wyoming"	"56"	"Campbell County, WY"	"56005"	"2013"	"2013"	Suppressed	48176	Suppressed
	"Wyoming"	"56"	"Campbell County, WY"	"56005"	"2014"	"2014"	10	48320	Unreliable
	"Wyoming"	"56"	"Carbon County, WY"	"56007"	"2006"	"2006"	Suppressed	15136	Suppressed
	"Wyoming"	"56"	"Carbon County, WY"	"56007"	"2007"	"2007"	Suppressed	15494	Suppressed
	"Wyoming"	"56"	"Carbon County, WY"	"56007"	"2008"	"2008"	Suppressed	15658	Suppressed
	"Wyoming"	"56"	"Carbon County, WY"	"56007"	"2009"	"2009"	Suppressed	15977	Suppressed
	"Wyoming"	"56"	"Carbon County, WY"	"56007"	"2010"	"2010"	Suppressed	15885	Suppressed
	"Wyoming"	"56"	"Carbon County, WY"	"56007"	"2011"	"2011"	Suppressed	15786	Suppressed
	"Wyoming"	"56"	"Carbon County, WY"	"56007"	"2012"	"2012"	Suppressed	15666	Suppressed
	"Wyoming"	"56"	"Carbon County, WY"	"56007"	"2013"	"2013"	Suppressed	15748	Suppressed
	"Wyoming"	"56"	"Carbon County, WY"	"56007"	"2014"	"2014"	Suppressed	15854	Suppressed
	"Wyoming"	"56"	"Converse County, WY"	"56009"	"2006"	"2006"	Suppressed	12801	Suppressed
	"Wyoming"	"56"	"Converse County, WY"	"56009"	"2007"	"2007"	Suppressed	13071	Suppressed
	"Wyoming"	"56"	"Converse County, WY"	"56009"	"2008"	"2008"	Suppressed	13486	Suppressed
	"Wyoming"	"56"	"Converse County, WY"	"56009"	"2009"	"2009"	0	13839	Unreliable
	"Wyoming"	"56"	"Converse County, WY"	"56009"	"2010"	"2010"	Suppressed	13833	Suppressed
	"Wyoming"	"56"	"Converse County, WY"	"56009"	"2011"	"2011"	Suppressed	13755	Suppressed
	"Wyoming"	"56"	"Converse County, WY"	"56009"	"2012"	"2012"	0	14008	Unreliable
	"Wyoming"	"56"	"Converse County, WY"	"56009"	"2013"	"2013"	0	14313	Unreliable
	"Wyoming"	"56"	"Converse County, WY"	"56009"	"2014"	"2014"	Suppressed	14097	Suppressed
	"Wyoming"	"56"	"Crook County, WY"	"56011"	"2006"	"2006"	Suppressed	6286	Suppressed
	"Wyoming"	"56"	"Crook County, WY"	"56011"	"2007"	"2007"	0	6617	Unreliable
	"Wyoming"	"56"	"Crook County, WY"	"56011"	"2008"	"2008"	Suppressed	6823	Suppressed
	"Wyoming"	"56"	"Crook County, WY"	"56011"	"2009"	"2009"	0	6965	Unreliable
	"Wyoming"	"56"	"Crook County, WY"	"56011"	"2010"	"2010"	Suppressed	7083	Suppressed
	"Wyoming"	"56"	"Crook County, WY"	"56011"	"2011"	"2011"	Suppressed	7111	Suppressed
	"Wyoming"	"56"	"Crook County, WY"	"56011"	"2012"	"2012"	0	7155	Unreliable
	"Wyoming"	"56"	"Crook County, WY"	"56011"	"2013"	"2013"	0	7184	Unreliable
	"Wyoming"	"56"	"Crook County, WY"	"56011"	"2014"	"2014"	Suppressed	7248	Suppressed
	"Wyoming"	"56"	"Fremont County, WY"	"56013"	"2006"	"2006"	10	37408	Unreliable
	"Wyoming"	"56"	"Fremont County, WY"	"56013"	"2007"	"2007"	Suppressed	38132	Suppressed
	"Wyoming"	"56"	"Fremont County, WY"	"56013"	"2008"	"2008"	Suppressed	38907	Suppressed
